Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£7,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£11,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£1,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£1,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£18,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£4,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,BEST LTD,2021943932,£399
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,BEST LTD,2021943932,"£9,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,BEST LTD,2021943932,"£52,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,BEST LTD,2021943932,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,BEST LTD,2021943932,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,BEST LTD,2021943932,"£2,400"
Department for Work and Pensions,Corporate,01/08/2011,PRINCES YOUTH TRUST,Corporate & Support Services,CAPITA BUSINESS SERVICES LTD,2021943997,"£5,098"
Department for Work and Pensions,Corporate,01/08/2011,AOS CONTRACTED OUT SERVICES,Corporate & Support Services,CAPITA BUSINESS SERVICES LTD,2021943997,"£70,815"
Department for Work and Pensions,Corporate,01/08/2011,EMPLOYMENT ZONES,GROUP FINANCE,CAPITAL CREDIT UNION LTD,2021943998,"£73,125"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,CAREERS DEVELOPMENT GROUP,2021943999,"£3,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,CAREERS DEVELOPMENT GROUP,2021943999,"£46,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,CAREERS DEVELOPMENT GROUP,2021943999,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,CAREERS DEVELOPMENT GROUP,2021943999,"£10,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,CAREERS DEVELOPMENT GROUP,2021943999,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,CAREERS DEVELOPMENT GROUP,2021943999,"£1,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,CAREERS DEVELOPMENT GROUP,2021943999,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2021945491,"£9,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2021945491,"£11,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2021945491,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2021945491,"£18,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,EOS WORKS LTD,2021945491,"£1,800"
Department for Work and Pensions,Corporate,01/08/2011,EMPLOYMENT ZONES,GROUP FINANCE,EREWASH CREDIT UNION LTD,2021945492,"£36,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,ESG HOLDINGS LIMITED,2021945493,"£12,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,ESG HOLDINGS LIMITED,2021945493,"£11,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,ESG HOLDINGS LIMITED,2021945493,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,ESG HOLDINGS LIMITED,2021945493,"£1,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,ESG HOLDINGS LIMITED,2021945493,"£26,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,ESG HOLDINGS LIMITED,2021945493,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£3,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£2,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£5,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£2,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£1,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£1,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£4,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,"£6,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,G4S REGIONAL MANAGEMENT UK & I LTD,2021945552,£400
