Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022109691,"£1,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022109691,"£18,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PERTEMPS,2022109691,"£1,800"
Department for Work and Pensions,Corporate,11/08/2011,EMPLOYMENT ZONES,GROUP FINANCE,POLLOK CREDIT UNION,2022109701,"£123,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,PROJECT SCOTLAND,2022109706,"£39,750"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022109707,"£6,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022109707,"£10,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022109707,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022109707,£800
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022109707,"£5,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022109707,"£1,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,PROSPECT SERVICES LTD,2022109707,£600
Department for Work and Pensions,Employment Programmes,11/08/2011,JSP ESF DEL P COSTS,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2022109818,"£3,333"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2022109818,"£3,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2022109818,"£19,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2022109818,"£5,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2022109818,"£1,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2022109818,£600
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REED IN PARTNERSHIP,2022109818,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£4,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£6,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£15,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£3,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£6,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£20,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£1,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REHAB JOBFIT,2022109820,"£2,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REMPLOY LTD,2022109823,"£27,126"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,REMPLOY LTD,2022109823,"£6,448"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,SALFORD CITY  COUNCIL,2022109978,"£1,391,100"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,SCOTTISH PREMIER LEAGUE LTD,2022109984,"£178,350"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,SCOUT ENTERPRISES WESTERN LTD,2022109985,"£58,350"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£3,090"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,£551
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£6,457"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£3,710"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£6,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£12,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£10,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£2,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£10,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£28,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,£800
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£3,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£1,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£4,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£24,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£5,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SEETEC BUSINESS TECHNOLOGY CENTRE LTD,2022109990,"£6,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£10,158"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£8,937"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£38,232"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£24,786"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£17,875"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£3,728"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£2,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£3,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£5,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£1,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£2,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£8,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,£800
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£13,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SERCO LTD,2022109995,"£1,800"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",SHAW TRUST LTD,2022109996,"£28,813"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",SHAW TRUST LTD,2022109997,"£56,771"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SKILLS TRAINING UK LIMITED,2022110009,"£18,680"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,SKILLS TRAINING UK LIMITED,2022110009,"£6,400"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",SKILLS TRAINING UK LTD,2022110011,"£53,315"
Department for Work and Pensions,Corporate,11/08/2011,IS/IT,UNIVERSAL CREDIT,SPECIALIST COMPUTER CENTRES PLC,2022110022,"£251,524"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,STOKE ON TRENT CITY COUNCIL,2022110031,"£41,700"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,SURREY COUNTY COUNCIL,2022110036,"£81,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,SWINDON BOROUGH COUNCIL,2022110038,"£84,450"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",THE INTRAINING GROUP,2022110095,"£66,534"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,THE ROYAL SOCIETY OF WILDLIFE TRUSTS,2022110099,"£85,950"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,THE SALVATION ARMY,2022110100,"£200,467"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",TNG BUSINESS SUPPORT LTD,2022110110,"£32,696"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",TNG BUSINESS SUPPORT LTD.,2022110111,"£34,285"
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",TNG LTD,2022110112,"£140,013"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,TNG LTD,2022110113,"£26,344"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,TNG LTD,2022110113,"£9,732"
Department for Work and Pensions,Employment Programmes,11/08/2011,YOUNG PERSON'S GUARANTEE,WWEG EMPLOYMENT PROGRAMMES,WAKEFIELD METROPLITAN DISTRICT COUNCIL,2022110164,"£55,513"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£1,303"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£1,464"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£5,580"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£6,160"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£1,559"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£10,572"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,£748
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£1,971"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£1,506"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£3,008"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£15,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£41,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£1,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£13,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,£400
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£3,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,£600
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£7,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£7,200"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£1,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£14,400"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£3,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£2,000"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£7,600"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,£800
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,"£2,800"
Department for Work and Pensions,Employment Programmes,11/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,WORKING LINKS,2022110173,£600
Department for Work and Pensions,Jobcentre Plus,11/08/2011,EMPLOYMENT PROGRAMMES,"Pensions, Disability & Carers Service",WORKING LINKS,2022110174,"£128,038"
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,WWG SUMMARY,XEROX UK LTD,2022110179,£29
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,WWG SUMMARY,XEROX UK LTD,2022110179,£6
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,WWG SUMMARY,XEROX UK LTD,2022110179,£30
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,WWG SUMMARY,XEROX UK LTD,2022110179,£108
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,WWG SUMMARY,XEROX UK LTD,2022110179,£6
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,WWG SUMMARY,XEROX UK LTD,2022110179,£22
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,EG SUMMARY,XEROX UK LTD,2022110179,£12
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,EG SUMMARY,XEROX UK LTD,2022110179,£12
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,EG SUMMARY,XEROX UK LTD,2022110179,£114
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,EG SUMMARY,XEROX UK LTD,2022110179,£44
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,EG SUMMARY,XEROX UK LTD,2022110179,£7
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£2
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£4
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£31
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£192
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£51
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£1
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£69
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£70
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£16
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£11
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£5
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GROUP FINANCE,XEROX UK LTD,2022110179,£28
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,UNIVERSAL CREDIT,XEROX UK LTD,2022110179,£53
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,UNIVERSAL CREDIT,XEROX UK LTD,2022110179,£76
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CHANGE MANAGEMENT DIRECTORATE,XEROX UK LTD,2022110179,£1
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CHANGE MANAGEMENT DIRECTORATE,XEROX UK LTD,2022110179,£2
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£67
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£116
