Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,21/03/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000024168,"70,117.50",Payment for development of Phase 1 residential module of the Government’s Major Projects Leadership Academy’,OX1 5NY,SME,Administration
Cabinet Office,Cabinet Office,21/03/12,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000024135,"38,245.57","Monthly payment for support, maintenance and minor development of e-PIMS, the government property database and associated applications",LS2 LY,Large,Administration
Cabinet Office,Cabinet Office,21/03/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,TREASURY SOLICITORS DEPT 3861,3000024184,"28,764.76",Legal advice and representation in relation to domestic and European prisoner voting rights litigation,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,21/03/12,IT Costs,NATIONAL SCHOOL OF GOVERNMENT,ING LEASE UK LTD,3000024150,"230,720.56",National School of Government close down costs - terminal of contract for reprographics,RH1 1NY,Government Department,Administration
Cabinet Office,Cabinet Office,21/03/12,Resource Grants to Central Government Bodies,GOVERNMENT DIGITAL SERVICE,DEPARTMENT OF HEALTH,3000024139,"86,864.41",Payment to Department of Health for Web Club Services,LS2 7UE,Government Department,Grants
Cabinet Office,Cabinet Office,22/03/12,Land and Buildings,ESTATE MANAGEMENT,ST ANDREWS PARK NORWICH LTD,3000024242,"288,810.00",Rent for accommodation,NR10 3JU,Large,Administration
Cabinet Office,Cabinet Office,22/03/12,Supplies and Services,POLICY COMMUNICATIONS,VISIT BRITAIN,3000024244,"69,897.50",Great Campaign,SW1E 5HX,Large,Administration
Cabinet Office,Cabinet Office,22/03/12,Investments,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000024206,"36,151.78",Investment in the risk capital fund for social enterprise,W2 3EN,Government Department,Programme
Cabinet Office,Cabinet Office,22/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000024260,"141,834.00",National Citizen Service project grant,TS18 3TS,Large,Grants
Cabinet Office,Government Procurement Service,22/03/12,eTrade Design & Build,Governance & Assurance,Bravosolution UK Ltd,PINVP2P 701,"32,100.00",Procurement evaluation system licences,EC2M 7AD,Large,Administration
Cabinet Office,Government Procurement Service,22/03/12,Government eMarketplace,Planning & Finance,Cabinet Office Votes,PINVP2P 703,"168,170.00",Government eMarketplace development,CF14 3UW,Gov Dept,Programme
Cabinet Office,Cabinet Office,23/03/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000024300,"31,274.18",TSOL - 2011/12 Fees and Disbursements.,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,23/03/12,Agency and Temporary Staff,POLICY COMMUNICATIONS,COI CENTRAL OFFICE OF INFORMATION,3000024263,"180,000.00",Great Campaign,SE1 7DU,Government Department,Administration
Cabinet Office,Cabinet Office,23/03/12,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000024270,"158,333.00",Shared Services Charge,FY5 3TA,Government Department,Administration
Cabinet Office,Cabinet Office,23/03/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000024286,"142,173.76",Fast-stream recruitment,HP2 7DN,SME,Administration
Cabinet Office,Cabinet Office,23/03/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000024286,"32,880.00",Fast-stream recruitment,HP2 7DN,SME,Administration
Cabinet Office,Cabinet Office,23/03/12,Accommodation and Utilities,GOVERNMENT PROPERTY UNIT,COLLIERS INTERNATIONAL UK PLC,3000024264,"46,771.50",Rent for accommodation,G1 2PT,Government Department,Programme
Cabinet Office,Cabinet Office,23/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL YOUTH AGENCY,3000024317,"87,995.00",National Citizen Service project grant,LE5 3GJ,SME,Grants
Cabinet Office,Cabinet Office,23/03/12,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000024265,"26,750.00",Management Fee for delivery of Community First Programme,EC1V 2PT,Large,Programme
Cabinet Office,Cabinet Office,26/03/12,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000024344,"26,745.05",Purchase of legal publications,CR9 5AF,SME,Administration
Cabinet Office,Cabinet Office,26/03/12,Other Staff Related Costs,INTELLIGENCE SECURITY AND RESILIENCE,SERCO LTD,3000024361,"36,000.00",Development and  hosting of an online training/learning package for Central Government Emergency Response Training.,RG27 7FR,SME,Administration
Cabinet Office,Cabinet Office,26/03/12,IT Costs,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,2000229,"44,500.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Administration
Cabinet Office,Cabinet Office,26/03/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,LAW COMMISSION,3000024341,"31,250.00",Quarter 4 payment to Law Commission for review to overhaul and consolidate electoral law,SW1H 9LJ,Government Department,Administration
Cabinet Office,Cabinet Office,26/03/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,READING ROOM LTD,3000024357,"25,150.00","Maintenance and development of the Boundary Commission for England website for the statutory 2nd consultation phase , in relation to the review of Parliamentary constituency boundaries ",W1D 3JR,SME,Programme
Cabinet Office,Cabinet Office,26/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000024367,"123,697.00",National Citizen Service project grant,SE1 7HS,Non-SME,Grants
