Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.08.2011 to 31.08.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,382515,361740,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SEFTON COUNCIL,382517,490072,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WIRRAL METROPOLITAN BOROUGH COUNCIL,382519,721412,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BOLTON METROPOLITAN BOROUGH COUNCIL,382521,1142775,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BURY METROPOLITAN BOROUGH COUNCIL,382523,447576,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER COUNTY COUNCIL,382525,1233719,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,OLDHAM METROPOLITAN BOROUGH COUNCIL,382527,569697,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,382529,602159,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL,382531,634903,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,STOCKPORT METROPOLITAN BOROUGH COUNCIL,382533,804055,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,TAMESIDE METROPOLITAN BOROUGH COUNCIL,382535,491235,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,TRAFFORD METROPOLITAN BOROUGH COUNCIL,382537,805173,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WIGAN METROPOLITAN BOROUGH COUNCIL,382539,603009,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BARNSLEY METROPOLITAN BOROUGH COUNCIL,382541,643772,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DONCASTER METROPOLITAN BOROUGH COUNCIL,382543,1024491,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,382545,719574,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD COUNTY COUNCIL,382547,1068707,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BRADFORD METROPOLITAN BOROUGH COUNCIL,382549,2020689,
