ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£102,430.63"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£453,177.53"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£450,948.55"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£769,204.35"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£1,095,423.13"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£1,752,272.80"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£390,383.18"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£33,302.13"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£30,550.00"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£28,839.20"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£30,158.34"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£55,229.21"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£25,439.93"
MoJ HQ,09/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035748,"£35,385.13"
