Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,CHILDCARE VOUCHERS,HR BUSINESS MANAGEMENT TEAM,ACCOR TA EDENRED,1001131,26223.85,Childcare vouchers,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,WTG TECHNOLOGIES LTD,3000054494,28670.00,Managed Services for the GDS transformation project,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,LONDON BOROUGH OF BARNET,3000054479,40000.00,Grant for work delivered under the One Public Estate project,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,CITY OF YORK COUNCIL,3000054490,40000.00,Grant for work delivered under the One Public Estate project,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,SOCIAL ENTERPRISE COALITION,3000054471,47000.00,Tracking of spending made across the social enterprise sector,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,OTHER LEGAL FEES,GDS ID ASSURANCE,SLAUGHTER & MAY,3000054470,58419.30,Legal services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,VALTECH LTD,3000054492,83860.00,Managed services in support of the transformation programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,NESTA,3000054468,1500000.00,Grant to enable NESTA to distribute grant funds and provide non-financial support through the Innovation Fund in accordance with the aims and objectives of the Centre for Social Action,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/11/2014,OTHER TRAVEL COSTS,NATIONAL SECURITY ADVISER,HOGG ROBINSON TRAVEL LTD,3000054545,29100.78,Official travel,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/11/2014,OTHER TRAVEL COSTS,PM PRESS OFFICE NEWS,HOGG ROBINSON TRAVEL LTD,3000054545,36865.68,Official travel,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/11/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000054543,76141.05,Storage and hosting services for the Identity Assurance Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/11/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000054518,81707.50,Great Campaign,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/11/2014,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,HOGG ROBINSON TRAVEL LTD,3000054545,156049.98,Official travel,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/11/2014,CALL CHARGES,ICT SERVICES,VODAFONE LTD,3000054596,27298.32,Telecomms charges,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000054583,28814.70,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/11/2014,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CABINET OFFICE REPROGRAPHICS (EX GCDA),RICOH UK LTD,3000054595,32486.87,Reprographic Services,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,19/11/2014,Bravo Licence Costs, Internal Projects ,BravoSolution UK Ltd,PINDOH 40988,41650.00,Licences for spend analytics,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,19/11/2014,Bravo Licence Costs,Internal Projects,BravoSolution UK Ltd,PINDOH 40989,41650.00,Licences for spend analytics,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000054583,44007.99,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/11/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000054564,44378.00,Great Campaign,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/11/2014,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY ORGANISERS,LOCALITY,3000054586,441750.00,Grant payment to Community Organisers,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/11/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,UK TRADE & INVESTMENT,3000054574,500000.00,Great Campaign,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,20/11/2014,Information Services,Internal Projects,Dun & Bradstreet Ltd,PINDOH 40293,25000.00,Spend Analysis Service for London Councils,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/11/2014,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,KENT COUNTY COUNCIL,3000054662,40000.00,Grant for work delivered under the One Public Estate project,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,20/11/2014,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINDOH 41035,40700.00,Whitehall heating systems management,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,20/11/2014,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINDOH 41030,65230.00,Whitehall heating systems management,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,20/11/2014,Maintenance & Repairs - IT, Internal Projects ,Phoenix Software Ltd,PINDOH 40461,95400.00,Annual Licence for Energy Trade System,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,20/11/2014,Consultancy Fees (Advice),Commercial Delivery Directorate,Pricewaterhouse Coopers LLP,PINDOH 41033,160000.00,Support for CCS Delivery Design and Methodology,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000054691,33268.62,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA RESOURCING LTD,3000054691,36701.20,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS GOV UK TRANSITION,CAPITA RESOURCING LTD,3000054691,40918.76,Payment for Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,SUBSIDY,ERG CIVIL SERVICE PAY AND PENSIONS,EUROPEAN INSTITUTE OF PUBLIC ADMINISTRATION,2000558,44088.00,UK Membership Subscription of the European Institute of Public Administration 2014,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000054691,89904.62,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000054682,101500.00,Great Campaign,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA RESOURCING LTD,3000054691,105301.62,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000054691,106947.97,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,24/11/2014,Computer Hardware <£5000,IT,MISCO COMPUTERS,PINDOH 40939,78883.00,IT hardware (laptops),,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,24/11/2014,Computer Hardware <£5000,IT,MISCO COMPUTERS,PINDOH 40933,93429.00,IT hardware (laptops),,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/11/2014,OTHER LEGAL FEES,ERG COMMERCIAL PORTFOLIO TEAM,DLA PIPER UK,3000054727,126676.70,Legal services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PERFORMANCE AND DELIVERY,CAPITA BUSINESS SERVICES LTD,3000054744,26311.41,Payment for Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,NATIONAL ASSOCIATION OF CLUBS FOR YOUNG PEOPLE,3000054740,27000.00,Funding for a post to work on MyPlace Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CAPITA BUSINESS SERVICES LTD,3000054744,35995.26,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,NATIONAL BIODIVERSITY NETWORK TRUST,3000054737,50000.00,"Capture, collation and publishing of key biodiversity datasets",,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/11/2014,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE POLICE REHABILITATION CENTRE,3000054738,58000.00,Grant to support enhancements costs for accommodation providing rehabiliation and treatment of police personnel,,,,,,,,,,,,,,,,,,
