Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.07.2011 to 31.07.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,376898,1257741,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,376900,1578832,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,376902,798388,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,WALSALL METROPOLITAN BOROUGH COUNCIL,376904,1322632,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,WOLVERHAMPTON COUNTY COUNCIL,376906,1103384,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,376908,485279,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL COUNTY COUNCIL,376910,1343637,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,376912,577354,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SEFTON COUNCIL,376914,861846,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,WIRRAL METROPOLITAN BOROUGH COUNCIL,376916,1262329,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BOLTON METROPOLITAN BOROUGH COUNCIL,376918,1558832,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BURY METROPOLITAN BOROUGH COUNCIL,376920,748166,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER COUNTY COUNCIL,376922,1840700,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,OLDHAM METROPOLITAN BOROUGH COUNCIL,376924,923129,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,376926,954174,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL,376928,964265,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,STOCKPORT METROPOLITAN BOROUGH COUNCIL,376930,1287577,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,TAMESIDE METROPOLITAN BOROUGH COUNCIL,376932,836199,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,TRAFFORD METROPOLITAN BOROUGH COUNCIL,376934,1127459,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,WIGAN METROPOLITAN BOROUGH COUNCIL,376936,975398,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BARNSLEY METROPOLITAN BOROUGH COUNCIL,376938,1071152,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,DONCASTER METROPOLITAN BOROUGH COUNCIL,376940,1570467,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,376942,1260441,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD COUNTY COUNCIL,376944,1943518,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BRADFORD METROPOLITAN BOROUGH COUNCIL,376946,5045272,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,CALDERDALE METROPOLITAN BOROUGH COUNCIL,376948,1289317,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,KIRKLEES COUNCIL,376950,2550863,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,LEEDS CITY COUNCIL,376952,3960451,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,376954,1478223,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,GATESHEAD METROPOLITAN BOROUGH COUNCIL,376956,827796,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE CITY COUNCIL,376958,1089940,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,376960,1073330,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,376962,611698,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SUNDERLAND COUNTY COUNCIL,376964,1267096,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND NE SOMERSET COUNCIL,376968,810998,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BRISTOL CITY COUNCIL,376970,2248935,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH SOMERSET DC,376972,1000180,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTH GLOUCESTERSHIRE COUNCIL,376974,1574723,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,HARTLEPOOL BOROUGH COUNCIL,376976,419102,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,MIDDLESBOROUGH COUNCIL,376978,625856,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,REDCAR AND CLEVELAND BOROUGH COUNCIL,376980,654370,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,STOCKTON ON TEES,376982,902669,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON HULL CITY COUNCIL,376984,1244481,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,EAST RIDING OF YORKSHIRE,376986,1693376,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH EAST LINCOLNSHIRE COUNCIL,376988,720447,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH LINCOLNSHIRE COUNCIL,376990,873538,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,NORTH YORKSHIRE COUNTY COUNCIL,376992,3311705,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,YORK CITY COUNCIL,376994,852661,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,LUTON BOROUGH COUNCIL,376996,1232015,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BUCKINGAMSHIRE COUNTY COUNCIL,376998,3147208,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,MILTON KEYNES COUNCIL,377000,1919422,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,DERBYSHIRE COUNTY COUNCIL,377002,3847297,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,DERBY CITY COUNCIL,377004,1289635,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,DORSET COUNTY COUNCIL,377006,1882918,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,POOLE BOROUGH COUNCIL,377008,631635,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BOURNEMOUTH BOROUGH COUNCIL,377010,677438,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,DURHAM COUNTY COUNCIL,377012,2545680,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,DARLINGTON BOROUGH COUNCIL,377014,515150,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,EAST SUSSEX COUNTY COUNCIL,377016,2541821,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BRIGHTON AND HOVE CITY COUNCIL,377018,1069682,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,HAMPSHIRE COUNTY COUNCIL,377020,6473831,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH CITY COUNCIL,377022,945380,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHAMPTON CITY COUNCIL,377024,1260925,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,LEICESTERSHIRE COUNTY COUNCIL,377026,3472236,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,RUTLAND COUNTY COUNCIL,377030,241259,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,STAFFORDSHIRE COUNTY COUNCIL,377032,4063820,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,STOKE ON TRENT COUNTY COUNCIL,377034,1152617,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,WILTSHIRE COUNCIL,377036,2590301,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SWINDON BOROUGH COUNCIL,377038,1077139,
