Department,Entity,Date,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028174,"Ł79,732.22",Nobel House - London Refurbishment Programme: main works - August 2013,BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Defra,21/10/2013,E D F Energy,146011013,"Ł77,157.22",Supply of electricity to Central Veterinary Laboratory Weybridge - September 2013,PL3 5XQ,,,B0870000,Expense,
DEFRA,Defra,15/10/2013,Ricardo-A E A Ltd,6153526,"Ł76,904.00",2013-14 Quality Assurance and Quality Control services for AURN (Auto urban/rural air quality monitoring network) - September 2013,OX11 0QR,,Exempt,AQNONRDX,Expense,
DEFRA,Defra,29/10/2013,Centre For Ecology & Hydrology,7060005168,"Ł72,229.00",2012-13 Capturing cropland and grassland management impacts on soil carbon in the UK,OX10 8BB,SME,SP1113,0,Expense,
DEFRA,Defra,17/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028863,"Ł71,169.48",Dilapidations at the end of lease - Clyst House - September 2013,BS32 4NH,,10195L,B5510000,Expense,
DEFRA,Defra,01/10/2013,Animal Health and Veterinary Laboratories Agency,5000032856,"Ł68,495.77",2012-13 - Slaughterhouse survey carried out by the Food Standards Agency - Quarter 3,KT15 3NB,SME,IDS,AHVLA002,Expense,
DEFRA,Defra,15/10/2013,IBM United Kingdom Ltd,5809131667,"Ł68,389.31",Websphere Process Choreographer Replacement -September 2013,GU1 2LD,SME,FRW10040-00,P12TR100,Expense,
DEFRA,Defra,09/10/2013,IBM United Kingdom Ltd,5809131392,"Ł67,593.30","Automatic Licence Verification System (ALVS) Extension Project - development, build, testing and deployment - September 2013",GU1 2LD,SME,10040,07499TSW,Asset,
DEFRA,Defra,03/10/2013,Deloitte LLP,2410069460,"Ł67,018.32",Work to understand the different groups of customers that will use the Information Technology system the Common Agricultural Policy Delivery Programme is building,MK9 1FD,SME,CAP060,CAPDBA00,Expense,
DEFRA,Defra,23/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028839,"Ł66,882.65",Estates maintenance projects over multiple sites - September 2013,BS32 4NH,,15415,0,Expense,
DEFRA,Defra,23/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028925,"Ł65,832.00",Supply and fit new 'Time of Day' (TOD) controls to 322 kitchen teapoints across the Weybridge site - September 2013,BS32 4NH,,17797,87REDUCE,Asset,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028143,"Ł65,312.30",Estates maintenance projects over multiple sites - August 2013,BS32 4NH,,10195L,B0800000,Expense,
DEFRA,Defra,15/10/2013,Ernst & Young LLP,GB10700018896,"Ł64,368.00",Commercial financial advice for the Thames Tideway Tunnel Project - 27 July-30 August 2013,M2 3EY,,Omnicom OM18274/Bravo Ecm 4225,0,Expense,
DEFRA,Defra,01/10/2013,Centre For Ecology & Hydrology,7060005118,"Ł63,823.00",2012-13 Further Development of the UK Application European Monitoring and Evaluation Programme (EMEP) model,SN2 1EU,SME,AQ0727,AQRDXXXX,Expense,
DEFRA,Defra,07/10/2013,National Farmers Union,OP0028367,"Ł63,611.00",2013-14 The Campaign  for the Farmed Environment - April-June 2013,CV8 2TZ,SME,18277,0,Expense,
DEFRA,Defra,31/10/2013,Cabi Bioscience (Egham),SI5692,"Ł63,500.00","Biocontrol of floating pennywort, crassula and Himalayan balsam - October 2013",TW20 9TY,SME,exempt,INNWFDXX,Expense,
DEFRA,Defra,21/10/2013,Institute of Zoology,32843,"Ł62,578.00",Cetacean standings investigation - July-September 2013,NW1 4RY,,Exempt,0,Expense,
DEFRA,Defra,21/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00027791,"Ł61,865.10",Installation of improved extraction services in Animal Health and Veterinary Laboratories Agency stores to bring them in line with current regulations - May 2013,BS32 4NH,,18107,CHEMSTOR,Asset,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-527041-46102,"Ł61,277.75","Antigen mining, DIVA (Differention of Infected and Vaccinated Animals) assays and other diagnostic approaches - October 2013",KT15 3NB,SME,Exempt,0,Expense,
DEFRA,Defra,21/10/2013,A D A S UK Ltd,1.61E+12,"Ł59,857.60",2013-14 Environmental Change Network monitoring and analysis at Drayton - April-October 2014,WV9 5AP,,LM0309,0,Expense,
DEFRA,Defra,03/10/2013,Deloitte LLP,2410070826,"Ł59,548.80",Work to improve the planning of software development in the Common Agricultural Policy Delivery Programme.,MK9 1FD,SME,,CAPDFA01,Expense,
DEFRA,Defra,31/10/2013,A D A S UK Ltd,RIRP072850,"Ł58,730.53",Sustainable Crop and Environment Protection  Targeted Research for Edibles (SCEPTRE) - July-September 2013,WV9 5AP,,exempt,SFFS0006,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-526994-46087,"Ł58,215.15","Assessing the risks of antimicrobial usage in cattle with respect to antibiotic resistance bacteria: risk assessment, epidemiological analysis and laboratory investigation - 2013-14",KT15 3NB,SME,IDS VM0513,0,Expense,
DEFRA,Defra,09/10/2013,IBM United Kingdom Ltd,5809130954,"Ł56,559.27",Web content filter implementation complete - September 2013,GU1 2LD,SME,10040,P13SI010,Expense,
DEFRA,Defra,03/10/2013,Ricardo-A E A Ltd,6153269,"Ł55,628.00",2013-14 UK Ambient Air Quality Assessments - August 2013,OX11 0QR,,,AQRDXXXX,Expense,
DEFRA,Defra,15/10/2013,Ricardo-A E A Ltd,6153504,"Ł55,628.00",2013-14 UK Ambient Air Quality Assessments - September 2013,OX11 0QR,,,AQRDXXXX,Expense,
DEFRA,Defra,23/10/2013,Detica Ltd,1056770,"Ł55,590.00",Costs of consultant providing specialist Information: Assurance and IT security advice - 20 February-22 July 2013,GU2 7YP,SME,10990,0,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028166,"Ł55,449.38",Dilapidations to Ergon House reception at the end of the lease - August 2013,BS32 4NH,,10195L,B197P003,Asset,
DEFRA,Defra,09/10/2013,A H D B,180016542,"Ł55,000.00",Provision of electronic reporting for pigs by BPEX (British Pig Executive) - July-September 2013,CV8 2TL,,FUNDING,0,Expense,
DEFRA,Defra,01/10/2013,Environment Agency,1157165,"Ł55,000.00",Research into applying the revised Bathing Water Directive's provisions for short term pollution at designated bathing waters.,PE2 8YD,,IGS Funding,0,Expense,
DEFRA,Defra,11/10/2013,South Georgia Heritage Trust,120913,"Ł54,889.50","Darwin Initiative grant: South Georgia Heritage Trust, South Georgia Habitat Restoration Project, Mouse Eradication Sub-Project - October-December 2013",DD1 5BT,SME,20108,DARWINXX,Expense,
DEFRA,Defra,31/10/2013,Sea Mammal Research Unit,RG043230,"Ł54,061.75",2013-14 Cetacean Bycatch Observer Monitoring Scheme - Quarter 2,KY16 8LB,SME,14518,0,Expense,
DEFRA,Defra,29/10/2013,Rural Payments Agency,335526,"Ł53,733.00","Sheep and goat movement data inputting for Devon, North Yorkshire and Leeds - October 2013",RG1 3YD,SME,IDS,0,Expense,
DEFRA,Defra,14/10/2013,Bio Intelligence Service,1308030,"Ł53,315.00","Review all aspects of Regulation 1107/2009, concerning the placing of pesticides on the market, in order to identify options for its simplification in line with the United Kingdom Governments best regulation strategy",75014,SME,,0,Expense,
DEFRA,Defra,21/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028869,"Ł53,158.13",Weybridge uplift to the Advisory Committee on Dangerous Pathogens containment level 3 standard - September 2013,BS32 4NH,,10195L,B0870000,Asset,
DEFRA,Defra,25/10/2013,R S P B,250913,"Ł52,331.25",Darwin Initiative grant: Sustainable management of the marine environment and resources of Tristan da Cunha - October-December 2013,SG19 2DL,,20036,DARWPLUS,Expense,
DEFRA,Defra,15/10/2013,C E F A S,8003233,"Ł51,935.50",Enhancing the ability to provide advice on data-limited shellfish stocks - April-September 2013,NR33 0HT,SME,MF0234,0,Expense,
DEFRA,Defra,01/10/2013,Animal Health and Veterinary Laboratories Agency,5000032858,"Ł51,913.40",2012-13 Slaughterhouse survey carried out by the Food Standards Agency - Quarter 4,KT15 3NB,SME,IDS,AHVLA002,Expense,
DEFRA,Defra,01/10/2013,B B S R C,BBSR10810,"Ł51,782.18",2012-13 Development of physically modified hydrocolloids and starches for enchased salt perception - first claim,SN2 1UH,,FT1715,SFFS0007,Expense,
DEFRA,Defra,29/10/2013,B B S R C,BBSR10953,"Ł51,718.30",2011-12 - 2013-14 Linkages between plant functional diversity soil biological communities and ecosystem services in agricultural grassland - seventh claim,SN2 1UH,,Exempt,SFFS0004,Expense,
DEFRA,Defra,31/10/2013,University Of Wales Aberystwyth,20034556,"Ł51,237.13",2013-14 Harnessing new technologies for sustainable oat production and utilisation - July-September 2013,SY23 2AX,,exempt,SFFS0006,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-526978-46079,"Ł51,156.41",Maintenance of a TSE (Transmissible Spongiform Encephalopathy)-free sheep flock after importation from New Zealand - October 2013,KT15 3NB,SME,,0,Expense,
DEFRA,Defra,07/10/2013,Ricardo-A E A Ltd,6153517,"Ł50,983.50",2013-14 UK National Atmospheric Emissions Inventory - September 2013,OX11 0QR,,Exempt,AQRDXXXX,Expense,
DEFRA,Defra,17/10/2013,Ricardo-A E A Ltd,6153608,"Ł50,574.92",Farming Advice Service - October 2013,OX11 0QJ,,15760,0,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-527104-46110,"Ł50,423.00",Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - October 2013,KT15 3NB,SME,exempt,0,Expense,
DEFRA,Defra,11/10/2013,Cranfield University,1382127,"Ł50,000.00",Contribution towards The Collaborative Centre of Excellence in Understanding and Managing Natural and Environmental Risk and Futures - September 2013,MK43 0AL,,exempt,HSFUTURE,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028853,"Ł49,958.03",Nobel House decoration and carpets for meeting rooms - September 2013,BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Defra,23/10/2013,Ricardo-A E A Ltd,6153620,"Ł49,621.58",2013-14 Provision of technical support for the Water Technology List - October 2013,OX11 0QJ,,549133,0,Expense,
DEFRA,Defra,07/10/2013,Department Of Energy and Climate Change,1100009544,"Ł49,617.00",2013-14 Annual contribution  to the costs of the UK Adaptation Sub-Committee - April 2013,SW1A 2HD,SME,IGS,0,Expense,
DEFRA,Defra,07/10/2013,L G C Limited,50256944,"Ł49,364.00",Inter-laboratory trial of the improved method to detect previously-frozen poultry - September 2013,TW11 0LY,SME,Exempt,SFFS0003,Expense,
DEFRA,Defra,21/10/2013,University Of Westminster,9801105,"Ł49,323.62",Development of the Sustainable Development Research Network to facilitate and strengthen the links between providers of research and policy-makers across government - April-June 2013,W1W 6UP,,SD12022,0,Expense,
DEFRA,Defra,15/10/2013,G H K Consulting Ltd,30405903,"Ł48,965.67",2013-14 Evidence Base Services for Energy-Using Products - October 2013,EC1R 5BL,SME,Omnicom 18616,0,Expense,
DEFRA,Defra,15/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028921,"Ł47,610.60",Installation of rain water collection cistern and distribution network to serve all animal washdown hose points - September 2013,BS32 4NH,,18378,87REDUCE,Asset,
DEFRA,Defra,15/10/2013,Animal Health and Veterinary Laboratories Agency,5000033041,"Ł47,233.09",Project costs for work on Sheep Database - October 2013,YO1 7PX,SME,IDS FUNDING,0,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-526980-46081,"Ł45,564.08",Studies of natural and experimental TSEs (Transmissible Spongiform Encephalopathies) - October 2013,KT15 3NB,SME,exempt,0,Expense,
DEFRA,Defra,15/10/2013,Ernst & Young LLP,GB10700018897,"Ł45,329.00",Contract for provision of commercial financial advice for the Thames Tideway Tunnel Project - 29 June-26 July 2013,M2 3EY,,Omnicom OM18274/Bravo Ecm 4225,0,Expense,
DEFRA,Defra,17/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028852,"Ł44,482.80","Costs associated with routine maintenance of Centre for Environment, Fisheries and Aquaculture Science (Cefas) property at Lowestoft - September 2013",BS32 4NH,,10226,LEVRADIO,Asset,
DEFRA,Defra,17/10/2013,Atkins Consultants Ltd,13030657,"Ł44,430.00",Environmental and Sustainability Advice - 28 June-26 August 2013,KT18 5BW,,WT1527,0,Expense,
DEFRA,Defra,07/10/2013,Department Of Energy and Climate Change,1100009545,"Ł44,143.00",2013-14 Annual contribution to the costs of the UK Adaptation Sub-Committee - June 2013,SW1A 2HD,SME,IGS,0,Expense,
DEFRA,Defra,21/10/2013,Vehicle Certification Agency,SIAR179615,"Ł44,000.00",Memorandum of Understanding in respect of duties imposed by The Waste Batteries and Accumulators Regulations 2009  - August-September 2013,BS5 6XX,SME,exempt,WPPWM006,Expense,
DEFRA,Defra,09/10/2013,R S P B,300513,"Ł43,851.00",2012-13  Saving the critically endangered spoon-billed sandpiper from global extinction,SG19 2DL,,Exempt,0,Expense,
DEFRA,Defra,21/10/2013,Cardiff University,2013734,"Ł43,749.50",2013-14 Bacterial Insecticides and toxins for control of root flies March-August 2013,CF24 0DE,,PS2152/Exempt,0,Expense,
DEFRA,Defra,03/10/2013,D T Z,FR208,"Ł43,554.84","Payment of rent, rates and service charges for various properties within the Defra Network - September 2013",B3 2ED,,,0,Expense,
DEFRA,Defra,15/10/2013,IBM United Kingdom Ltd,5809131670,"Ł43,524.45",Technology Refresh - Update of applications called '.NET Applications' - functional testing - September 2013,GU1 2LD,SME,FRW10040-00,P12TR080,Expense,
DEFRA,Defra,03/10/2013,Corona Energy,8618434,"Ł42,539.86","Gas bill - Animal Health and Veterinary Laboratories Agency, Weybridge - August-September 2013",WD17 1JW,,,B0870000,Expense,
DEFRA,Defra,07/10/2013,Department Of Energy and Climate Change,1100009546,"Ł42,511.00",2013-14 Annual contribution to the costs of the UK Adaptation Sub-Committee - May 2013,SW1A 2HD,SME,IGS,0,Expense,
DEFRA,Defra,29/10/2013,Technology Strategy Board,821,"Ł42,336.31",2013-14 Knowledge Transfer Partnership  - Quarter 2,SN2 1JF,,exempt,SFFS0003,Expense,
DEFRA,Defra,29/10/2013,Centre For Ecology & Hydrology,7060005186,"Ł42,203.61",2013-14 Biological Recording Analysis and Interpretation -  Quarter 2,OX10 8BB,SME,Exempt MOU,0,Expense,
DEFRA,Defra,31/10/2013,University Of Reading,ERS-526812-45986,"Ł42,075.08",Optimising the efficiency of dietary nitrogen used to reduce emissions and waste in dairy systems - October 2013,RG6 6AH,,,SFFS0005,Expense,
DEFRA,Defra,15/10/2013,Rural Payments Agency,335476,"Ł41,371.33",Provision of and training in Mingle and ProVision software packages carried out by Software Box - April 2013,RG1 1AF,SME,IGS,CAPDFA01,Expense,
DEFRA,Defra,31/10/2013,University Of Bristol,ERS-14-OCT-13-45963,"Ł40,372.04",Evaluation of Meat Chicken Regulations - October 2013,BS40 5DU,,AW05015 Exempt,0,Expense,
DEFRA,Defra,25/10/2013,Joint Nature Conservation Committee,SIJ773,"Ł40,000.00",Contribution to the maintenance and development of the National Biodiversity Network Gateway - October 2013,PE1 1JY,SME,WC1054,0,Expense,
DEFRA,Defra,07/10/2013,L G C Limited,50261696,"Ł39,829.00",2012-13 Investigation into the benefits of pooling samples or sample extracts prior to pesticides residues analysis ,TW11 0LY,SME,P2554/Exempt,0,Expense,
DEFRA,Defra,01/10/2013,Animal Health and Veterinary Laboratories Agency,5000032683,"Ł39,494.62",Fallen Stock Sampling fee - August 2013,YO1 7PX,SME,IDS,0,Expense,
DEFRA,Defra,17/10/2013,Steria Limited,100049205,"Ł38,886.00","Advisory services within IT relating to systems and concepts, including strategic studies and development of specific projects for the period 8 May-30 June 2013",HP2 7DH,,16918,P1300000,Expense,
DEFRA,Defra,28/10/2013,Adelaide Rsch & Innovation Pty Ltd,130579,"Ł38,763.00",Detailed case studies of the costs and benefits of abstraction reform in catchments in Australia with similar relevant conditions to England and Wales,5000,SME,,0,Expense,
DEFRA,Defra,31/10/2013,North Wyke Research.,ERS-526811-46030,"Ł38,566.24",Greenhouse Gas Platform Nitrous Oxide Emissions Factors - October 2013,AL5 2JQ,SME,Exempt,SFFS0005,Expense,
DEFRA,Defra,01/10/2013,Rural Payments Agency,335332,"Ł38,128.16",Recharge for five contractors' work during the Common Agricultural Policy Delivery Programmes transition from Rural Payments Agency to Defra - September 2013,RG1 1AF,SME,IDS,CAPDPMO0,Expense,
DEFRA,Defra,11/10/2013,Ricardo-A E A Ltd,6153527,"Ł38,073.00",2013-14 Management of the Air Quality Data Dissemination Unit - September 2013,OX11 0QR,,14621,AQNONRDX,Expense,
DEFRA,Defra,09/10/2013,Brian Wilson Associates,23402,"Ł37,770.00",Mid-Term Evaluation of Defra's Investment in Advisory Committee on Releases to the Environment and Rural Community Action Network ,KT6 4AB,SME,RE0264,0,Expense,
DEFRA,Defra,07/10/2013,JSS Pensions Administration,RCPS10114,"Ł37,737.97",Horticulture Research International staff pension scheme - September 2013,SN2 1FF,,16500,0,Expense,
DEFRA,Defra,21/10/2013,East Malling Research,11816,"Ł37,500.00",Managing Spotted Wig Drosphila in the UK - April-September 2013,ME19 6BJ,SME,CH0203,SFFS0006,Expense,
DEFRA,Defra,21/10/2013,A D A S UK Ltd,1.61E+12,"Ł37,494.75",Greenhouse Gas Research Platform: research into Nitrous Oxide Emissions Factors - October 2013,WV9 5AP,,exempt,SFFS0005,Expense,
DEFRA,Defra,17/10/2013,D T Z,FR209,"Ł37,084.44","Payment of rent, rates and service charges for various properties within the Defra Network - October 2013",B3 2ED,,,0,Expense,
DEFRA,Defra,29/10/2013,Food Standards Agency,1702332,"Ł36,459.63",2013-14  Sheep Brainstem samples - Quarter 2,YO1 2YX,,IGS,TSE002SH,Expense,
DEFRA,Defra,01/10/2013,Natural England,8000013653,"Ł36,238.01",2013-15 Inwards secondment salary recharge costs - 11 March-30 June 2013,YO1 7PX,,IGS,CAPDFA01,Expense,
DEFRA,Defra,29/10/2013,R C P S,6563,"Ł36,160.01",Provision of closed Horticulture Research International staff pension scheme pension payment - February 2013,SN2 1UY,,16500,0,Expense,
DEFRA,Defra,21/10/2013,E D F Energy,159011013,"Ł36,104.69","Supply of electricity to Animal Health and Veterinary Laboratories Agency, Weybridge - September 2013",PL3 5XQ,,,B0870000,Expense,
DEFRA,Defra,31/10/2013,D T Z,215226,"Ł35,438.53",2012-13 Annual office management,EH3 9QG,,10344,DTZ00000,Expense,
DEFRA,Defra,31/10/2013,The Pirbright Institute,ERS-527021-46125,"Ł35,008.83",Molecular epidemiology of foot and mouth disease virus - October 2013,GU24 0NF,,SE2940,0,Expense,
DEFRA,Defra,31/10/2013,D T Z,215116,"Ł33,975.00","Fees for disposal of Coley Park, Reading",EH3 9QG,,10344,B153DISP,Expense,
DEFRA,Defra,21/10/2013,A D A S UK Ltd,RIRP072196,"Ł33,848.75",Developing a field toolkit for ecological targeting of agricultural diffuse pollution mitigation measures - July-September 2013,WV9 5AP,,Exempt,SFFS0004,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028171,"Ł33,348.50",Nobel House Business Centre - London Rationalisation Programme: supply of orange box chairs and desks - August 2013,BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Defra,31/10/2013,University Of Reading,ERS-527322-45988,"Ł33,333.25",Long-term maintenance and scientific curation of the National Fruit Collection - October 2013,RG6 6AH,,GC0143,PGR00001,Expense,
DEFRA,Defra,23/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028544,"Ł33,188.78",Consumables provided to various sites as part of the Facilities Management contract - August 2013,BS32 4NH,,FWK 10226,0,Expense,
DEFRA,Defra,25/10/2013,Pesticide Action Network UK,11013,"Ł32,626.00",Pesticide impacts on biodiversity in Ethiopia and agro-ecological solutions - October-December 2013,EC2A 4JX,SME,20111,DARWDFID,Expense,
DEFRA,Defra,17/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028851,"Ł32,546.80",Northgate House roof repairs - September 2013,BS32 4NH,,,NGHBALCO,Asset,
DEFRA,Defra,29/10/2013,Centre For Ecology & Hydrology,7060005234,"Ł32,203.61",2013-14 Biological Recording Analysis and Interpretation - October 2013,OX10 8BB,SME,Exempt MOU,0,Expense,
DEFRA,Defra,01/10/2013,Food Standards Agency,1702259,"Ł31,763.28",2013-14 Sampling for Aujeszky's Disease,YO1 2YX,,Funding,0,Expense,
DEFRA,Defra,15/10/2013,Food Standards Agency,1702303,"Ł31,763.28",2013-14 Sheep Transmissible Spongiform Encephalopathy (TSE) sampling - Quarter 2,YO1 2YX,,IGS,TSE002SH,Expense,
DEFRA,Defra,31/10/2013,The Pirbright Institute,ERS-527025-46128,"Ł31,329.91",Understanding and predicting the spread of vector- and aerosol-borne livestock pathogens in the UK - October 2013,GU24 0NF,,Exempt,0,Expense,
DEFRA,Defra,01/10/2013,D T Z,213635,"Ł31,110.50",2013-14 Defra Estates management fee - October 2013,EH3 9QG,,10344,DTZ00000,Expense,
DEFRA,Defra,29/10/2013,Centre For Ecology & Hydrology,ERS-526474-45995,"Ł30,868.82",2013-14 Operation of the UK Eutrophying and Acidifying Atmospheric Pollutants - October 2013,SN2 1EU,SME,Exempt,AQRDXXXX,Expense,
DEFRA,Defra,15/10/2013,Food Standards Agency,1702291,"Ł30,746.75",2013-14 Memorandum of Understanding for checks to be made under the Animal By-product enforcement regulations - September 2013,YO1 2YX,,IGS,ABPO0001,Expense,
DEFRA,Defra,11/10/2013,Barclaycard Business Issuing,4.72E+21,"Ł30,720.71",Government Procurement Card spend - October 2013 bill,TS17 6YG,SME,,0,Asset,
DEFRA,Defra,29/10/2013,Rural Payments Agency,335597,"Ł30,681.87",2013-14 School Milk Top-up - Quarter 2,RG1 3YD,SME,IGS,LIV00022,Expense,
DEFRA,Defra,17/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028151,"Ł30,564.24","Capital expenditure for the construction of cold weather works at Fera (Food and Environment Research Agency), Sand Hutton - August 2013",BS32 4NH,,18155,COLDWTHR,Asset,
DEFRA,Defra,31/10/2013,Sinclair Knight Merz (Europe) Ltd,JW03047,"Ł30,526.84",Waste Data Flow project administration and management - October 2013,M5 3NN,,13908/3,0,Expense,
DEFRA,Defra,07/10/2013,Cranfield University,1383754,"Ł30,343.00",2012-13 Evaluating the potential of constructed wetland features for mitigating the impact of pesticide losses from agricultural land,MK43 0AL,,PS2248,0,Expense,
DEFRA,Defra,15/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028865,"Ł30,308.14",Nobel House cleaning of stacks - September 2013,BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Defra,01/10/2013,IBM United Kingdom Ltd,5809130320,"Ł30,160.09","Closure of Ergon House  IT services migration, reconfiguration and decommissioning - September 2013",GU1 2LD,SME,FRW10040-00,B196P010,Asset,
DEFRA,Defra,03/10/2013,University Of Plymouth,6.05E+12,"Ł29,878.00","2012-13 Tree Health capacity surveillance, including adding tree health to the UK monitoring networks",PL4 8AA,,TH0124,0,Expense,
DEFRA,Defra,17/10/2013,Atkins Ltd,13024188,"Ł29,820.83",2012-13 Water Quality Investigations and Improvements at bathing and shellfish waters in England and Wales - August 2013,WR5 1TX,,Exempt,0,Expense,
DEFRA,Defra,31/10/2013,B E T A Technology Ltd,5342,"Ł29,727.60",2013-14 - Provision of UK national contact points services for FP7 (Seventh Research Framework Programme) and LIFE+ (the EU financial instrument dedicated to the environment and nature conservation) - October 2013,DN4 5HZ,SME,exempt,EUIPARTN,Expense,
DEFRA,Defra,25/10/2013,University Of Plymouth,6049143,"Ł29,259.00",2012-13 Microplastic marine debris investigating harm and marine microparticles - October 2013,PL4 8AA,,ME5416,0,Expense,
DEFRA,Defra,07/10/2013,Housing 21,INV124100,"Ł28,945.00",2013-14 Household Waste Reward and Recognition Fund,HP9 2NA,,17005O,0,Expense,
DEFRA,Defra,01/10/2013,Sinclair Knight Merz (Europe) Ltd,JW03000,"Ł28,915.36",Waste Data Flow project administration and management - September 2013,M5 3NN,,13908/3,0,Expense,
DEFRA,Defra,23/10/2013,U N Economic Commission For Europe,181013,"Ł28,823.49",2014 UK annual membership of the Aahrus Convention of United Nations Economic Commission for Europe,,,,0,Expense,
DEFRA,Defra,31/10/2013,IBM United Kingdom Ltd,5808130253,"Ł28,803.69","Ergon House moves, time and materials - 3-24 May 2013",GU1 2LD,SME,FRW10040-00,B196P010,Asset,
DEFRA,Defra,03/10/2013,Lancaster University,8648390,"Ł28,800.96",2013-14 Perennial field margins with combined ecological and agronomical benefits for vegetable rotation schemes - Quarter 2,LA1 4YW,,,SFFS0006,Expense,
DEFRA,Defra,01/10/2013,Centre For Ecology & Hydrology,7060005117,"Ł28,339.00",2011-12 Further development of the UK Application European Monitoring and Evaluation Programme (EMEP) model,SN2 1EU,SME,AQ0727,AQRDXXXX,Expense,
DEFRA,Defra,21/10/2013,Ricardo-A E A Ltd,6153592,"Ł27,814.00",2013-14 UK Ambient Air Quality Assessments - September 2013,OX11 0QR,,,AQRDXXXX,Expense,
DEFRA,Defra,15/10/2013,Rural Payments Agency,335536,"Ł27,760.00",2013-14 - Sheep and Goat inspections - September 2013,RG1 3YD,SME,IDS/Funding,SGTINSP1,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028184,"Ł27,734.81",Senior Chartered Building Surveyor and Mechanical and Electrical Engineer to survey fifty buildings on Weybridge site for Fire Service Operational Data Gathering - August 2013,BS32 4NH,,18146,B0870000,Expense,
DEFRA,Defra,11/10/2013,Iron Mountain (UK) Ltd,RD31347RD31364,"Ł27,628.58",2013-14 Defra records storage contract - September 2013,EH54 7DF,,17664,0,Expense,
DEFRA,Defra,23/10/2013,Pinsent Masons LLP,6057773,"Ł26,916.85",Ongoing provision of legal advice and services provided to the Common Agricultural Policy Delivery Programme up to 31 March 2013,EC2A 4ES,,Legal,0,Expense,
DEFRA,Defra,09/10/2013,Global Diversity Foundation,150913,"Ł26,675.00","Darwin Initiative grant: Medicinal plant trade, conservation and local livelihoods in southern Morocco - September 2013",CT1 2TU,,20110,DARWDFID,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-527052-46105,"Ł26,673.83",2013-14 Research and development towards novel field-based approaches to the diagnosis of bovine tuberculosis in badgers - October 2013,KT15 3NB,SME,,0,Expense,
DEFRA,Defra,31/10/2013,The Sir Alister Hardy Foundation For Ocean Science,ERS-526362-45958,"Ł26,666.66",The Continuous Plankton Recorder Survey: Monitoring Marine Biodiversity and Environmental Change in the World's Oceans - October 2013,PL1 2PB,SME,,0,Expense,
DEFRA,Defra,25/10/2013,National Physical Laboratory,118130,"Ł26,550.53",2013-14 Airborne Particulate Concentrations and Numbers in the UK  - October 2013,TW11 0LW,SME,Exempt,AQRDXXXX,Expense,
DEFRA,Defra,23/10/2013,Ricardo-A E A Ltd,6153511,"Ł26,423.00",2013-14 Baseline measurements - United Kingdom Stratospheric Ozone and Spectral Ultraviolet - September 2013,OX11 0QR,,Exempt,AQNONRDX,Expense,
DEFRA,Defra,15/10/2013,Ricardo-A E A Ltd,6153521,"Ł26,420.00",UK Eutrophying and Acidifying Atmospheric Pollutants (UKEAP) - September 2013,OX11 0QR,,Exempt,AQRDXXXX,Expense,
DEFRA,Defra,25/10/2013,UNEP-WCMC,1516,"Ł26,409.00",2012-13 Developing the UK biodiversity indicators - October 2013,CB3 0DL,SME,exempt,0,Expense,
DEFRA,Defra,25/10/2013,R S P B,2.61E+12,"Ł26,406.00",Darwin Initiative grant: Enhancing habitat connectivity through sustainable development around the Gola Rainforest - October-December 2013,SG19 2DL,,20147,DARWDFID,Expense,
