Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,16/12/2013,109440,54428.52,INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,16/12/2013,109440,54428.52,INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,19/12/2013,312978,54320.46,HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,24/12/2013,315780,54267.45,AFGHANISTAN CENTER FOR TRAINING AND DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/12/2013,32928,53294.40,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,23/12/2013,2292,52649.00,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/12/2013,1566807,51794.45,ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal"
FCO,FCO,17/12/2013,24214290,50683.95,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,05/12/2013,1198694,49936.94,FACEO FRANCE,"Assets Under Construction (Oracle PA Control Account), Cleaning & Waste, Purchase of Furniture, Fittings and Domestic Appliances, Repairs And Refurbishment: Works Residential, Unscheduled repairs to building infrastructure"
FCO,FCO,20/12/2013,32928,49303.97,FCO SERVICES,Radiocommunications Expenses
FCO,FCO,11/12/2013,32928,49141.25,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,11/12/2013,65856,48055.95,FCO SERVICES,Construction Project more than £10k
FCO,FCO,11/12/2013,24972,47725.57,KOIZA INTERNATIONAL LTD,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,16/12/2013,47424,47589.83,INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Residential Property Services, Waste Disposal"
FCO,FCO,20/12/2013,115248,47342.70,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/12/2013,32928,47101.47,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,13/12/2013,216946,47099.33,INTERNATIONAL CENTRE FOR PRISON STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,31/12/2013,309764,46332.00,WITNESS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,3648,45099.43,INTERSERVE FM LTD,FM Interserve Works
FCO,FCO,17/12/2013,17947062,44831.24,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rental Payments - non residential, Telephone Call Charges, Waste Disposal, Water Non-Residential, Water Residential"
