"Department of Health, September 2013, spend over £25,000",,,,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ERS-503164-78889,"£27,397.00",Research Capability Funding,CT1 3NG,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,ERS-503166-78898,"£38,585.00",Research Capability Funding,E1 1RD,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,ERS-503167-78904,"£39,569.00",Research Capability Funding,NG8 3LL,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,EAST SUSSEX HEALTHCARE NHS TRUST,ERS-503168-78905,"£25,234.00",Research Capability Funding,TN37 7PT,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ERS-503172-78878,"£65,326.00",Research Capability Funding,GL1 2EL,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-503173-78862,"£164,591.00",Research Capability Funding,WC1N 3JH,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-503173-78862,"£44,724.00",Clinician Scientist Awards,WC1N 3JH,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-503175-78913,"£29,294.00",Research Capability Funding,M25 3BL,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-503176-78849,"£49,798.00",Health Technology Co-operatives,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-503176-78849,"£5,875.00",Translational Research Partnerships,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-503176-78849,"£14,745.00",NIHR Fellowships,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-503176-78849,"£271,724.00",Research Capability Funding,SE1 9RT,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-503178-78894,"£68,247.00",Research Capability Funding,HU16 5JQ,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-503179-78916,"£486,503.00",Research Capability Funding,W12 0HS,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-503179-78916,"£5,875.00",Translational Research Partnerships,W12 0HS,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-503184-78852,"£54,003.00",Research Capability Funding,SE5 9RS,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-503184-78852,"£5,875.00",Translational Research Partnerships,SE5 9RS,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-503184-78852,"£24,165.00",NIHR Fellowships,SE5 9RS,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,LANCASHIRE CARE NHS FOUNDATION TRUST,ERS-503187-78893,"£25,693.00",Research Capability Funding,PR5 6XT,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,LANCASHIRE CARE NHS FOUNDATION TRUST,ERS-503187-78893,"£12,771.00",NIHR Fellowships,PR5 6XT,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-503189-78841,"£60,593.00",Research Capability Funding,WF3 1WE,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-503190-78870,"£130,544.00",Research Capability Funding,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-503190-78870,"£14,679.00",NIHR Fellowships,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-503190-78870,"£13,856.00",NIHR Fellowships,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-503190-78870,"£47,726.00",Health Technology Co-operatives,LS9 7TF,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-503199-78950,"£60,217.00",Research Capability Funding,M21 9UN,PUBLIC,,,Programme
Department of Health,Department of Health,16/09/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-503202-78863,"£89,481.00",Research Capability Funding,EC1V 2PD,PUBLIC,,,Programme
