Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,23/12/2013,Estate management,Air Command,XMA LTD,NG11 7EP,289874,Estate + facilities management services - accommodation inventory + service, 471.30 
Ministry of Defence,Ministry of Defence,12/12/2013,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,285394,Cost of other material consumed, 470.60 
Ministry of Defence,Ministry of Defence,10/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Military short term detached duty, 461.69 
Ministry of Defence,Ministry of Defence,11/12/2013,IT and communication services,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Line + telephone rental including commercial charge for use of radio frequencies, 458.63 
Ministry of Defence,Ministry of Defence,23/12/2013,Purchase of inventory and services ,Navy Command,BOC LIMITED,M28 2UT,289320,Consumption of engineering and technical inventory, 454.81 
Ministry of Defence,Ministry of Defence,12/12/2013,Official entertainment and hospitality,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Entertainment + hospitality, 447.27 
Ministry of Defence,Ministry of Defence,16/12/2013,"Transportation of personnel, freight and travel expenses",Air Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,286645,Military short term detached duty, 445.90 
Ministry of Defence,Ministry of Defence,11/12/2013,Food and clothing,Defence Equipment & Support,ARAMARK LTD,LS16 6QY,284298,Cost of food services, 444.48 
Ministry of Defence,Ministry of Defence,02/12/2013,IT and communication services,Head Office & Corporate Services,CANON (UK) LIMITED,RH2 8BF,280504,Computer equipment costing below the capitalisation threshold, 438.41 
Ministry of Defence,Ministry of Defence,19/12/2013,Externally delivered education and training,Air Command,MAINSTREAM TRAINING LIMITED,ME10 3RY,288194,External military training , 438.00 
Ministry of Defence,Ministry of Defence,13/12/2013,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,285523,Spend on Inventory - General, 437.78 
Ministry of Defence,Ministry of Defence,02/12/2013,"Transportation of personnel, freight and travel expenses",Land Forces,SODEXO LTD,M50 0AL,280900,Military short term detached duty, 437.39 
Ministry of Defence,Ministry of Defence,11/12/2013,Official entertainment and hospitality,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Entertainment + hospitality, 435.06 
Ministry of Defence,Ministry of Defence,30/12/2013,Estate management,Defence Equipment & Support,SODEXO LTD,M50 0AL,290629,Estate + facilities management services - accommodation inventory + service, 434.45 
Ministry of Defence,Ministry of Defence,10/12/2013,Design services and minor equipment purchases,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Equipment support non-project costs, 432.37 
Ministry of Defence,Ministry of Defence,12/12/2013,Payment of utilities,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Utilities consumed - water + sewage, 430.87 
Ministry of Defence,Ministry of Defence,11/12/2013,Research and development,Defence Equipment & Support,ASPIRE DEFENCE LIMITED,SP9 7QD,284305,Feasibility studies covering concept/assessment phase costs, 429.37 
Ministry of Defence,Ministry of Defence,24/12/2013,Estate management,Navy Command,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,289961,Estate + facilities management services - accommodation inventory + service, 427.48 
Ministry of Defence,Ministry of Defence,16/12/2013,Purchase of inventory and services ,Head Office & Corporate Services,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,286156,Cost of other material consumed, 422.63 
Ministry of Defence,Ministry of Defence,19/12/2013,"Transportation of personnel, freight and travel expenses",Land Forces,SODEXO LTD,M50 0AL,288389,Military short term detached duty, 421.71 
Ministry of Defence,Ministry of Defence,11/12/2013,IT and communication services,Defence Equipment & Support,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,284361,Information technology services, 421.40 
Ministry of Defence,Ministry of Defence,10/12/2013,Payment of utilities,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Utilities consumed - electricity, 419.28 
Ministry of Defence,Ministry of Defence,10/12/2013,Food and clothing,Defence Equipment & Support,ELIOR UK PLC,SK11 6ET,283643,Cost of clothing and textile services received, 409.96 
Ministry of Defence,Defence Science and Technology Laboratory,13/12/2013,Other Services & Office costs,Corporate,BARCLAYCARD,,G - 9000156326 - 00176390,Other Services & Office costs, 408.17 
Ministry of Defence,Ministry of Defence,17/12/2013,International contributions,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Defence military assistance fund international subscriptions and other payments, 404.88 
Ministry of Defence,Ministry of Defence,02/12/2013,Purchase of inventory and services ,Defence Equipment & Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,280476,Cost of other material consumed, 404.22 
Ministry of Defence,Ministry of Defence,24/12/2013,Design services and minor equipment purchases,Defence Equipment & Support,STERIA LIMITED,HP2 7AH,290210,Equipment support project costs, 400.00 
Ministry of Defence,Ministry of Defence,24/12/2013,Estate management,Joint Forces Command,ISS MEDICLEAN LIMITED,GU21 5RW,290039,Estate + facilities management services - accommodation inventory + service, 398.78 
Ministry of Defence,Ministry of Defence,10/12/2013,Design services and minor equipment purchases,Air Command,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,283539,Equipment support non-project costs, 392.75 
Ministry of Defence,Ministry of Defence,13/12/2013,IT and communication services,Land Forces,COMPUTACENTER (UK) LIMITED,SE1 8HL,285554,Computer equipment costing below the capitalisation threshold, 392.14 
Ministry of Defence,Ministry of Defence,24/12/2013,Purchase of inventory and services ,Head Office & Corporate Services,BOC LIMITED,M28 2UT,289922,Consumption of engineering and technical inventory, 390.60 
Ministry of Defence,Ministry of Defence,09/12/2013,Rent and rates,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Rent Land - civil estate property, 390.43 
Ministry of Defence,Ministry of Defence,17/12/2013,Administration,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,General administration, 387.40 
Ministry of Defence,Ministry of Defence,27/12/2013,Estate management,Land Forces,ELIOR UK PLC,SK11 6ET,290355,Estate + facilities management services - accommodation inventory + service, 386.40 
Ministry of Defence,Ministry of Defence,04/12/2013,Spend on Inventory - General,Defence Equipment & Support,BUNZL UK LIMITED,W1H 7JT,179695,Spend on Inventory - General, 385.61 
Ministry of Defence,Ministry of Defence,24/12/2013,Payment of utilities,Land Forces,BRITISH GAS TRADING LIMITED,OX4 2JY,289930,Utilities consumed - electricity, 384.56 
Ministry of Defence,Ministry of Defence,20/12/2013,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,CV2 2TX,288515,Consumption of medical dental and veterinary inventory, 383.36 
Ministry of Defence,Ministry of Defence,16/12/2013,Design services and minor equipment purchases,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,286156,Equipment support non-project costs, 382.05 
Ministry of Defence,Ministry of Defence,10/12/2013,Administration,Joint Forces Command,ROYAL MAIL GROUP LIMITED,S49 1HQ,284035,General administration, 382.00 
