Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,Western Asia and Stabilisation Division,MERCY CORPS,400126775,"993,725.00"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,NAM PUBLICATIONS,400126776,"66,454.35"
DFID,DFID,03/11/2010,Emergency / Humanitarian Assistance,Western Asia and Stabilisation Division,The Food and Agriculture Organization Of The United Nations (GBP),400126778,"5,948,342.00"
DFID,DFID,03/11/2010,Other Admin Costs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Cabinet Office RM Shared Services,400126784,"307,318.00"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",SHELTER CENTRE,400126785,"87,360.95"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",SHELTER CENTRE,400126785,"323,550.90"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",SHELTER CENTRE,400126785,"-337,993.65"
DFID,DFID,03/11/2010,Aid to other bilateral donors,East and Central Africa,Irish Aid,400126791,"2,486,311.00"
DFID,DFID,02/11/2010,Technical & Advisory services,East and Central Africa,TRIBAL HELM CORPORATION LTD,400126792,"65,257.97"
DFID,DFID,03/11/2010,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400126794,"135,000.00"
DFID,DFID,03/11/2010,Technical & Advisory services,Asia Division,TRIBAL HELM CORPORATION LTD,400126800,"404,866.26"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,The Carter Center,400126907,"105,008.00"
DFID,DFID,05/11/2010,Technical & Advisory services,Asia Division,ADAM SMITH INTERNATIONAL  LTD,400126922,"32,984.49"
DFID,DFID,03/11/2010,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400126924,"40,781.41"
DFID,DFID,03/11/2010,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400126925,"69,573.48"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,FORESTS MONITOR LTD,400126928,"69,385.87"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,Farmers Union of Malawi,400126929,"67,605.64"
DFID,DFID,03/11/2010,Technical & Advisory services,West and Southern Africa,NATHAN EME LTD,400126950,"8,322.05"
DFID,DFID,03/11/2010,Technical & Advisory services,West and Southern Africa,NATHAN EME LTD,400126950,"36,788.19"
DFID,DFID,03/11/2010,Technical & Advisory services,West and Southern Africa,NATHAN EME LTD,400126950,"22,935.00"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,Rensida,400126969,"40,511.60"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,OXFAM,400126978,"2,392,500.00"
DFID,DFID,04/11/2010,Aid to international organisations,Policy and Research Directorate,UNOPS (ACCESS SUPPORT TEAM PROJECT),400126983,"800,000.00"
DFID,DFID,04/11/2010,Software,Business Solutions Division Level,LOGICACMG UK LTD.,400126984,"101,414.00"
DFID,DFID,04/11/2010,Software,Business Solutions Division Level,LOGICACMG UK LTD.,400126984,"10,087.75"
DFID,DFID,03/11/2010,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400126994,"99,972.53"
DFID,DFID,03/11/2010,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400126994,"74,025.00"
DFID,DFID,03/11/2010,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400126998,"99,972.53"
DFID,DFID,03/11/2010,Technical & Advisory services,Policy and Research Directorate,PRICEWATERHOUSECOOPERS,400126998,"18,506.26"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,East and Central Africa,La Benevolencija,400127001,"78,407.00"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400127010,"95,991.65"
DFID,DFID,04/11/2010,Aid to international organisations,Policy and Research Directorate,IBRD HSBC T,400127011,"242,500.00"
DFID,DFID,04/11/2010,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400127025,"480,353.54"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,The North-South Institute,400127037,"70,101.00"
DFID,DFID,04/11/2010,Aid to international organisations,East and Central Africa,THE BRITISH RED CROSS SOCIETY,400127041,"496,990.00"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,Catholic Commission for Justice and,400127053,"117,270.16"
DFID,DFID,04/11/2010,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",UN RELIEF AND WORKS AGENCY,400127058,"87,514.00"
DFID,DFID,03/11/2010,Technical & Advisory services,Asia Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400127069,"63,700.72"
DFID,DFID,04/11/2010,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400127071,"179,711.77"
DFID,DFID,03/11/2010,Direct Programme training / facilitation,Western Asia and Stabilisation Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400127075,"30,456.13"
DFID,DFID,03/11/2010,Staff training & Conferences,Western Asia and Stabilisation Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400127075,"30,456.13"
DFID,DFID,04/11/2010,Technical & Advisory services,Asia Division,LIVERPOOL SCHOOL OF TROPICAL MEDICINE,400127077,"44,401.16"
DFID,DFID,03/11/2010,Technical & Advisory services,West and Southern Africa,HEALTH PARTNERS INTERNATIONAL,400127078,"408,732.20"
DFID,DFID,03/11/2010,Technical & Advisory services,Policy and Research Directorate,HEALTH PARTNERS INTERNATIONAL,400127081,"128,859.49"
DFID,DFID,04/11/2010,Energy Costs,Human Resources Division,EDF Trading Ltd,400127099,"303,139.90"
DFID,DFID,04/11/2010,Software,Business Solutions Division Level,BT ENGAGE IT,400127107,"29,663.38"
DFID,DFID,04/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400127113,"45,824.14"
DFID,DFID,04/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400127114,"31,781.00"
DFID,DFID,05/11/2010,Aid to international organisations,Asia Division,IBRD HSBC T,400127115,"4,000,001.00"
DFID,DFID,05/11/2010,Aid to international organisations,Asia Division,IBRD HSBC T,400127115,-1
DFID,DFID,04/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400127116,"45,824.14"
DFID,DFID,04/11/2010,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",COFFEY INTERNATIONAL DEVELOPMENT LTD,400127125,"29,670.00"
DFID,DFID,04/11/2010,Technical & Advisory services,International Relations Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400127127,"93,004.56"
DFID,DFID,04/11/2010,Technical & Advisory services,East and Central Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400127129,"37,917.43"
DFID,DFID,04/11/2010,Technical & Advisory services,East and Central Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400127131,"44,259.34"
DFID,DFID,05/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,Health Reform Foundation of Nigeria,400127134,"216,925.42"
DFID,DFID,04/11/2010,Technical & Advisory services,Asia Division,PRICEWATERHOUSECOOPERS DEVELOPMENT,400127146,"38,045.00"
DFID,DFID,04/11/2010,Technical & Advisory services,Asia Division,PRICEWATERHOUSECOOPERS DEVELOPMENT,400127151,"38,045.00"
DFID,DFID,05/11/2010,Aid to other bilateral donors,West and Southern Africa,The World Bank (EFO),400127154,"103,610.00"
