Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
DEFRA,Core Dept,Jan-11,Local Area Agreement - Current,Environment and Rural Group,Dept For Communities & Local G,231210,"749,250.00",
DEFRA,Core Dept,Jan-11,Electricity,Corporate Services Group,D T Z,DEFRA065,"751,944.36",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,Dartmoor National Park Authori,231210,"803,351.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,New Forest National Park Auth,231210,"848,020.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,Exmoor National Park Authority,231210,"850,000.00",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Medicines Directora,FI00015660,"860,000.00",
DEFRA,Core Dept,Jan-11,Transition & Transformation,Corporate Services Group,IBM United Kingdom Ltd,5812102281,"866,958.48",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,Broads Authority,231210,"898,302.00",
DEFRA,Core Dept,Jan-11,Grant-in Aid Payments,Strategy and Evidence Group,Royal Botanic Gardens,KEWGIA081011130111,"1,070,000.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,Yorkshire Dales National Autho,231210,"1,094,434.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,North York Moors National Park,231210,"1,095,518.00",
DEFRA,Core Dept,Jan-11,Grant-in Aid Payments,Environment and Rural Group,Consumer Council for Water (CC,71210,"1,275,350.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,Lake District National Park Au,231210,"1,415,029.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Department Of Energy and Clima,40005021,"1,450,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Food and Farming Group,University Of Nottingham,7648273,"1,568,455.21",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471130-31692,"1,621,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Environment and Rural Group,C E F A S,8000725,"2,473,717.30",
DEFRA,Core Dept,Jan-11,Estate Maintenance Admin,Corporate Services Group,Interserve (Facilities Mngmnt),SI00000234,"2,829,631.20",
