Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,14/05/2013,Purchase of inventory and services ,Joint Forces Command,AAH PHARMACEUTICALS LTD,CV2 2TX,205796,Consumption of medical dental and veterinary inventory,"16,222.58"
Ministry of Defence,Ministry of Defence,14/05/2013,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,205796,Consumption of medical dental and veterinary inventory,"16,192.19"
Ministry of Defence,Ministry of Defence,02/05/2013,Medical treatment & stores and welfare services,Joint Forces Command,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,201535,Medical health services,"16,173.88"
Ministry of Defence,Ministry of Defence,17/05/2013,IT and communication services,Defence Equipment & Support,STERIA LIMITED,HP2 7AH,207722,Computer equipment costing below the capitalisation threshold,"16,125.00"
Ministry of Defence,Ministry of Defence,08/05/2013,Fuel for military use,Air Command,EUROSHELL DEUTSCHLAND GMBH,,5000096297,Oil and lubricants consumed excluding those from the inventory system,"16,046.52"
Ministry of Defence,Ministry of Defence,14/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,205988,Equipment support non-project costs,"16,004.81"
Ministry of Defence,Ministry of Defence,28/05/2013,IT and communication services,Defence Equipment & Support,MICROSOFT LTD,,210729,Information technology services,"16,002.30"
Ministry of Defence,Ministry of Defence,30/05/2013,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,211469,Utilities consumed - heating oil,"15,979.32"
Ministry of Defence,Ministry of Defence,03/05/2013,General services and support,Joint Forces Command,LIFE FITNESS (U K) LTD,CB7 4UB,202458,Purchase of defence support equipment below capitalisation threshold of £25k.,"15,949.02"
Ministry of Defence,Ministry of Defence,14/05/2013,Payment of utilities,Land Forces,GB OILS LIMITED,FK5 4RB,205945,Utilities consumed - heating oil,"15,941.76"
Ministry of Defence,Ministry of Defence,17/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,RACAL ACOUSTICS LIMITED,HA1 4TR,207655,Post design services which are not capitalised,"15,925.44"
Ministry of Defence,Ministry of Defence,28/05/2013,"Transportation of personnel, freight and travel expenses",Navy Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,210926,Military short term detached duty,"15,858.45"
Ministry of Defence,Ministry of Defence,29/05/2013,Estate management,Defence Infrastructure Organisation ,ELIOR UK PLC,SK11 6ET,211134,Estate + facilities management services - accommodation inventory + service,"15,833.19"
Ministry of Defence,Ministry of Defence,20/05/2013,General services and support,Defence Equipment & Support,RAYTHEON SYSTEMS LIMITED,CM19 5BB,208169,Defence equipment CLS/IOS service charge,"15,820.00"
Ministry of Defence,Ministry of Defence,30/05/2013,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,211288,Consumption of medical dental and veterinary inventory,"15,633.45"
Ministry of Defence,Ministry of Defence,17/05/2013,Spend on Inventory - General,Defence Equipment & Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,207267,Spend on Inventory - General,"15,555.00"
Ministry of Defence,Ministry of Defence,14/05/2013,Design services and minor equipment purchases,Head Office & Corporate Services,QINETIQ LIMITED,GU14 0LX,206070,Equipment support non-project costs,"15,500.00"
Ministry of Defence,Ministry of Defence,10/05/2013,Payment of utilities,Defence Infrastructure Organisation ,WATSON PETROLEUM LTD,SN15 5DN,205253,Utilities consumed - heating oil,"15,454.83"
Ministry of Defence,Ministry of Defence,23/05/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,209327,Cost of other material consumed,"15,425.70"
Ministry of Defence,Ministry of Defence,17/05/2013,Estate management,Land Forces,SODEXO LTD,M50 0AL,207707,Estate + facilities management services - accommodation inventory + service,"15,393.14"
Ministry of Defence,Ministry of Defence,17/05/2013,Payment of utilities,Joint Forces Command,GB OILS LIMITED,FK5 4RB,207402,Utilities consumed - heating oil,"15,392.17"
Ministry of Defence,Ministry of Defence,16/05/2013,Fees for professional services,Defence Equipment & Support,ATKINS LIMITED,WR5 1TX,206721,Safety Management,"15,390.00"
Ministry of Defence,Ministry of Defence,09/05/2013,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,204509,Cost of food services,"15,338.63"
Ministry of Defence,Ministry of Defence,28/05/2013,Fees for professional services,Defence Infrastructure Organisation ,URS INFRASTRUCTURE & ENVIRONMENT UK LIMITED,RG21 7PP,211057,Fees for professional services excluding legal fees,"15,282.50"
Ministry of Defence,Ministry of Defence,07/05/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,203459,Cost of other material consumed,"15,219.93"
Ministry of Defence,Ministry of Defence,07/05/2013,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,202816,Consumption of medical dental and veterinary inventory,"15,206.05"
Ministry of Defence,Ministry of Defence,13/05/2013,Spend on Inventory - General,Defence Equipment & Support,FORBO FLOORING UK LIMITED,DE5 3NT,205453,Spend on Inventory - General,"15,141.58"
Ministry of Defence,Ministry of Defence,23/05/2013,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,209796,Cost of other material consumed,"15,106.42"
Ministry of Defence,Ministry of Defence,16/05/2013,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,207215,Cost of other material consumed,"15,071.32"
Ministry of Defence,Ministry of Defence,24/05/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,209854,Cost of other material consumed,"15,041.16"
Ministry of Defence,Ministry of Defence,16/05/2013,Fees for professional services,Land Forces,THE DISCLOSURE AND BARRING SERVICE,L69 3JA,207155,Fees for professional services excluding legal fees,"15,004.00"
Ministry of Defence,Ministry of Defence,09/05/2013,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,204590,Cost of other material consumed,"14,999.63"
Ministry of Defence,Ministry of Defence,03/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,202095,Equipment support non-project costs,"14,960.40"
Ministry of Defence,Ministry of Defence,03/05/2013,Purchase of inventory and services ,Defence Equipment & Support,3M UNITED KINGDOM PUBLIC LIMITED COMPANY,RG12 8HT,202037,Raw material and consumable or capital spare purchased,"14,948.21"
Ministry of Defence,Ministry of Defence,17/05/2013,IT and communication services,Land Forces,STERIA LIMITED,HP2 7AH,207722,Information technology services,"14,936.00"
