Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",97813,15.00,Default-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence UK,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",97813,18.53,Default-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Taxi Services UK,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",97813,19.00,Default-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",97814,180.00,BRDO: Developing Markets-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",97815,90.00,BRDO: Developing Markets-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Taxi Services Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",97816,7.99,Legal Services Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",97816,10.00,Legal Services Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",97816,14.00,Legal Services Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",97816,19.97,Legal Services Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",97817,11.65,F&C Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",97817,15.00,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",97817,43.62,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97818,14.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97819,14.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97820,14.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97821,5.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97821,28.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",97822,3.90,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",97822,6.50,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",97822,15.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Taxi Services UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",97822,21.80,PSHE Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Hospitality - UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",97823,27.35,BLG Devolved Admin-Hospitality - UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97824,4.60,OME Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97824,10.00,OME Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97824,38.82,OME Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Hotel & Accommodation UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97824,129.00,OME Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Shareholder Executive - Corporate Finance Practice,"Personal Expense, Name Witheld",97825,12.00,ShEx Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97826,7.84,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97826,15.00,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97826,45.34,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/05/2015,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",97827,5.00,Other Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/05/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",97827,28.00,Other Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,UKSBS - Service Costs,Finance & Commercial Group - UK Shared Business Services,UK SHARED BUSINESS SERVICES LTD,97863,2708333.33,F&C Devolved Admin-UKSBS - Service Costs,SN2 1FF,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Learning and Dev - CS Skills,Economics & Markets - Consumer and Competition Policy,CAPITA BUSINESS SERVICES LTD,97864,173.00,E&M Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Advertising,"People, Strategy and Higher Education - Communications Directorate",TNS UK LTD,97865,7500.00,Corporate Presentation-Advertising,W5 1UA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/05/2015,Learning and Dev - CS Skills,Enterprise & Skills Group - Vocational Education Directorate,CAPITA BUSINESS SERVICES LTD,97866,400.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/05/2015,Other Training Costs,Economics & Markets - Analysis Directorate,CAPITA BUSINESS SERVICES LTD,97867,459.41,E&M Devolved Admin-Other Training Costs,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2015,Catering Supplies,Finance & Commercial Group - Estates,BAXTERSTOREY LTD,97868,44133.38,F&C Devolved Admin-Catering Supplies,RG6 1PT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Telecoms Equipment,Enterprise & Skills Group - Vocational Education Directorate,THE NATIONAL ARCHIVES,97870,3660.00,Research And Analytical Services-Telecoms Equipment,TW9 4DU,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Publications,Legal Services - Legal Services,BLACKWELL UK LTD,97871,245.04,Legal Services Admin-Publications,OX1 2YX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/05/2015,Training And Development Expenditure,Enterprise & Skills Group - Better Regulation Delivery Office,CAPITA BUSINESS SERVICES LTD,97872,1754.00,E&S Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Training And Development Expenditure,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,97873,173.00,E&M Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2015,Catering Supplies,Finance & Commercial Group - Estates,BAXTERSTOREY LTD,97874,30774.48,F&C Devolved Admin-Catering Supplies,RG6 1PT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Publications,Legal Services - Legal Services,BLACKWELL UK LTD,97875,46.80,Legal Services Admin-Publications,OX1 2YX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Hotel & Accommodation,Business & Local Growth - Europen Reform,HAMPSHIRE COUNTY COUNCIL,97882,266.75,BLG Devolved Admin-Hotel & Accommodation,SO23 8UB,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,LUTON BOROUGH COUNCIL,97883,72500.00,Enterprise Directorate Priority Projects-Current Grants To Private Sector - NPISH,LU1 2BQ,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Hotel & Accommodation,Business & Local Growth - Europen Reform,HAMPSHIRE COUNTY COUNCIL,97884,115.32,BLG Devolved Admin-Hotel & Accommodation,SO23 8UB,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Professional Subscriptions,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",97887,164.00,E&S Devolved Admin-Professional Subscriptions,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Rail Travel UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97889,42.90,E&S Devolved Admin-Rail Travel UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Courier Services,Enterprise & Skills Group - Better Regulation Delivery Office,JOHN SKINNER & PETER MICHAEL SKINNER T/A W H SKINNER,97891,80.00,BRDO: Product Development-Courier Services,ME17 3SP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,JOHN SKINNER & PETER MICHAEL SKINNER T/A W H SKINNER,97891,2332.80,BRDO: Product Development-Technical Advice / Services & Support,ME17 3SP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),97904,60848.54,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Leadership & People Management,"People, Strategy and Higher Education - Human Resources",CAPITA BUSINESS SERVICES LTD,97914,3500.00,PSHE Non Devolved Admin-Leadership & People Management,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,HR Training Educat Consultcy,Economics & Markets - International Trade & Export Control,INTERANALYSIS LTD,97915,182.04,E&M Devolved Admin-HR Training Educat Consultcy,BN1 9SB,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,HR Training Educat Consultcy,Economics & Markets - International Trade & Export Control,INTERANALYSIS LTD,97915,6000.00,E&M Devolved Admin-HR Training Educat Consultcy,BN1 9SB,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/05/2015,Financing of Departmental Agencies,Economics & Markets - Consumer and Competition Policy,SCOTTISH ASSOCIATION CITIZENS ADVICE BUREAUX,97921,128718.00,Advocacy and Legacy Pensions Relating to Postal and Energy Sectors-Financing of Departmental Agencies,EH7 4GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/05/2015,Financing of Departmental Agencies,Economics & Markets - Consumer and Competition Policy,SCOTTISH ASSOCIATION CITIZENS ADVICE BUREAUX,97921,168165.00,Advocacy and Legacy Pensions Relating to Postal and Energy Sectors-Financing of Departmental Agencies,EH7 4GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/05/2015,Current Grants To Private Sector - NPISH,Economics & Markets - Consumer and Competition Policy,SCOTTISH ASSOCIATION CITIZENS ADVICE BUREAUX,97921,291667.00,CAS: Bureaux - Scotland-Current Grants To Private Sector - NPISH,EH7 4GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Printing,Enterprise & Skills Group - Better Regulation Delivery Office,DIGITAL ART STUDIO,97923,5533.50,BRDO: Product Development-Printing,CV8 3EP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,PARITY PROFESSIONALS LTD,97925,3145.00,F&C Devolved Admin-Consultancy Expenditure,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Research and Development Expenditure,Enterprise & Skills Group - Vocational Education Directorate,OFFICE FOR NATIONAL STATISTICS,97953,371735.00,Research And Analytical Services-Research and Development Expenditure,NP10 8XG,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,PORTSMOUTH CITY COUNCIL,97961,20000.00,Enterprise Directorate Priority Projects-Current Grants To Private Sector - NPISH,PO1 2AS,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,PORTSMOUTH CITY COUNCIL,97961,58714.69,Enterprise Directorate Priority Projects-Current Grants To Private Sector - NPISH,PO1 2AS,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Audit Services,Knowledge & Innovation Group - International Knowledge and Innovation,MOORE STEPHENS LLP,97965,32425.00,International: ERASMUS-Audit Services,EC1A 4AB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Telecoms Equipment,Legal Services - Legal Services,BRITISH TELECOMMUNICATIONS plc (BT),97966,59.89,Legal Services Admin-Telecoms Equipment,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,External Legal Advice and Service,Legal Services - Legal Services,MORTON FRASER LLP,97968,1624.00,Legal Services Admin-External Legal Advice and Service,EH3 9GL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Purchase of Intangible Software,Enterprise & Skills Group - Better Regulation Delivery Office,GB GROUP PLC,97969,6000.00,BRDO: PA Delivery-Purchase of Intangible Software,CH4 9GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Audit Services,Finance & Commercial Group - Internal Audit,PRICEWATERHOUSECOOPERS LLP,97973,9000.00,F&C Devolved Admin-Audit Services,SE1 2RD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97982,5.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97982,7.79,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97982,14.90,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97983,5.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97983,8.54,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97983,14.90,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Taxi Services UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97985,8.50,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",97986,3.90,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",97986,15.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97990,4.60,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Taxi Services UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97990,11.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97991,5.19,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97991,6.89,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97991,12.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97991,12.90,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,2.50,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,5.20,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,7.95,ECO - Non Proliferation Awareness Seminars-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,10.00,ECO - Non Proliferation Awareness Seminars-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Rail Travel UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,12.70,ECO - Non Proliferation Awareness Seminars-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,15.79,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Rail Travel UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,16.50,ECO - Non Proliferation Awareness Seminars-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,53.58,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,59.87,ECO - Non Proliferation Awareness Seminars-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Hotel & Accommodation UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97992,117.00,ECO - Non Proliferation Awareness Seminars-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Rail Travel UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",97993,7.10,Other Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",97994,5.00,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",97994,8.05,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",97994,10.93,F&C Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Hotel & Accommodation UK,Finance & Commercial Group - Finance Directoreate,"Personal Expense, Name Witheld",97994,144.00,F&C Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97995,10.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97995,14.19,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Taxi Services UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97995,15.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97995,34.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Mileage Allowance UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97995,41.40,E&S Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97995,50.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97995,101.76,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97996,92.35,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Taxi Services Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97997,10.81,E&M Devolved Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97997,22.41,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Hotel & Accommodation Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97997,98.13,E&M Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Rail Travel UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",97998,42.10,E&S Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
