Entity,Date,Supplier , Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
RPA,22/11/2013,DTZ," £34,050.94 ","Newmarket quarterly Rates, insurance premiums, rent, service charge, electricity and water expenditure - 01 July-30 September 2013",B4 6AJ,,65392,N/A,ADMIN,
RPA,22/11/2013,DTZ," £184,142.00 ","Exeter quarterly rates, insurance premiums, rent, electricity, gas and water expenditure - 01 July-30 September 2013",B4 6AJ,,65392,N/A,ADMIN,
RPA,04/11/2013,Home Office," £23,370.00 ",Home Office Information Technology costs for Common Agricultural Policy delivery work,NP20 9BB,,65576,FOP01000,ADMIN,
RPA,06/11/2013,IBM," £28,715.00 ",Replacement of lightweight directory access protocol support servers and services - project completion report and retention,PO6 3AE,,65105,PPT02500,ADMIN,
RPA,06/11/2013,IBM," £724,389.91 ",Rural Payments Agency Information Technology Base Services - October 2013,PO6 3AE,,65597,IBMBS000,ADMIN,
RPA,07/11/2013,IBM," £50,214.03 ","Milestone payment for customer relation management application, complaints and appeals and online guidance environment handed over.",PO6 3AE,,65516,SIP10000,ADMIN,
RPA,15/11/2013,IBM," £724,466.10 ",Rural Payments Agency Information Technology Base Services - November 2013,PO6 3AE,,65597,IBMBS000,ADMIN,
RPA,25/11/2013,IBM," £27,172.20 ",Decommissioning of IT applications - September 2013,PO6 3AE,,65633,IBMBS000,ADMIN,
RPA,29/11/2013,IBM," £29,974.12 ",Test completion milestone for the Animal Movement Licensing System ,PO6 3AE,,65498,PPX08700,ADMIN,
RPA,01/11/2013,InfoTech Enterprises Europe Ltd," £76,507.33 ",Digitisation of land parcels in Rural Land Register - September 2013,WC1V 6RL,,64916,N/A,ADMIN,
RPA,29/11/2013,InfoTech Enterprises Europe Ltd," £80,335.91 ",Digitisation of land parcels in Rural Land Register - October 2013,WC1V 6RL,,64916,N/A,ADMIN,
RPA,26/11/2013,Insight Direct (UK) Ltd," £66,200.00 ",Support for multivue software license - second and third years,UB8 1PH,,64740,SIP02000,ADMIN,
RPA,27/11/2013,Redfern Travel Ltd," £111,602.82 ",Travel costs incurred as per the Government Procurement Service contract - October 2013,BD1 3AE,,N/A,N/A,ADMIN,
RPA,21/11/2013,Remote Sensing Applications," £81,297.92 ",Remote sensing checks in respect of Single Payment Scheme applications,SO24 0AA,,65071,N/A,ADMIN,
RPA,25/11/2013,Remote Sensing Applications," £26,166.46 ",Remote sensing checks in respect of Single Payment Scheme applications,SO24 0AA,,65071,N/A,ADMIN,
RPA,01/11/2013,Software AG," £21,711.54 ",Disaster Recovery test and related activities - August 2013,DE24 8HS,,65476,RCVS0110,ADMIN,
RPA,08/11/2013,The Treasury Solicitor (Tsol)," £407,566.10 ",Advisory legal services - 1 April 2013-30 September 2013,WC2B 4TS,,64689,N/A,ADMIN,
RPA,08/11/2013,The Treasury Solicitor (Tsol)," £85,555.20 ",Litigation/Prosecution legal services - 1 April 2013-30th September 2013,WC2B 4TS,,64689,N/A,ADMIN,
MMO ,20/11/2013,Redfern Travel Ltd," £41,799.94 ",Redfern travel bill - October 2013,BD1 3AZ,SME,,00000000,Asset,
MMO ,06/11/2013,Directflight Ltd," £40,406.85 ",Marine Management aerial surveillance hours incurred in relation to coastal enforcement -  October 2013,MK43 0AN,SME,,00000000,Expense,
MMO ,18/11/2013,The Scottish Government," £80,913.29 ",Marine Management aerial surveillance hours incurred in relation to coastal enforcement -  Quarter 2 2013,EH6 6QQ,,,00000000,Expense,
MMO ,12/11/2013,DEFRA," £44,776.80 ",Recharges for Shared Services Directorate - October 2013,YO1 7PX,,,00000000,Expense,
MMO ,28/11/2013,Shared Services Connected Ltd," £42,153.72 ",Fixed monthly charge for shared services work - November 2013,HP2 7AH,,,00000000,Expense,
MMO ,22/11/2013,Coombe Fisheries Limited," £78,943.66 ",European Fisheries Fund grant payment,EX31 1QN,SME,,00000000,Expense,
MMO ,26/11/2013,Falfish Limited," £156,185.59 ",European Fisheries Fund grant payment,TR15 1SS,SME,,00000000,Expense,
MMO ,22/11/2013,Weymouth & Portland Borough Council," £41,061.54 ",European Fisheries Fund grant payment,DT4 8TA,SME,,00000000,Expense,
MMO ,22/11/2013,CNV Systems Ltd," £35,280.00 ",European Fisheries Fund grant payment,NE30 1JE,SME,,00000000,Expense,
MMO ,12/11/2013,Cornish Ice Co Ltd," £145,913.49 ",European Fisheries Fund grant payment - 1st Claim.,TR18 5HJ,SME,,00000000,Expense,
MMO ,04/11/2013,Fivium Ltd," £29,133.60 ",Work on development of the Marine Case Management System - September 2013,WC2E 9EZ,SME,,00000000,Asset,
MMO ,18/11/2013,University Of Hull," £29,391.00 ",Development of Spatial Models of Essential Fish Habitat for the South Coast Inshore and Offshore Marine Plan Areas.,HU6 7RX,,,00000000,Expense,
MMO ,18/11/2013,A B P Marine Environmental Research Ltd," £36,420.08 ",Assessment of Potential Future Trends in Fisheries in the South Inshore and Offshore Marine Plan Areas - 8 July 2013,SO14 2AQ,SME,,00000000,Expense,
MMO ,14/11/2013,D T Z," £80,692.54 ",Estate charges - Quarter 2,B4 6AJ,,,00000000,Expense,
AHVLA,25/11/2013,XL FARMCARE WEST MIDLANDS LTD~114213469," £110,223.74 ",Payment to veterinary practice for services provided in an official capacity ,ST14 8EB,SME,,00000000,Expense,
AHVLA,19/11/2013,DEFRA," £226,870.00 ",Quarterly charge for transactional services from SSD - October 2013,YO1 7PX,,,HARDSSDC,Expense,
AHVLA,01/11/2013,IBM United Kingdom Ltd," £67,206.91 ",Pega IT System Upgrade - August 2013,GU1 2LD,SME,,TAC00254,Expense,
AHVLA,27/11/2013,IBM United Kingdom Ltd," £244,946.00 ",IBM Onboarding - Single Business Case - November 2013,GU1 2LD,SME,,TAC00251,Expense,
AHVLA,27/11/2013,IBM United Kingdom Ltd," £52,199.12 ",Wide Area Network (WAN) Upgrades  - October 2013,GU1 2LD,SME,,TAC00251,Expense,
AHVLA,27/11/2013,IBM United Kingdom Ltd," £31,752.49 ",Poultry Register Decommissioning - November 2013,GU1 2LD,SME,,00000000,Expense,
AHVLA,07/11/2013,IBM United Kingdom Ltd," £63,006.47 ",Pega System Upgrade - October 2013,GU1 2LD,SME,,TAC00254,Expense,
AHVLA,27/11/2013,IBM United Kingdom Ltd," £153,933.73 ",Pega System Upgrade - November 2013,GU1 2LD,SME,,TAC00254,Expense,
AHVLA,11/11/2013,Genus Breeding Ltd.," £25,633.90 ",Provision of services for vaccinations in the event of an emergency.,CW5 7JW,SME,,EMERVACC,Expense,
