Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10747978,66866.36 ,SITE 281 GAS 01/12/2015 TO 01/01/2016 A/C SITE 281,WD17 1JW,,,B2810000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Other Current Payments (GB),"Strategy, International, Food and Farming DG Group",C E F A S,8005537,25000.00 ,PO 374546 FUNDING FOR CCN2 WEST GREENLAND SAMPLING IN FY 15/16,NR33 0HT,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,09/02/2016,Grant-in Aid Payments,"Strategy, International, Food and Farming DG Group",Marine Management Organisation,050216,600000.00 ,"PO 361076,  GRANT IN AID PAYMENT TO MMO FEB 2016",NE4 7YH,,GIA,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Contractor - Management Cover,Chief Operating Officer DG,Scroll LLP,131115,33034.00 ,PO 382104 OCT 15 CONTENT DESIGNERS SCROLL 1121,SW2,SME,22635,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Indigo Blue Consulting Ltd,1512698,29970.00 ,PO 377772 CONSULTANT DEC 15,SW1Y 6JP,SME,CAP236,CAPDFA02,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Evidence Non R&D,Environment and Rural DG Group,Ricardo-A E A Ltd,6162783,115705.25 ,PO 377990 CONTRACT REF 21316,OX11 0QR,,21316,AQNONRDX,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM114326,29913.24 ,PO 380726 CONSULTANCY,B11 2LE,SME,CAP514,CAPDFACP,Asset,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",Institute of Zoology,35967,56267.00 ,PO 348202 CETACEAN STANDINGS INVESTIGATION BY THE CSIP 1 OCT AND 31 DEC 2015,NW1 4RY,,MB0111,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Contractor - Management Cover,Chief Operating Officer DG,Scroll LLP,091215,51372.00 ,PO 382104  NOV 15 CONTENT DESIGNERS REF 1149,SW2,SME,22635,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,10/02/2016,Contractor - Management Cover,Chief Operating Officer DG,Wiltshire Council,080116,38375.00 ,PO 382104 DEC 15 CONTENT REF - SCROLL 1218,SW2,SME,22635,00000000,Expense,,,,,,,,,,,,,,,
