DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM,,
DEFRA,DEFRA ORGANISATION,29/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group    ,A D A S UK Ltd,RIRP056588," Ł31,938.06 ","Reducing GHG emissions, nitrate pollution and lost productivity by fully automating N fertiliser management ",WV6 8TQ,,exempt,SFFS0005,Expense,,,
DEFRA,DEFRA ORGANISATION,18/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group   ,A D A S UK Ltd,1.31011E+12," Ł29,102.66 ",Air quality measurements on cracking clay soils ,WV6 8TQ,,exempt,SFFS0005,Expense,,,
DEFRA,DEFRA ORGANISATION,12/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group,SAC,10695869," Ł121,304.22 ",The environmental consequences of using home-grown legumes as a protein source in pig diets,EH9 3JG,SME,,0,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Evidence Non R&D,Food and Farming Group  ,Identigen Ltd,40787," Ł56,891.48 ",TSE Testing Private Labs - Identigen 2011/2012,NP10 8UL,SME,Exempt,TSE00963,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Other Current Payments (GB),Food and Farming Group,A D A S UK Ltd,RIRP056166," Ł28,310.40 ",EU protected food names,WV6 8TQ,,11126/1,0,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Current Transfers UK,Food and Farming Group,A D A S UK Ltd,RIRP056165," Ł29,040.00 ",ADAS-Arable and Horticultural  Consultancy for FFG's crops Hub in 2011/2012,WV6 8TQ,,14291,0,Expense,,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Other Current Payments UK,Food and Farming Group   ,Soil Association Certification Ltd,171345," Ł31,035.50 ",Organic Farming. SACL first quarter payment April-June11 payment to Organic Control.,BS1 3NX,SME,exempt,ORPTCB01,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Other Current Payments (GB),Food and Farming Group,Deloitte & Touche,1110724174," Ł67,342.80 ",Finance Development Programme Work for RPA Review Implementation.,MK9 1FD,SME,,DFCRPA01,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Other Current Payments E,Food and Farming Group,National Farmers Union,OP0026587," Ł113,379.94 ",Grant payment to National Farmer's Union (under Campaigned for Farmed Environment Activity),CV8 2TZ,SME,Exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Other Current Payments E,Environment and Rural Group,Local Partnerships LLP,41100797," Ł253,533.13 ",Waste Infrastucture Delivery Programme Transactor support Sept2011,EC1M 5LG,SME,14265,WLASUCON,Expense,,,
DEFRA,DEFRA ORGANISATION,14/10/2011,Overhead Incidental Expenses,Environment and Rural Group,National Physical Laboratory,109618," Ł108,395.49 ",Provision of External Evidence gathering and Policy Support services for Air Quality,TW11 0LW,SME,13181,0,Expense,,,
DEFRA,DEFRA ORGANISATION,14/10/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A D A S UK Ltd,RIRP056152," Ł27,000.00 ",1x1 Agricultural Land-Use Database and Neap-N Model for 2010,WV6 8TQ,,Exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,06/10/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A D A S UK Ltd,RIRP056008," Ł49,875.00 ",Pollutant Losses following Organic Manure Application in the Month Following the End of the Closed Period,WV6 8TQ,,Exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,14/10/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,A D A S UK Ltd,RIRP055736," Ł174,601.19 ",Monitoring the Effectiveness of NVZ action Programme Measures:Continuation and Development of Existing Effectiveness Evaluation Strategy.,WV6 8TQ,,Exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,24/10/2011,Other Current Payments (Evidence R&D),Environment and Rural Group,BTO Services Limited,ACCS0601," Ł52,167.00 ",Biological Impacts of Climate Change observation Network,IP24 2PU,SME,exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Other Current Payments E,Environment and Rural Group,Jacobs Engineering UK Ltd,B0147800022LJ," Ł44,791.26 ",Wallasea Wetland Monitoring Project Professional Fees ,G2 7HX,SME,exempt,LAPPELBK,Expense,,,
