DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS WARD HADAWAY#DX 730360,236916,"£90,190.65"
Ministry of Justice,HMCS,17-Nov-10,AU999-National Taxing Teams,226000-Court Costs,A M STRACHAN & CO,243957,"£29,926.26"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS POWELL SPENCER MCGRATH #DX123862,1407799,"£104,398.77"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS RONALD FLETCHER BAKER & CO#DX 137773,1407808,"£31,353.14"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS BPI#SE1 7JA,1407685,"£192,676.71"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS RUSSELL COOKE & CO#DX 112,247930,"£106,861.75"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS GARSTANGS#BL11DU,1407727,"£79,312.50"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,HODGE JONES & ALLEN#DX 2101,1407647,"£56,579.43"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS WARD HADAWAY#DX 730360,248012,"£317,532.78"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS BYRNE & PARTNERS,247614,"£73,781.80"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MARK REDLER & CO#DX 14553,247537,"£25,668.62"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS GEORGE HAWKS#TA11 7EL,247710,"£25,120.22"
Ministry of Justice,HMCS,19-Nov-10,AU999-National Taxing Teams,226000-Court Costs,GADD & PARTNERS#GL50 1TA,247497,"£91,494.86"
Ministry of Justice,HMCS,03-Nov-10,AW999-Operations & Performance Dir.,226000-Court Costs,SIGN SOLUTIONS,1390488,"£26,800.89"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS T V EDWARDS LLP#DX 300700,1391709,"£39,414.29"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS RAHMAN RAVELLI#DX 16001,1391674,"£82,459.65"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS MALLIA & CO#DX 95401,236708,"£34,460.40"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS BARK & CO#DX 447,236393,"£30,316.82"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS NOBLE#DX 153444,1391655,"£57,414.76"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS L B & CO#DX 576,236677,"£38,278.13"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS MAURICE ANDREWS#DX24961,1391645,"£109,952.53"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS MELDRUM SOLICITORS LLP (ADVOCATES)#DX 6165,1391648,"£41,612.16"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS CENTRAL LAW PRACTICE#HA9 6DE,236459,"£29,777.21"
