Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,
Cabinet Office,CABINET OFFICE,19/11/2015,CONSULTANTS VAT RECOVERABLE,CERT,INDIGOBLUE CONSULTING LTD,3000066410,29400.00,Contractor costs for IT Project and IT Admin Work,,
Cabinet Office,CABINET OFFICE,19/11/2015,STAFF RELATED COSTS,HEAD OF CSHR,KORN FERRY INTERNATIONAL LTD,3000066409,36000.00,Executive Search for two senior recruitment campaigns,,
Cabinet Office,CABINET OFFICE,19/11/2015,GENERAL OFFICE EXPENSES VAT NON-RECOVERABLE,FEM MISC,BOUYGUES E&S FM UK LTD,3000066438,31024.81,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,19/11/2015,FM CONTRACT VARIABLE,ADMIRALTY ARCH,CROWN COMMERCIAL SERVICE,3000066413,34692.45,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,19/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS Enabling Strategy,EQUAL EXPERTS UK LTD,3000066421,35100.00,Services to GDS to support Government as a Platform team,,
Cabinet Office,CABINET OFFICE,19/11/2015,OTHER IS IT COSTS VAT RECOV,PLATFORMS AND STANDARDS,EQUAL EXPERTS UK LTD,3000066421,27750.00,Services to GDS to support Platforms and Standards team,,
Cabinet Office,CABINET OFFICE,19/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,PLATFORMS AND STANDARDS,EQUAL EXPERTS UK LTD,3000066405,40500.00,Services to GDS to support Platforms and Standards team,,
Cabinet Office,CABINET OFFICE,19/11/2015,OTHER IS IT COSTS VAT RECOV,PLATFORMS AND STANDARDS,EQUAL EXPERTS UK LTD,3000066405,44625.00,Services to GDS to support Platforms and Standards team,,
Cabinet Office,CABINET OFFICE,20/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000066458,32606.87,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,20/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000066458,33844.33,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,20/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000066458,33868.92,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,20/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS DELIVERY OPERATIONS OTHER,CAPITA BUSINESS SERVICES LTD,3000066458,38518.61,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,20/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG MAJOR PROJECTS TEAM,CAPITA BUSINESS SERVICES LTD,3000066458,63091.54,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,20/11/2015,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000066457,168814.36,Shared Services charges,,
Cabinet Office,CABINET OFFICE,20/11/2015,CALL CHARGES,CABINET OFFICE BAU RESOURCE B,VODAFONE LTD,3000066440,83759.45,Telecoms charges,,
Cabinet Office,CABINET OFFICE,23/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000066473,31931.41,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,23/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS DELIVERY OPERATIONS OTHER,CAPITA BUSINESS SERVICES LTD,3000066473,32912.56,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,23/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,COMMON TECHNOLOGY SERVICES,CAPITA BUSINESS SERVICES LTD,3000066473,33380.74,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,23/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000066473,35285.21,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,23/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000066473,38306.53,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,23/11/2015,MANAGEMENT CONFERENCES,CERT,CALDER WORLD OF TRAVEL,3000066470,43714.31,Underground Economy Conference October 15,,
Cabinet Office,CABINET OFFICE,24/11/2015,MANAGEMENT CONFERENCES,MANAGEMENT AND CENTRAL SUPPORT,DODS PARLIAMENTARY COMMUNICATIONS LTD,3000066513,191915.83,Civil Service Live 2015 costs,,
Cabinet Office,CABINET OFFICE,24/11/2015,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000066507,154881.10,e-PIMS support and maintenance,,
Cabinet Office,CABINET OFFICE,24/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,MISCO,3000066487,52732.90,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,25/11/2015,OTHER IS IT COSTS VAT RECOV,CERT,SUREVINE LTD,3000066553,71710.90,IT Support for CERT UK,,
Cabinet Office,CABINET OFFICE,25/11/2015,TELECOM RENTALS,CABINET OFFICE BAU RESOURCE B,LEVEL 3,3000066563,126928.28,Managed IP VPN Services,,
Cabinet Office,CABINET OFFICE,25/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS ID ASSURANCE,IXYDO LTD,3000066533,57888.00,Provision of Web Operations Support Services for GOV.UK Verify,,
Cabinet Office,CABINET OFFICE,25/11/2015,CALL CHARGES,CABINET OFFICE BAU RESOURCE B,LEVEL 3,3000066563,48527.76,Telecoms charges,,
Cabinet Office,CABINET OFFICE,25/11/2015,STAFF RELATED COSTS,CABINET OFFICE SECURITY TEAM,FCO SERVICES,3000066549,33782.40,Security vetting costs,,
Cabinet Office,CABINET OFFICE,26/11/2015,CHILDCARE VOUCHERS,HR REWARD AND EMPLOYEE RELATIONS TEAM,ACCOR TA EDENRED,3000632,31341.37,Childcare vouchers,,
Cabinet Office,CABINET OFFICE,26/11/2015,AWAYDAYS,ERG CIVIL SERVICE REFORM,LENSBURY LTD,3000066605,30105.31,Civil Service Leadership Group,,
Cabinet Office,CABINET OFFICE,26/11/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000066588,3369583.00,MyCSP Programme Costs,,
Cabinet Office,CABINET OFFICE,27/11/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),CENTRE FOR SOCIAL ACTION,THE NUFFIELD TRUST,3000066647,47320.87,Evaluation costs for 7 grant projects from the reducing pressures on hospitals fund,,
Cabinet Office,CABINET OFFICE,27/11/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RKCR Y&R,3000066644,60291.00,GREAT Campaign,,
Cabinet Office,CABINET OFFICE,27/11/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000066637,108706.25,MyCSP Programme Costs,,
Cabinet Office,Crown Commercial Service,27/11/2015,General Rates,Estates Management,DTZ,PINP2P 1788,10911.67,Rates for accommodation,,
Cabinet Office,Crown Commercial Service,27/11/2015,Service Charges Capital,Estates Management,DTZ,PINP2P 1788,35806.27,Service charges for accommodation,,
Cabinet Office,Crown Commercial Service,27/11/2015,MOTO Capital Bldg 8th Floor,Estates Management,DTZ,PINP2P 1788,39060.00,Rent for accommodation,,
Cabinet Office,Crown Commercial Service,27/11/2015,MOTO Capital Bldg 9th Floor,Estates Management,DTZ,PINP2P 1788,39215.00,Rent for accommodation,,
Cabinet Office,CABINET OFFICE,27/11/2015,TELECOM RENTALS,PMO ICTS,BT,3000066619,36640.89,Telecoms charges,,
