Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£10,831.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£10,801.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£10,831.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£10,801.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£19,431.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£13,151.56"
Home Office,Home Office,28/03/2013,Education & Training Services,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£11,032.58"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,AMEY COMMUNITY,1001379111,"£387,008.36"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,AMEY COMMUNITY,1001379111,"£883,120.27"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,AMEY COMMUNITY,1001379111,"£404,066.00"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,AMEY COMMUNITY,1001379111,"£694,898.88"
Home Office,Home Office,01/03/2013,"IT, TelecommsHardware",F & C - Finance & Commercial Group,FUJITSU SERVICES (ALCEDO) LTD,1001379158,"£728,453.55"
Home Office,Home Office,01/03/2013,"IT, TelecommsHardware",F & C - Finance & Commercial Group,FUJITSU SERVICES (ALCEDO) LTD,1001379158,"-£246,795.94"
Home Office,Home Office,01/03/2013,"IT, TelecommsHardware",F & C - Finance & Commercial Group,FUJITSU SERVICES (ALCEDO) LTD,1001379158,"£38,359.35"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£761,398.79"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£660,483.49"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£284,349.32"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£116,359.61"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£77,570.54"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£26,263.82"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£38,640.42"
Home Office,Home Office,01/03/2013,Professional & Admin Services.Facilities Man Services,F & C - Finance & Commercial Group,INTERSERVE FACILITIES MANAGEMENT,1001379175,"£26,884.91"
