Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description, Total 
Ministry of Defence,Ministry of Defence,30/10/2013,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,267128,Estate + facilities management services - accommodation inventory + service,"15,409.32"
Ministry of Defence,Ministry of Defence,31/10/2013,Spend on Inventory - General,Land Forces,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3XJ,267512,Spend on Inventory - General,"15,400.55"
Ministry of Defence,Ministry of Defence,31/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,267344,Medical health services,"15,393.18"
Ministry of Defence,Ministry of Defence,04/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,257298,Medical health services,"15,388.87"
Ministry of Defence,Ministry of Defence,09/10/2013,Property leases,Defence Equipment & Support,MODUS SERVICES LIMITED,SW1A 2HB,258692,Property non dwellings private finance initiative - service concession arrangement service charge,"15,322.81"
Ministry of Defence,Ministry of Defence,24/10/2013,Spend on Inventory - General,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,264505,Spend on Inventory - General,"15,302.22"
Ministry of Defence,Ministry of Defence,18/10/2013,Fuel for military use,Navy Command,HENTY OIL LTD,SW1E 5BH,262470,Cost of ground diesel fuel consumed,"15,301.44"
Ministry of Defence,Ministry of Defence,01/10/2013,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,255842,Utilities consumed - heating oil,"15,262.12"
Ministry of Defence,Ministry of Defence,04/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,ERA TECHNOLOGY LIMITED.,KT22 7SA,257258,Equipment support project costs,"15,238.00"
Ministry of Defence,Ministry of Defence,18/10/2013,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,262224,Consumption of medical dental and veterinary inventory,"15,233.22"
Ministry of Defence,Ministry of Defence,24/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,MESSIER SERVICES LIMITED,GL2 9QL,264779,Equipment support project costs,"15,209.28"
Ministry of Defence,Ministry of Defence,03/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,256644,Medical health services,"15,202.23"
Ministry of Defence,Ministry of Defence,21/10/2013,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,263412,Cost of other material consumed,"15,192.01"
Ministry of Defence,Ministry of Defence,04/10/2013,Food and clothing,Defence Equipment & Support,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,257216,Cost of food purchases,"15,170.56"
Ministry of Defence,Ministry of Defence,04/10/2013,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,257471,Cost of clothing and textile services received,"15,150.13"
Ministry of Defence,Ministry of Defence,18/10/2013,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,262298,Cost of other material consumed,"15,143.72"
Ministry of Defence,Ministry of Defence,18/10/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,ROYAL MAIL GROUP LIMITED,S49 1HQ,262766,Freight movement costs,"15,141.65"
Ministry of Defence,Ministry of Defence,09/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,258622,Medical health services,"15,083.67"
Ministry of Defence,Ministry of Defence,22/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,SMITHS DETECTION-WATFORD LIMITED,WD23 2BW,263866,Equipment support non-project costs,"15,044.29"
Ministry of Defence,Ministry of Defence,07/10/2013,Spend on Inventory - General,Air Command,TURNER VIRR & CO. LTD,LS25 2DY,258112,Spend on Inventory - General,"15,038.12"
Ministry of Defence,Ministry of Defence,28/10/2013,Estate management,Land Forces,BEZIRKSREGIERUNG DUESSELDORF,,5000103751,Works - estate management,"14,884.19"
Ministry of Defence,BDS US,11/10/2013,MEDICAL-NON HOSPITAL TREATMENT,SENTRY PT,MERITAIN HEALTH,,350448,,"14,844.03"
Ministry of Defence,Ministry of Defence,28/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,GU14 0LX,266212,Equipment support non-project costs,"14,811.60"
Ministry of Defence,Ministry of Defence,24/10/2013,Food and clothing,Air Command,TECHNOGYM U K LIMITED,RG12 8PE,265019,Cost of purchasing and repairing clothing,"14,787.87"
Ministry of Defence,Ministry of Defence,25/10/2013,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,265133,Works - estate management,"14,645.98"
Ministry of Defence,Ministry of Defence,24/10/2013,Design services and minor equipment purchases,Land Forces,MESSIER SERVICES LIMITED,GL2 9QL,264779,Equipment support project costs,"14,644.00"
Ministry of Defence,Ministry of Defence,29/10/2013,Purchase of inventory and services ,Joint Forces Command,AAH PHARMACEUTICALS LTD,CV2 2TX,266343,Consumption of medical dental and veterinary inventory,"14,624.31"
Ministry of Defence,Ministry of Defence,14/10/2013,Development costs for military equipment,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,260171,Intangible single use military equipment asset  - in year capital addition,"14,620.49"
Ministry of Defence,Ministry of Defence,18/10/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,262910,Cost of other material consumed,"14,577.56"
Ministry of Defence,Ministry of Defence,09/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,CRANFIELD AEROSPACE LTD,MK43 0AL,258549,Equipment support project costs,"14,503.00"
