Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description,,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4749432,77425.00,COMPUTACENTER UK LTD,Information Systems Maintenance,,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764062,76695.26,CROWN AGENTS,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762949,76475.00,WORLDREACH SOFTWARE CORPORATION,Information Systems Maintenance,,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4754710,76398.68,DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4755660,75180.26,FACILITY ASIA PTE LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764946,73394.65,N A MOVING SERVICES LTD,Heavy Baggage,,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4752390,72480.00,CENTRAL HALL WESTMINSTER,Inward visits to the UK and UK Conferences,,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4764040,72133.25,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764969,70330.01,N A MOVING SERVICES LTD,Heavy Baggage,,,,,,,,,,,,,,,,,,,,
FCO,FCO,02/07/2014,4746663,70032.33,AFRICAN SKIES LTD,Local Guards,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4757997,69834.51,N A MOVING SERVICES LTD,Heavy Baggage,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760149,66475.72,INTERSERVE FM LTD,Minor New Works <10K,,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4748132,65187.18,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4746779,64035.00,FCO SERVICES,Information Systems Implementation,,,,,,,,,,,,,,,,,,,,
