MODGPC42115,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł922.56,42115
MODGPC42116,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł570.29,42116
MODGPC42117,10-Oct-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,Ł887.80,42117
MODGPC42118,02-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,200.00",42118
MODGPC42119,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,268.46",42119
MODGPC42120,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł969.00,42120
MODGPC42121,08-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł703.84,42121
MODGPC42122,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,965.45",42122
MODGPC42123,05-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł665.63,42123
MODGPC42124,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł552.00,42124
MODGPC42125,02-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł656.87,42125
MODGPC42126,05-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,400.09",42126
MODGPC42127,09-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł4,904.48",42127
MODGPC42128,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,455.49",42128
MODGPC42129,08-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł912.00,42129
MODGPC42130,10-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł766.01,42130
MODGPC42131,09-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł642.00,42131
MODGPC42132,11-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł641.76,42132
MODGPC42133,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł952.34,42133
MODGPC42134,09-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,477.20",42134
MODGPC42135,08-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł823.79,42135
MODGPC42136,05-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,208.40",42136
MODGPC42137,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł505.35,42137
MODGPC42138,08-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,329.20",42138
MODGPC42139,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł580.29,42139
MODGPC42140,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42140
MODGPC42141,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42141
MODGPC42142,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42142
MODGPC42143,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42143
MODGPC42144,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42144
MODGPC42145,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42145
MODGPC42146,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42146
MODGPC42147,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,013.15",42147
MODGPC42148,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42148
MODGPC42149,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42149
MODGPC42150,10-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",42150
MODGPC42151,03-Oct-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,Ł525.29,42151
MODGPC42152,04-Oct-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł1,507.46",42152
MODGPC42153,02-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł528.00,42153
MODGPC42154,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,840.80",42154
MODGPC42155,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł692.58,42155
MODGPC42156,02-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł531.32,42156
MODGPC42157,10-Oct-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,112.28",42157
