Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend,
Home Office,UKBA - UK Border Agency,26/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001236298,"211,813.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"70,466.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"111,148.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"41,786.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"114,286.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"141,285.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"42,427.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"112,816.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"53,500.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1001237561,"537,738.00",
Home Office,UKBA - UK Border Agency,20/03/2012,Laboratory & Scientific Equip.Scientific Equip Running Costs,UKBA - UK Border Agency,SAIC SOLUTIONS LTD,1001231772,"30,888.00",
Home Office,UKBA - UK Border Agency,21/03/2012,Grants,UKBA - UK Border Agency,SALFORD CITY COUNCIL (G),1001233205,"52,740.75",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,SCOTTISH REFUGEE COUNCIL (G),1001237567,"57,232.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,SCOTTISH REFUGEE COUNCIL (G),1001237567,"99,851.00",
Home Office,UKBA - UK Border Agency,23/03/2012,Other Government Department,UKBA - UK Border Agency,SECURITY SERVICES GROUP,3000044536,"34,115.00",
Home Office,UKBA - UK Border Agency,13/03/2012,"Furniture (Fixed Asset).Furniture (Fixed Asset).Desks, chairs, tables, cabinets, cupboards, screens.",UKBA - UK Border Agency,SENATOR INTERNATIONAL LTD,1001227952,"35,280.00",
Home Office,UKBA - UK Border Agency,21/03/2012,"Furniture (Fixed Asset).Furniture (Fixed Asset).Desks, chairs, tables, cabinets, cupboards, screens.",UKBA - UK Border Agency,SENATOR INTERNATIONAL LTD,1001232677,"52,554.90",
Home Office,UKBA - UK Border Agency,21/03/2012,"Furniture (Fixed Asset).Furniture (Fixed Asset).Desks, chairs, tables, cabinets, cupboards, screens.",UKBA - UK Border Agency,SENATOR INTERNATIONAL LTD,1001232677,"60,736.98",
Home Office,UKBA - UK Border Agency,23/03/2012,"Furniture (Fixed Asset).Furniture (Fixed Asset).Desks, chairs, tables, cabinets, cupboards, screens.",UKBA - UK Border Agency,SENATOR INTERNATIONAL LTD,1001234296,"29,212.50",
Home Office,UKBA - UK Border Agency,23/03/2012,"Furniture (Fixed Asset).Furniture (Fixed Asset).Desks, chairs, tables, cabinets, cupboards, screens.",UKBA - UK Border Agency,SENATOR INTERNATIONAL LTD,1001234296,"26,278.50",
Home Office,UKBA - UK Border Agency,28/03/2012,"Furniture (Fixed Asset).Furniture (Fixed Asset).Desks, chairs, tables, cabinets, cupboards, screens.",UKBA - UK Border Agency,SENATOR INTERNATIONAL LTD,1001237412,"60,954.68",
Home Office,UKBA - UK Border Agency,02/03/2012,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,SFW LTD,1001223305,"46,992.00",
Home Office,UKBA - UK Border Agency,02/03/2012,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,SFW LTD,1001223305,"1,418.40",
Home Office,UKBA - UK Border Agency,05/03/2012,Grants,UKBA - UK Border Agency,SHEFFIELD CITY COUNCIL 1 (G),1001224802,"31,342.00",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum serv Cash Supp,UKBA - UK Border Agency,SODEXO PASS LTD,1001227320,"936,037.90",
Home Office,UKBA - UK Border Agency,07/03/2012,Asylum Provision.Asylum serv Sect4Vouchers,UKBA - UK Border Agency,SODEXO PASS LTD,1001225689,"118,314.94",
Home Office,UKBA - UK Border Agency,07/03/2012,Asylum Provision.Asylum serv Cash Supp,UKBA - UK Border Agency,SODEXO PASS LTD,1001225689,"250,368.54",
Home Office,UKBA - UK Border Agency,07/03/2012,Asylum Provision.Asylum serv Sect4Vouchers,UKBA - UK Border Agency,SODEXO PASS LTD,1001225689,"29,996.86",
Home Office,UKBA - UK Border Agency,13/03/2012,Asylum Provision.Asylum serv Cash Supp,UKBA - UK Border Agency,SODEXO PASS LTD,1001227960,"942,450.73",
Home Office,UKBA - UK Border Agency,13/03/2012,Asylum Provision.Asylum serv Sect4Vouchers,UKBA - UK Border Agency,SODEXO PASS LTD,1001227960,"116,757.62",
Home Office,UKBA - UK Border Agency,27/03/2012,Asylum Provision.Asylum serv Cash Supp,UKBA - UK Border Agency,SODEXO PASS LTD,1001236578,"944,143.54",
Home Office,UKBA - UK Border Agency,27/03/2012,Asylum Provision.Asylum serv Sect4Vouchers,UKBA - UK Border Agency,SODEXO PASS LTD,1001236578,"119,698.47",
