Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,13/05/2015,Estate management,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,10548,Cost of other material consumed,£30.46
Ministry of Defence,Ministry of Defence,13/05/2015,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,10548,Purchase of defence support equipment below capitalisation threshold of £25k.,£30.43
Ministry of Defence,Ministry of Defence,18/05/2015,Estate management,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,11955,Purchase of defence support equipment below capitalisation threshold of £25k.,£30.43
Ministry of Defence,Ministry of Defence,18/05/2015,"Transportation of personnel, freight and travel expenses",Air Command,ROYAL MAIL GROUP LIMITED,S49 1HQ,12744,Freight movement costs,£30.18
Ministry of Defence,Ministry of Defence,13/05/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,10548,Cost of other material consumed,£30.15
Ministry of Defence,Ministry of Defence,27/05/2015,"Transportation of personnel, freight and travel expenses",JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,15684,Cost of other material consumed,£30.03
Ministry of Defence,Ministry of Defence,18/05/2015,Fuel for military use,Air Command,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,11995,Freight movement costs,£30.00
Ministry of Defence,Ministry of Defence,10/05/2015,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,COONEEN DEFENCE LIMITED,BT75 0NE,10003,Cost of purchasing and repairing clothing,£29.94
Ministry of Defence,Ministry of Defence,18/05/2015,Estate management,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,11955,Cost of other material consumed,£29.35
Ministry of Defence,Ministry of Defence,29/05/2015,"Transportation of personnel, freight and travel expenses",JFC,SODEXO LTD,M50 0AL,17001,Military short term detached duty,£29.26
Ministry of Defence,Ministry of Defence,26/05/2015,Purchase of inventory and services ,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,15228,Consumption of medical dental and veterinary inventory,£29.20
Ministry of Defence,Ministry of Defence,22/05/2015,Research and development,Defence Equipment + Support,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,15109,Freight movement costs,£29.16
Ministry of Defence,Ministry of Defence,18/05/2015,Design services and minor equipment purchases,Air Command,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,11995,Freight movement costs,£29.14
Ministry of Defence,Ministry of Defence,18/05/2015,IT and communication services,Air Command,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,11995,Freight movement costs,£29.14
Ministry of Defence,Ministry of Defence,18/05/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,11995,Freight movement costs,£29.14
Ministry of Defence,Ministry of Defence,18/05/2015,Research and development,Defence Equipment + Support,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,11995,Freight movement costs,£29.14
Ministry of Defence,Ministry of Defence,29/05/2015,Spend on Inventory - General,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,17101,Cost of other material consumed,£29.11
Ministry of Defence,Ministry of Defence,27/05/2015,Food and clothing,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,15684,Cost of other material consumed,£29.01
Ministry of Defence,Ministry of Defence,19/05/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK LTD,LS16 6QY,13058,Cost of food services,£29.00
Ministry of Defence,Ministry of Defence,27/05/2015,Food and clothing,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,15684,Cost of other material consumed,£28.86
Ministry of Defence,Ministry of Defence,20/05/2015,Purchase of inventory and services ,JFC,JOSEPH GLEAVE & SON LTD,M32 0NB,13863,Spend on Inventory - General,£28.80
Ministry of Defence,Ministry of Defence,21/05/2015,Research and development,Defence Equipment + Support,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,14169,Cost of ground diesel fuel consumed,£28.65
