Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type,
DEFRA,Core Defra,19/04/2012,Consultancy Non-Scheme,Policy Delivery DG,A D A S UK Ltd,RIRP060678A,"Ł35,323.55",Support for negotiations with Commission on Nitrates-Call-Off contract with ADAS,WV6 8TQ,,15618,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Other Current Payments E,Policy Delivery DG,Cascade Consulting (Environment & Planning) Ltd,2338,"Ł57,211.20",Evaluation of the catchment-based approach-pilot stage,M15 6SE,SME,exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute For Animal Health,ERS-497723-39005,"Ł33,333.34",Using the FMD integrin receptor for improved vaccine delivery and cross-serotype diagnosis,RG20 7NN,,exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Food & Environment Research Agency,ERS-497734-39106,"Ł31,494.86",Development of a farm assessment tool for targeting badger biosecurity measures,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,The Royal Veterinary College,1004128354880,"Ł69,624.00",Study to develop a sustainable alternative to water bath stunning of poultry in small scale abattoirs,AL9 7TA,,Exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Veterinary Laboratories Agency,ERS-497724-39055,"Ł90,706.37",Assessment of the risk of selection of Extended Spectrum Beta Lactamase resistance in calves by feeding waste milk containing ,KT15 3NB,,Exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Veterinary Laboratories Agency,ERS-497717-39054,"Ł43,038.16",Persistance of scrapie infectivity in buildings and the factors that influence,KT15 3NB,,exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute For Animal Health,ERS-497740-39007,"Ł91,419.46",Bluetongue virus reassortment and overwintering in the Culicoides host  ,RG20 7NN,,Exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute For Animal Health,ERS-497715-39004,"Ł90,259.32",The development of novel subunit vaccines and viral delivery mechanisms for AHS viral antigens ,RG20 7NN,,Exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Veterinary Laboratories Agency,ERS-497752-39057,"Ł86,835.56",Survival of CSF in meat products,KT15 3NB,,Exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Veterinary Laboratories Agency,ERS-497733-39056,"Ł37,192.46",Studies of experimental BSE in genetically susceptible sheep,KT15 3NB,,Exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Food & Environment Research Agency,ERS-497726-39105,"Ł37,093.37",Badger Survey of England and Wales ,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Edinburgh,ERS-497748-39033,"Ł31,763.75",Goat BSE: Improvement of discriminative diagnosis and assessment of infectivity in goat milk and meat,EH1 1HT,,exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Food & Environment Research Agency,ERS-497742-39107,"Ł45,583.48",Field approaches to identifying Mycobacterium bovis infection in badger populations ,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-497739-39123,"Ł369,750.75",Investigation into the persistence of scrapie infection on pasture land ,KT15 3NB,,Exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute For Animal Health,ERS-497751-39008,"Ł130,452.21",African swine fever virus: Improvement of diagnostic tests and vaccine development,RG20 7NN,,Exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-497730-39122,"Ł87,040.74",An exploration of factors that influence the expansion of the area affected by endemic bovine TB,KT15 3NB,,Exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments E,Policy Delivery DG,Mineral Industry Research Organisation,SIN000667,"Ł173,197.20",SECURING THE AGRICULTURAL LEVY SUSTAINABILITY FUND KNOWLEDGE LEGACY CLAIM 2,B37 7UQ,SME,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0020996,"Ł575,922.00",FERA 11/12 Corporate Service MoU Quarter 4,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (GB),Policy Delivery DG,Food & Environment Research Agency,F0020999,"Ł1,878,270.00",FERA 11/12 Plant Policy Non-Evidence MoU,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0020997,"Ł261,774.00",FERA 11/12 Depreciation,YO41 1LZ,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Payments to Agencies GB,Policy Delivery DG,Veterinary Medicines Directorate,FI00017706,"Ł768,500.00",August 2011 VMD allocation letter,KT15 3LS,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Evidence Non R&D,Policy Delivery DG,Food & Environment Research Agency,FOO20998,"Ł1,560,562.00",FERA 11/12 Plant Policy Evidence MoU,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Consultancy Non-Scheme,Policy Delivery DG,Bureau Veritas UK Ltd,12005374,"Ł36,050.76",Technical Acoustic Advisory contract Fees and expenses ,M20 2RE,,14350,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Consultancy Non-Scheme,Policy Delivery DG,Bureau Veritas UK Ltd,12005375,"Ł41,935.19",Technical Acoustic Advisory contract ,M20 2RE,,14350,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Current Grants UK,Policy Delivery DG,Keep Britain Tidy,280311,"Ł2,800,000.00", GRANT CLAIM -NON-EVIDENCE -1ST INSTALMENT PERIOD:APRIL- SEPTEMBER 2012,WN3 4EX,,16247,00000000,Expense,
DEFRA,Core Defra,27/04/2012,International Subscriptions (Foreign Payments),Policy Delivery DG,U N Economic Commission For Europe,250412,"Ł217,503.90",AIR QUALITY - INTERNATIONAL SUBSCRIPTIONS ,,,,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Evidence Non R&D,Policy Delivery DG,Kings College London,SINV1233528,"Ł28,557.67",Provision of the Air Quality (AQ) Monitoring Automatic London Network (ALN),WC2R 2LS,,13569,00000000,Asset,
DEFRA,Core Defra,13/04/2012,Evidence Non R&D,Policy Delivery DG,A E A Technology plc,6147577,"Ł33,536.60",Air Quality Forecasting,OX11 0QR,SME,10945,AQNONRDX,Expense,
DEFRA,Core Defra,13/04/2012,Evidence Non R&D,Policy Delivery DG,Air Liquide UK Ltd,94403946,"Ł29,743.38",To provide standard gases to sites in the UK national automatic air quality monitoring networks ,B46 1JY,SME,11092,AQNONRDX,Expense,
DEFRA,Core Defra,25/04/2012,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,111659,"Ł127,591.39",POLYCYCLIC AROMATIC HYDROCARBONS Network,TW11 0LW,SME,13181,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A E A Technology plc,6147371,"Ł43,000.00",UK - National Atmospheric Emission Inventory ,OX11 0QR,SME,Exempt,AQRDXXXX,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments UK,Policy Delivery DG,Bureau Veritas UK Ltd,12006949,"Ł171,679.20",CENTRAL MANAGEMENT AND CONTROL UNIT  of the automatic urban & rural networks,SE1 2TX,,10892,00000000,Asset,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,AECOM Ltd,602387246,"Ł30,840.00",Defra research contract: Identification of SOAEL & LOAEL in support of the NPSE (NO0236),AL1 3ER,,exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,111660,"Ł29,634.00",Heavy metals monitoring,TW11 0LW,SME,14769,AQNONRDX,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A E A Technology plc,6147591,"Ł150,602.00",UK AMBIENT AIR QUALITY ASSESSMENT,OX11 0QR,SME,Exempt,AQRDXXXX,Expense,
DEFRA,Core Defra,27/04/2012,Evidence Non R&D,Policy Delivery DG,Keep Britain Tidy,240412,"Ł200,000.00",GRANT CLAIM -EVIDENCE - FIRST INSTALMENT PERIOD: APRIL-SEPT 2012,WN3 4EX,,16247,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,111662,"Ł28,491.00",BLACK CARBON RESEARCH NETWORK,TW11 0LW,SME,exempt,AQNONRDX,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants UK,Policy Delivery DG,City Of York Council,280312,"Ł52,500.00",LES Hub - Additional 2011-12 Air Quality Grant,YO1 7ET,,exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Ensis Ltd,180412,"Ł47,665.20",ACID WATERS MONITORING NETWORK,WC1H 0AP,SME,Exempt,AQRDXXXX,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A E A Technology plc,5147580,"Ł31,815.00",UK Eutrophying and Acidfying Atmospheric Pollutants,OX11 0QR,SME,exempt,AQRDXXXX,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A E A Technology plc,614736970,"Ł98,573.00",UK NATIONAL ATMOSPHERIC EMISSIONS INVENTORY  CORE WORK UNDERTAKEN FOR THE NAEI ,OX11 0QR,SME,Exempt,AQRDXXXX,Expense,
DEFRA,Core Defra,27/04/2012,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,12006775,"Ł49,200.01",LOCAL AIR QUALITY MANAGEMENT Support Lot 1 ,SE1 2TX,,13573,AQNONRDX,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,AECOM Ltd,602387245,"Ł29,052.00",Defra research contract: Identification of SOAEL & LOAEL in support of the NPSE (NO0236),AL1 3ER,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,H R Wallingford Ltd,HR045092,"Ł290,309.60", UK Climate Change Risk Assessment (FY 2011/12),OX10 8BA,SME,exempt,CCRASSMT,Expense,
DEFRA,Core Defra,05/04/2012,Overhead Incidental Expenses,Policy Delivery DG,Vehicle Certification Agency,SIAR164618,"Ł60,529.00",ENFORCEMENT OF BATTERY REGULATIONS,BS5 6XX,SME,exempt,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Current Grants E,Policy Delivery DG,Waste & Resources Action Programme,APR1,"Ł1,927,563.00",WRAP grant in aid,OX16 0AH,SME,exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Grant-in Aid Payments,Policy Delivery DG,Consumer Council for Water (CCW),200412,"Ł1,282,500.00","Grant  to ensure that existing and future water consumers receive value for money, fairness, choice and quality within a sustainable water industry",B2 4AJ,,16325,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8001659,"Ł56,939.00",MF1220- Developing the scientific basis for using real-time closures as a fishery management measure,NR33 0HT,,X,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Evidence Non R&D,Policy Delivery DG,Sea Mammal Research Unit,RG038622,"Ł58,904.37",RMP 5862 - Cetacean Bycatch Observer Monitoring Scheme,KY16 8LB,SME,14518,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Evidence Non R&D,Policy Delivery DG,Sea Mammal Research Unit,RG038621,"Ł48,387.50",RMP 5862 - Cetacean Bycatch Observer Monitoring Scheme,KY16 8LB,SME,14518,00000000,Expense,
DEFRA,Core Defra,10/04/2012,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000009664,"Ł82,316.55",REPORTABLE DISEASE AND ZOONOSES VETERINARY SURVEIILANCE CHARGES FEBRUARY 2012,YO1 7PX,,exempt,00000000,Expense,
DEFRA,Core Defra,10/04/2012,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000009665,"Ł312,765.30",EXOTIC DISEASES VETERINARY SURVEILLANCE CHARGES FEB 12,YO1 7PX,,Exempt,00000000,Expense,
DEFRA,Core Defra,10/04/2012,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000009663,"Ł457,322.07",BORDER CONTROLS VETERINARY SURVEILLANCE CHARGES FEBRUARY 2012,YO1 7PX,,Exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Current Grants E,Policy Delivery DG,Institute of Zoology,280312,"Ł31,333.00",Quarter 1 2012-13 grant claim by the Institute of Zoology in relation to the Darwin Initiative Grant Scheme,NW1 4RY,,Exempt,DARWINXX,Expense,
DEFRA,Core Defra,19/04/2012,Current Grants E,Policy Delivery DG,Fauna & Flora International,0803122718225,"Ł27,182.25",Quarter 1 2012-13 grant claim by Fauna and Flora International in relation to the Darwin Initiative Grant Scheme,CB1 2JD,SME,exempt,DARWINXX,Expense,
DEFRA,Core Defra,19/04/2012,Current Grants E,Policy Delivery DG,Fauna & Flora International,160412,"Ł26,102.25",Quarter 1 2012-13 grant claim by Fauna and Flora International in relation to the Darwin Initiative Grant Scheme,CB1 2JD,SME,exempt,DARWDFID,Expense,
DEFRA,Core Defra,23/04/2012,Evidence Non R&D,Policy Delivery DG,RBG Kew Enterprises Ltd,S7845NM,"Ł25,993.11","Quarter 4 2011-12 Provision of scientific services for flora - Royal Botanic Gardens, Kew",TW9 3AB,,10105,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Current Grants E,Policy Delivery DG,Fauna & Flora International,080312,"Ł28,192.00",Quarter 1 2012-13 grant claim by Fauna and Flora International in relation to the Darwin Initiative Grant Scheme,CB1 2JD,SME,Exempt,DARWINXX,Expense,
DEFRA,Core Defra,23/04/2012,Current Grants E,Policy Delivery DG,Birdlife International,0204122613425,"Ł26,134.25",Quarter 1 2012-13 grant claim by Birdlife International in relation to the Darwin Initiative Grant Scheme,CB3 ONA,SME,exempt,DARWINXX,Expense,
DEFRA,Core Defra,27/04/2012,Evidence Non R&D,Policy Delivery DG,BioD Services Ltd,391,"Ł152,308.00",Milestone payment to BioD Services in relation to Developing the National Biodiversity Network,NG1 1HF,SME,15480,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Current Grants E,Policy Delivery DG,Joint Nature Conservation Committee,200312,"Ł29,712.50",Quarter 1 2012-13 grant claim by Joint Nature Conservation Committee in relation to the Darwin Initiative Grant Scheme,PE1 1JY,,Exempt,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Current Grants E,Policy Delivery DG,Royal Botanic Garden Edinburgh,080312,"Ł26,450.50",Quarter 1 2012-13 grant claim by Royal Botanic Gardens Edinburgh in relation to the Darwin Initiative Grant Scheme,EH3 5LR,,exempt,DARWINXX,Expense,
DEFRA,Core Defra,19/04/2012,Current Grants E,Policy Delivery DG,Fauna & Flora International,080312A,"Ł29,285.75",Quarter 1 2012-13 grant claim by Fauna and Flora International in relation to the Darwin Initiative Grant Scheme,CB1 2JD,SME,Exempt,DARWINXX,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Nottingham,NU2841,"Ł27,578.19",Policy Impact and Future Options for Countryside Survey,NG7 2NR,,Exempt WC1030,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of York,59972,"Ł27,894.46",Measuring the impacts of consumption in the UK of non-UK imported goods and services on global biodiversity,YO10 5DD,,exempt,00000000,Expense,
DEFRA,Core Defra,12/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Team Projects Limited,TP130101,"Ł35,662.00",Evaluation of the effectiveness of planning policies relating to local wildlife and geological sites,SO22 5FQ,SME,Exempt WC1026,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Newcastle Upon Tyne,9100047440,"Ł60,150.00",Methodology for Assessment of priorities for international species conservation (MAPISCo),NE1 7RU,,Exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Cabi Bioscience (Egham),SI5019,"Ł32,349.00",Understanding and addressing the impact of invasive non-native species in the UK Overseas Territories in the South Atlantic: A review of the potential for biocontrol,TW20 9TY,SME,Exempt WC1001/CR0492.,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,BTO Services Limited,ACCS0308,"Ł60,000.00",Effects of woodland structure on woodland bird abundance,IP24 2PU,SME,WC0793/CR0485 exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Leeds,90166445,"Ł37,599.00",Developing an effective method for the systematic surveillance of bats in woodland habitats in the UK,LS2 9JT,,exempt,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,7060002607,"Ł48,023.00",Exploring the future integration of biodiversity and other land use policies in a changing climate- Phase 1 Scoping Study,SN2 1EU,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,David Tyldesley & Associates,3894,"Ł34,800.00",Planning Policy and Biodiversity Offsets Phase III Research (Offsets assessment dry run),NG15 7DD,SME,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments E,Policy Delivery DG,The National Trust,AR284925,"Ł69,517.50",Grant for Multi-Objective  Flood Management Demonstration Scheme,BA14 0ZT,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants UK,Policy Delivery DG,Norfolk Fire & Rescue Service,280312,"Ł191,670.00",Grant funding under Defra's Flood Rescue National Enhancement Project.,NR1 2DH,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants UK,Policy Delivery DG,East Riding Of Yorkshire Council,280312,"Ł70,200.00",Grant funding under Defra's Flood Rescue National Enhancement Project.,HU17 9BA,,Exempt,00000000,Expense,
DEFRA,Core Defra,10/04/2012,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,050412,"Ł3,000,000.00",Local Services Support Grant-LSSG,HP2 4XN,,exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Payments to Agencies GB,Policy Delivery DG,D L O Holding/Prionics AG,31179,"Ł176,061.77",Purchase of tuberculin for TB testing,8952,,,TUBP0468,Expense,
DEFRA,Core Defra,05/04/2012,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,270312,"Ł133,363.99",External advice on commercialisation and financing of Thames Tunnel ,M2 3EY,SME,15855,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000010256,"Ł46,206.72",Electronic reporting for pigs,YO1 7PX,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000010257,"Ł39,346.56",Electronic reporting for pigs,YO1 7PX,,Exempt,00000000,Expense,
DEFRA,Core Defra,10/04/2012,Evidence Non R&D,Policy Delivery DG,Food Standards Agency,1701300,"Ł30,176.77",SHEEP SAMPLING FOR TSE CONTROLS OCT-DEC 2011,YO1 2YX,,exempt,TSE002SH,Expense,
DEFRA,Core Defra,03/04/2012,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,3000006852,"Ł36,780.22",FALLEN STOCK SAMPLING FOR TSE VETERINARY SURVEILLANCE,KT15 3NB,,Exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (GB),Policy Delivery DG,Food Standards Agency,1701274,"Ł51,234.09",BSE TESTING AND BEEF ASSURANCE WORK,YO1 2YX,,Exempt,TSE001CA,Expense,
DEFRA,Core Defra,11/04/2012,Evidence Non R&D,Policy Delivery DG,L G C Limited,50144487,"Ł143,964.87",TSE SAMPLE TESTING,TW11 0LY,SME,Exempt,TSE00963,Expense,
DEFRA,Core Defra,19/04/2012,Other Current Payments E,Policy Delivery DG,British Waterways,90616768,"Ł32,400.00",KT ADVANCED PCR METHODS,LS9 8PB,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants UK,Policy Delivery DG,British Waterways,90615473,"Ł120,752.19",Transitional cost for the (British Waterways) BW split of the Scotish British Waterways,LS9 8PB,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants UK,Policy Delivery DG,British Waterways,90615472,"Ł135,175.60",Transitional cost for the (British Waterways) BW split of the Scotish British Waterways,LS9 8PB,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants UK,Policy Delivery DG,British Waterways,90615474,"Ł100,097.80",Transitional cost for the (British Waterways) BW split of the Scotish British Waterways,LS9 8PB,,exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,R U Robots Ltd,257,"Ł46,261.35",R U Robots grant claim 2011 ,M28 1WF,SME,exempt,SFFS0003,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Cranfield University,1340463,"Ł33,205.80",Milestone payment to Cranfield University in respect of project to develop precision irrigation ,MK43 0AL,,exempt,SFFS0004,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Brunel University,FI146432,"Ł32,246.33",Brunel University 3rd Quarter milestone payment,UB8 3PH,,exempt,SFFS0003,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Bioscience Network Ltd,0001359,"Ł50,000.00",Contribution to Bioscience Network Limited SPARK awards,EH25 9RG,SME,exempt,SFFS0006,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1104123391904,"Ł28,265.87",Milestone payment to Agricultural Development Advisory Service in respect of research project,WV6 8TQ,,exempt,SFFS0005,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1104124588949,"Ł38,241.24",Milestone payment to Agricultural Development Advisory Service in respect of research project,WV6 8TQ,,exempt,SFFS0005,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,150000008,"Ł42,230.00",Biotechnology and Biological Sciences Research Council final claim.,SN2 1UH,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Evidence Non R&D,Policy Delivery DG,Rural Payments Agency,331251,"Ł35,813.00",Rural Payments Agency 11-12 ,RG1 3YD,,exempt,FCAG0003,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,North Wyke Research.,ERS-497695-39094,"Ł31,423.12",Milestone payment to North Wyke research in respect of research project,AL5 2JQ,SME,Exempt,SFFS0005,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,L G C Limited,50142264,"Ł45,000.00",TSE SAMPLE TESTING,TW11 0LY,SME,Exempt,SFFS0003,Expense,
DEFRA,Core Defra,13/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A E A Technology plc,100412,"Ł125,155.00",Milestone payment to Automic Energy Authority Technology in respect of research project,OX11 0QR,SME,Exempt,SFFS0005,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,11606,"Ł194,704.52",Insect Pollinator Initiative,SN2 1UH,,exempt,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,7060002656,"Ł56,278.00",Centre for Ecology and Hydrology project payment,OX10 8BB,,exempt,SFFS0001,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Sac Commercial Ltd,1104123095504,"Ł25,795.87",Milestone payment to Scottish Agricultural College (SAC Commercial) in respect of research project,EH9 3JG,SME,exempt,SFFS0005,Expense,
DEFRA,Core Defra,25/04/2012,Other Current Payments UK,Policy Delivery DG,Gangmasters Licensing Authority,GIAKAJAPR2012080312,"Ł180,125.50",Gangmaster Licensing Authority  Enforcement Grant-in-Aid (April 2012),NG8 9AF,,exempt,GLA00002,Expense,
DEFRA,Core Defra,25/04/2012,Grant-in Aid Payments,Policy Delivery DG,Gangmasters Licensing Authority,GIAKAJAPR2012,"Ł162,956.50",Gangmaster Licensing Authority  Compliance Grant-in-Aid (April 2012),NG8 9AF,,16301,GLA00005,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments E,Policy Delivery DG,Local Partnerships LLP,41100907,"Ł239,655.60",WASTE INFRASTRUCTURE DELIVERY PROGRAMME,EC1M 5LG,SME,14265,WLASUCON,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (GB),Policy Delivery DG,C E F A S,8001892,"Ł25,188.00",Environmental Risk Assessment 11/12,NR33 0HT,,exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (GB),Policy Delivery DG,C E F A S,8001923,"Ł32,091.00",Evaluating Distribution of Fisheries Trends,NR33 0HT,,exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-497375-38886,"Ł235,000.00",The Continuous Plankton Recorder survey: Monitoring marine biodiversity and environmental change in the world's oceans - 11/12,PL1 2PB,,,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (GB),Policy Delivery DG,C E F A S,8001934,"Ł83,357.69",Development of IT Work packages,NR33 0HT,,Exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Other Current Payments (GB),Policy Delivery DG,C E F A S,8001931,"Ł59,549.00",Evaluation of potential of co-location of activities,NR33 0HT,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Evidence Non R&D,Policy Delivery DG,C E F A S,8001928,"Ł2,390,166.63",Cefas High Level Agreement non Research and Development,NR33 0HT,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,Northumberland Nat Park Authority,140312,"Ł870,000.00",Quarter 1 2012-13 Northumberland National Park Grant in Aid payment,NE46 1BS,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Current Grants E,Policy Delivery DG,Lake District National Park Auth,140312,"Ł1,694,300.00",Quarter 1 2012-13 Lake District National Park Grant in Aid payment,LA9 7RL,,EXEMPT,00000000,Expense,
