UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC35614,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł619.40,35614
MODGPC35615,04-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł539.92,35615
MODGPC35616,02-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,337.90",35616
MODGPC35617,11-Jul-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,Ł768.00,35617
MODGPC35618,02-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł811.66,35618
MODGPC35619,05-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,855.30",35619
MODGPC35620,09-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł826.80,35620
MODGPC35621,09-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,038.60",35621
MODGPC35622,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,118.84",35622
MODGPC35623,03-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł575.64,35623
MODGPC35624,12-Jul-12,Building Materials                 , PLUMBING/HEATING EQUIPMENT,Ł599.87,35624
MODGPC35625,03-Jul-12,Building Materials                 , PLUMBING/HEATING EQUIPMENT,Ł513.93,35625
MODGPC35626,12-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł8,581.10",35626
MODGPC35627,12-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł743.40,35627
MODGPC35628,07-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,475.12",35628
MODGPC35629,10-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł666.00,35629
MODGPC35630,05-Jul-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł1,784.16",35630
MODGPC35631,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł696.96,35631
MODGPC35632,11-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,223.40",35632
MODGPC35633,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",35633
MODGPC35634,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",35634
MODGPC35635,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",35635
MODGPC35636,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",35636
MODGPC35637,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92",35637
MODGPC35638,06-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,370.00",35638
MODGPC35639,02-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł587.09,35639
MODGPC35640,02-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł522.59,35640
MODGPC35641,03-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł718.85,35641
MODGPC35642,04-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,966.02",35642
MODGPC35643,09-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł797.86,35643
MODGPC35644,09-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł504.79,35644
MODGPC35645,10-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł604.34,35645
MODGPC35646,11-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł560.71,35646
MODGPC35647,05-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,160.30",35647
MODGPC35648,10-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł994.53,35648
MODGPC35649,10-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,483.30",35649
MODGPC35650,10-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł705.85,35650
MODGPC35651,05-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł855.90,35651
MODGPC35652,04-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł7,872.00",35652
MODGPC35653,05-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł9,584.16",35653
MODGPC35654,05-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł841.80,35654
MODGPC35655,02-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,648.00",35655
MODGPC35656,05-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,592.88",35656
MODGPC35657,09-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł851.54,35657
MODGPC35658,12-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł504.33,35658
MODGPC35659,04-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł501.95,35659
MODGPC35660,11-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,030.68",35660
MODGPC35661,05-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,354.32",35661
MODGPC35662,04-Jul-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł541.56,35662
MODGPC35663,06-Jul-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł969.05,35663
MODGPC35664,12-Jul-12,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł4,207.56",35664
MODGPC35665,12-Jul-12,Building Services                  ," HEATING, PLUMBING, AIR COND","Ł2,203.68",35665
MODGPC35666,04-Jul-12,Building Services                  , ELECTRICAL CONTRACTORS,Ł714.00,35666
MODGPC35667,06-Jul-12,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł763.25,35667
MODGPC35668,09-Jul-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł2,016.00",35668
MODGPC35669,09-Jul-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł816.04,35669
MODGPC35670,09-Jul-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł947.28,35670
MODGPC35671,12-Jul-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł792.92,35671
MODGPC35672,12-Jul-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł3,142.14",35672
MODGPC35673,12-Jul-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł1,735.86",35673
MODGPC35674,04-Jul-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł764.64,35674
MODGPC35675,09-Jul-12,Building Services                  , ROOFING/SIDING/SHEET METAL,"Ł2,025.12",35675
MODGPC35676,02-Jul-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,338.36",35676
MODGPC35677,11-Jul-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,116.54",35677
MODGPC35678,02-Jul-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł672.31,35678
MODGPC35679,10-Jul-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł2,397.84",35679
MODGPC35680,09-Jul-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł619.57,35680
MODGPC35681,04-Jul-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł834.00,35681
MODGPC35682,10-Jul-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł792.00,35682
MODGPC35683,09-Jul-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł825.60,35683
MODGPC35684,05-Jul-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł813.29,35684
MODGPC35685,11-Jul-12,Business Clothing and Footwear     , COMMERCIAL FOOTWEAR,"Ł5,314.10",35685
MODGPC35686,02-Jul-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł1,350.00",35686
MODGPC35687,11-Jul-12,Catering and Catering Supplies     , CATERERS,Ł625.93,35687
MODGPC35688,05-Jul-12,Catering and Catering Supplies     , CATERERS,Ł568.68,35688
MODGPC35689,10-Jul-12,Catering and Catering Supplies     , CATERERS,"Ł2,524.35",35689
MODGPC35690,06-Jul-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"Ł3,048.73",35690
MODGPC35691,11-Jul-12,Catering and Catering Supplies     , CATERERS,"Ł2,054.43",35691
MODGPC35692,06-Jul-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,Ł644.24,35692
MODGPC35693,04-Jul-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"Ł1,303.74",35693
MODGPC35694,06-Jul-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,Ł571.67,35694
MODGPC35695,06-Jul-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"Ł4,991.18",35695
MODGPC35696,05-Jul-12,Catering and Catering Supplies     , CATERERS,Ł667.20,35696
MODGPC35697,10-Jul-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł821.75,35697
MODGPC35698,06-Jul-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,410.08",35698
MODGPC35699,10-Jul-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,Ł505.00,35699
MODGPC35700,03-Jul-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,"Ł1,841.62",35700
MODGPC35701,05-Jul-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,"Ł1,238.86",35701
MODGPC35702,04-Jul-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,Ł663.98,35702
MODGPC35703,04-Jul-12,Cleaning Services and Supplies     , DRY CLEANERS,Ł568.80,35703
MODGPC35704,05-Jul-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,Ł656.40,35704
MODGPC35705,06-Jul-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł7,455.60",35705
MODGPC35706,03-Jul-12,Cleaning Services and Supplies     , DRY CLEANERS,Ł928.98,35706
MODGPC35707,03-Jul-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł788.02,35707
MODGPC35708,05-Jul-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,Ł632.34,35708
MODGPC35709,11-Jul-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł1,210.68",35709
MODGPC35710,05-Jul-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,409.90",35710
MODGPC35711,09-Jul-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,220.40",35711
MODGPC35712,05-Jul-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,356.70",35712
MODGPC35713,10-Jul-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł4,341.07",35713
MODGPC35714,02-Jul-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł654.30,35714
MODGPC35715,02-Jul-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł1,800.00",35715
MODGPC35716,06-Jul-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł600.00,35716
MODGPC35717,03-Jul-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł2,324.13",35717
MODGPC35718,12-Jul-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł1,800.00",35718
MODGPC35719,11-Jul-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł653.50,35719
MODGPC35720,05-Jul-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł1,356.00",35720
MODGPC35721,10-Jul-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł954.00,35721
MODGPC35722,06-Jul-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł2,970.00",35722
MODGPC35723,06-Jul-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł3,788.24",35723
MODGPC35724,06-Jul-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł3,156.87",35724
MODGPC35725,04-Jul-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł510.99,35725
MODGPC35726,06-Jul-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł578.44,35726
MODGPC35727,04-Jul-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł805.79,35727
MODGPC35728,12-Jul-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,756.44",35728
MODGPC35729,05-Jul-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł816.66,35729
MODGPC35730,06-Jul-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł672.00,35730
MODGPC35731,12-Jul-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,559.88",35731
MODGPC35732,09-Jul-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł900.00,35732
MODGPC35733,02-Jul-12,Computer Equipment & Services      , COMPUTER NETWORK/INFO SVCS,Ł902.71,35733
MODGPC35734,03-Jul-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł2,260.80",35734
MODGPC35735,03-Jul-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł6,731.38",35735
MODGPC35736,09-Jul-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł540.00,35736
MODGPC35737,02-Jul-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł596.06,35737
