Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,27/10/2015,ERNIC - Permanent Staff,"Strategy, International and Biosecurity DG",Home Office,1126930,"29,546.22",T NATION SAL COST HO,NP20 9BB,,,0,Expense,
DEFRA,DEFRA,07/10/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Hortisystems UK Ltd,INV13028,"67,855.32",PO 379304 BLOCK 34 AT SAND HUTTON FMR9172,RH20 2PR,SME,,FMR1516R,Asset,
DEFRA,DEFRA,07/10/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151711,"56,499.14",PO 374829 APR 14F-006 INVOICED AT 100% BASED ON T&M LABOUR & CUSTOMER 29.05.2015 TO 17.07.2015,GU1 2LD,SME,10040,PITF0902,Expense,
DEFRA,DEFRA,07/10/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151710,"51,137.31",PO 370823 APR 14G 003 03.07.15 TO 24.07.15,GU1 2LD,SME,10040,PTRS1000,Expense,
DEFRA,DEFRA,07/10/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151709,"25,052.55",PO 370823 APR 14G 003 29.05.15 TO 24.07.15,GU1 2LD,SME,10040,PTRS1000,Expense,
DEFRA,DEFRA,15/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5910150081,"-45,859.66",PO 377614,GU1 2LD,SME,10040,0,Expense,
DEFRA,DEFRA,07/10/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151253,"34,576.74","PO 371444   APR 14G 006, 31/07/2015 TO 28/08/2015",GU1 2LD,SME,10040,PTRS0900,Expense,
DEFRA,DEFRA,19/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151420,"40,284.96","PO 380138, MAY 15 VOLUMETRIC TRUE UP",GU1 2LD,SME,10040,0,Expense,
DEFRA,DEFRA,19/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151422,"34,488.47","PO380135,  FEBRUARY 15 VOLUMETRIC TRUE UP",GU1 2LD,SME,10040,0,Expense,
DEFRA,DEFRA,05/10/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5809151262,"32,458.01",PO 378355 APR 14D 025 01.09.15 TO 30.09.15,GU1 2LD,SME,10040,B216P503,Asset,
DEFRA,DEFRA,15/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151038,"29,780.10",PO 378069 APR 15 001 31.07.15 TO 28.08.15,GU1 2LD,SME,10040,CAPDFA08,Expense,
DEFRA,DEFRA,05/10/2015,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151421,"147,301.54",PO 375126 APR 14F 005 01.09.15 TO 30.09.15,GU1 2LD,SME,10040,PITF0400,Expense,
DEFRA,DEFRA,23/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,300915,"-220,368.13","Credit notes 5909150265, 5909150264 - Volumetric true up",GU1 2LD,SME,,0,Expense,
DEFRA,DEFRA,26/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,290915,"-266,884.48",CREDIT NOTE 5909150266 & 590915023 - VOLUMETRIC TRUE UP,GU1 2LD,SME,,0,Expense,
DEFRA,DEFRA,19/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151419,"59,959.19","PO380135,  MARCH 15 VOLUMETRIC TRUE UP",GU1 2LD,SME,10040,0,Expense,
DEFRA,DEFRA,19/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151418,"58,257.17","PO 380138, APRIL 15 VOLUMETRIC TRUE UP",GU1 2LD,SME,10040,0,Expense,
DEFRA,DEFRA,29/10/2015,Software Services/Non-Standard Software,Chief Operating Officer DG,IBM United Kingdom Ltd,5810150583,"26,298.43",PO 374759 APR 14-075 31.07.15 TO 28.08.15,GU1 2LD,SME,10040,CAPDFA08,Expense,
DEFRA,DEFRA,19/10/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5810150188,"41,517.19",PO 370823 APR 14G-003 31.07.15 TO 28.08.15,GU1 2LD,SME,10040,PTRS1000,Expense,
DEFRA,DEFRA,07/10/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5809151714,"43,136.92",PO 371933 APR 14G 007 08.05.15 TO 26.06.15,GU1 2LD,SME,10040,PTRS0800,Expense,
DEFRA,DEFRA,29/10/2015,Decommissioned Application Operations,Chief Operating Officer DG,IBM United Kingdom Ltd,5808150324,"41,584.20",PO 378160 APR 14NE 132 01.08.15-31.08.15,GU1 2LD,SME,,PTRS6000,Expense,
DEFRA,DEFRA,27/10/2015,Decommissioned Application Operations,Chief Operating Officer DG,IBM United Kingdom Ltd,5810150708,"25,785.92",PO 378160 APR 14NH 132 PERIOD 01.10.15 TO 31.10.15,GU1 2LD,SME,,PTRS6000,Expense,
DEFRA,DEFRA,19/10/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5810150355,"35,771.47","PO 380134, 373958 APR 14G 020 03.04.15 TO 14.0815",GU1 2LD,SME,10040,PTRS1400,Expense,
DEFRA,DEFRA,29/10/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5810150618,"5,632,047.34",PO 380391 OCT 2015 CORE DEFRA IT BASE 01.10.15 TO 31.10.15,GU1 2LD,SME,10040,0,Expense,
DEFRA,DEFRA,27/10/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Innovate UK,1292,"30,000.00",PO 379183 CO FUNDING 2015/16,SN2 1JF,,17734,0,Expense,
DEFRA,DEFRA,27/10/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Innovate UK,1291,"60,000.00",PO 379184 CO FUNDING 2015/16,SN2 1JF,,17733,0,Expense,
DEFRA,DEFRA,27/10/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Innovate UK,1299,"40,000.00",PO 368688 CRD 085 NUTRITION FOR LIFE,SN2 1JF,,FO0123,SFFS0003,Expense,
DEFRA,DEFRA,13/10/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute of Zoology,35462,"56,267.00",PO 348202 CETACEAN STANDINGS INVESTIGATION 1 JULY AND 30TH SEPTEMBER 2015,NW1 4RY,,17628,0,Expense,
DEFRA,DEFRA,09/10/2015,Current Grants E,"Strategy, International and Biosecurity DG",International Inst For Env & Dev,9.09153E+11,"31,026.25",PO 370197 REF IWT01 PERIOD JULY 2015 TO SEPT 2015 QTR NO 2 DARWIN GRANT CLAIM FORM,WC1X 8NH,SME,Grant/21063,IWTXXXXX,Expense,
DEFRA,DEFRA,26/10/2015,Current Grants E,"Strategy, International and Biosecurity DG",International Snow Leopard Trust,221015,"29,952.50",FOREIGN PAYMENT DEFRA PAYMENT IWT012 Q3 2015-16 CLAIM ( CRWPP),98103,SME,,IWTXXXXX,Expense,
DEFRA,DEFRA,15/10/2015,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00048606,"2,594,461.51",PO 378495 CORE CONTRACT 01.09.15 TO 30.09.15,BS32 4NH,,10226,0,Expense,
DEFRA,DEFRA,09/10/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00049018,"44,868.76",PO 376043 BILLING SEP 2015 PROJECTS VALUATION BCP REF 6489,BS32 4NH,,10226,SUST1415,Asset,
DEFRA,DEFRA,15/10/2015,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00048607,"596,128.45",PO 378496 FRW 10321 - 00 01.09.15 TO 30.09.15,BS32 4NH,,10226,0,Expense,
DEFRA,DEFRA,23/10/2015,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00047912,"148,498.96",PO 380495 JUL 2015 COSTS,BS32 4NH,,10226,0,Expense,
DEFRA,DEFRA,09/10/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00048114,"33,501.13",PO 375805 SBEWS SWM CONTRACT BILLING FOR PARTIALLY COMPLETED BCP WORKS ON DEFRA,BS32 4NH,,10195L,B0870000,Expense,
