UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT
MODGPC29604,11-Apr-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł509.33
MODGPC29605,12-Apr-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł7,435.20"
MODGPC29606,04-Apr-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł715.00
MODGPC29607,03-Apr-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"Ł3,767.27"
MODGPC29608,11-Apr-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł875.00
MODGPC29609,11-Apr-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł579.00
MODGPC29610,03-Apr-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł579.00
MODGPC29611,04-Apr-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł500.00
MODGPC29612,11-Apr-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł3,000.00"
MODGPC29613,12-Apr-12,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł511.20
MODGPC29614,11-Apr-12,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł539.09
MODGPC29615,02-Apr-12,Computer Equipment & Services      , COMPUTER MAINT/SVCS - DEF,Ł524.22
MODGPC29616,10-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł2,426.99"
MODGPC29617,11-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł582.00
MODGPC29618,03-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,436.71"
MODGPC29619,10-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł6,237.28"
MODGPC29620,10-Apr-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł666.00
MODGPC29621,04-Apr-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,Ł762.00
