Spend over £25000 - Publication template,,,,,,,,
,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Ravens Wood School,Collab Fund Grant,56180.00
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,Grants Made,Continuous Leadership Learning,Rullion Management Services Limited,107782,123234.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Rumworth Sch,Collab Fund grant,29487.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,107320,4617.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,107320,23085.00
Department for Education,National College for Leadership of Schools and Children's Services,04/02/2011,Irrecoverable Input VAT,School Leadership Development,Serco Learning Solutions,107433,4172.16
Department for Education,National College for Leadership of Schools and Children's Services,04/02/2011,Programme Costs,School Leadership Development,Serco Learning Solutions,107433,20860.80
Department for Education,National College for Leadership of Schools and Children's Services,15/02/2011,Irrecoverable Input VAT,Childrens Services,Serco Learning Solutions,107576,49744.29
Department for Education,National College for Leadership of Schools and Children's Services,15/02/2011,Programme Costs,Childrens Services,Serco Learning Solutions,107576,248721.44
Department for Education,National College for Leadership of Schools and Children's Services,22/02/2011,Irrecoverable Input VAT,Corporate Services,Sodexo Ltd,107697,41547.17
Department for Education,National College for Leadership of Schools and Children's Services,22/02/2011,Outsourcing,Corporate Services,Sodexo Ltd,107697,207735.85
Department for Education,National College for Leadership of Schools and Children's Services,14/02/2011,Grants Made,School Leadership Development,St Ambrose Barlow RC High School,Collab Fund Grant,10000.00
Department for Education,National College for Leadership of Schools and Children's Services,22/02/2011,Grants Made,School Leadership Development,St Ambrose Barlow RC High School,Collab Fund Grant,13000.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,St Ambrose Barlow RC High School,Collab Fund grant,37670.00
Department for Education,National College for Leadership of Schools and Children's Services,14/02/2011,Grants Made,School Leadership Development,Stockport School,Collab Fund Grant,33760.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,St Patricks RC High School and Arts College,Collab Fund Grant,34595.00
Department for Education,National College for Leadership of Schools and Children's Services,07/02/2011,Grants Made,School Leadership Development,St Thomas' CEP School,Collab Fund Grant,27880.00
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,St Thomas' CEP School,Collab Fund Grant,19900.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Swinton High School,Collab Fund Grant,29390.00
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Swinton High School,Collab Fund Grant,10000.00
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,Irrecoverable Input VAT,School Leadership Development,Teaching Leaders (c/o ARK Schools),107555,-35656.25
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,Programme Costs,School Leadership Development,Teaching Leaders (c/o ARK Schools),107555,-203750.00
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,Programme Costs,School Leadership Development,Teaching Leaders (c/o ARK Schools),107556,203750.00
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,Programme Costs,School Leadership Development,Teaching Leaders (c/o ARK Schools),107557,203750.00
Department for Education,National College for Leadership of Schools and Children's Services,16/02/2011,Grants Made,School Leadership Development,Valley Primary School,Collab Fund Grant,26000.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Wellacre Technology Academy,Collab Fund Grant,29097.50
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Wellacre Technology Academy,Collab Fund Grant,907.50
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Westleigh Methodist Primary School,Collab Fund Grant,28040.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
