Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,15/06/2015,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,23421,Cost of other material consumed,"Ł37,415.59"
Ministry of Defence,Ministry of Defence,04/06/2015,Spend on Inventory - General,Defence Equipment + Support,DS SMITH CORRUGATED PACKAGING LIMITED,LE10 3BX,18540,Spend on Inventory - General,"Ł37,392.62"
Ministry of Defence,Ministry of Defence,09/06/2015,Purchase of inventory and services ,HO+CS,THE ROYAL MINT,CF72 8YT,20223,Raw material and consumable or capital spare purchased,"Ł37,197.34"
Ministry of Defence,Ministry of Defence,11/06/2015,Administration,Land Forces,THE ROYAL IRISH REGIMENT  BENEVOLENT FUND,BFPO 806,10239,General administration,"Ł37,000.00"
Ministry of Defence,Ministry of Defence,10/06/2015,Research and development,Air Command,SPACE INSIGHT LTD,BN21 9BD,186070,Research and development excluding defence science and technology laboratory,"Ł36,980.00"
Ministry of Defence,Ministry of Defence,25/06/2015,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,LS25 2DY,27966,Cost of purchasing and repairing clothing,"Ł36,939.98"
Ministry of Defence,Ministry of Defence,24/06/2015,Externally delivered education and training,Land Forces,TQ EDUCATION AND TRAINING  LIMITED,NN17 1NN,27394,External military training ,"Ł36,877.44"
Ministry of Defence,Ministry of Defence,05/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS LAND SYSTEMS PINZGAUER LIMITED,NP15 1XL,18955,Post design services which are not capitalised,"Ł36,738.00"
Ministry of Defence,Ministry of Defence,08/06/2015,Spend on Inventory - General,Defence Equipment + Support,COONEEN DEFENCE LIMITED,BT75 0NE,10208,Spend on Inventory - General,"Ł36,735.72"
Ministry of Defence,Ministry of Defence,02/06/2015,Medical treatment & stores and welfare services,Land Forces,WRVS SERVICES WELFARE LIMITED,CF23 8RP,17879,Welfare services including sports equipment and ministers of religion.,"Ł36,712.36"
Ministry of Defence,Ministry of Defence,23/06/2015,"Transportation of personnel, freight and travel expenses",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000233,Military short term detached duty,"Ł36,698.25"
