UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC64405,02-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,524.36,64405
MODGPC64406,10-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,656.63,64406
MODGPC64407,01-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"1,800.00",64407
MODGPC64408,02-Jul-13,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,555.04,64408
MODGPC64409,05-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,616.8,64409
MODGPC64410,03-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"1,172.96",64410
MODGPC64411,03-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"1,172.96",64411
MODGPC64412,03-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"1,172.96",64412
MODGPC64413,03-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"1,172.96",64413
MODGPC64414,03-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"1,172.96",64414
MODGPC64415,01-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,796.8,64415
MODGPC64416,01-Jul-13,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"1,296.00",64416
MODGPC64417,08-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,540,64417
MODGPC64418,03-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,840,64418
MODGPC64419,05-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,704.3,64419
MODGPC64420,05-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,704.3,64420
MODGPC64421,09-Jul-13,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,656.8,64421
MODGPC64422,11-Jul-13,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,589.42,64422
MODGPC64423,03-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,630,64423
MODGPC64424,11-Jul-13,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY","2,328.00",64424
MODGPC64425,04-Jul-13,Estate and Garden Services         , FLORIST SUPPLIES/NURSERY STOCK,"1,134.96",64425
MODGPC64426,05-Jul-13,Estate and Garden Services         , LANDSCAPE/HORTICULTURAL SER,613.91,64426
MODGPC64427,10-Jul-13,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY",561.44,64427
MODGPC64428,08-Jul-13,Freight and Storage                , MOTOR FREIGHT CARRIERS,"7,823.26",64428
MODGPC64429,02-Jul-13,Freight and Storage                , PUBLIC WAREHOUSING,720,64429
MODGPC64430,10-Jul-13,General Retail and Wholesale       ," HOBBY, TOY & GAME SHOPS","1,321.80",64430
MODGPC64431,05-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,"3,436.80",64431
MODGPC64432,11-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,808.8,64432
MODGPC64433,01-Jul-13,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,"1,340.00",64433
MODGPC64434,05-Jul-13,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,557.96,64434
MODGPC64435,10-Jul-13,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,"1,239.55",64435
MODGPC64436,02-Jul-13,General Retail and Wholesale       , TENT AND AWNING SHOPS,506.97,64436
MODGPC64437,03-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"1,379.47",64437
MODGPC64438,11-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"3,070.07",64438
MODGPC64439,10-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"1,620.00",64439
MODGPC64440,01-Jul-13,General Retail and Wholesale       , TENT AND AWNING SHOPS,663.4,64440
MODGPC64441,10-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,876,64441
MODGPC64442,03-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,820,64442
MODGPC64443,04-Jul-13,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,873,64443
MODGPC64444,05-Jul-13,General Retail and Wholesale       , HARDWARE STORES,"2,861.71",64444
MODGPC64445,10-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,748.2,64445
MODGPC64446,10-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"1,478.40",64446
MODGPC64447,10-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"1,828.80",64447
MODGPC64448,10-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,792,64448
MODGPC64449,11-Jul-13,General Retail and Wholesale       , MISC HOME FURNISHING SPECIALTY,524.4,64449
MODGPC64450,04-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"2,040.60",64450
MODGPC64451,10-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"1,320.00",64451
MODGPC64452,01-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,792,64452
MODGPC64453,04-Jul-13,General Retail and Wholesale       , DRAPERY & UPHOLSTERY STORES,"3,134.34",64453
MODGPC64454,08-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,"7,301.82",64454
MODGPC64455,11-Jul-13,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,600,64455
MODGPC64456,04-Jul-13,General Retail and Wholesale       , SPORTING GOODS STORES,"1,296.00",64456
MODGPC64457,08-Jul-13,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,"3,146.86",64457
MODGPC64458,01-Jul-13,General Retail and Wholesale       , SPORTING GOODS STORES,"4,883.76",64458
MODGPC64459,08-Jul-13,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,"5,236.26",64459
MODGPC64460,05-Jul-13,General Retail and Wholesale       , PET STORES/FOOD & SUPPLY,586.37,64460
MODGPC64461,05-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"3,428.42",64461
MODGPC64462,05-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"1,052.78",64462
MODGPC64463,05-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"1,636.80",64463
MODGPC64464,08-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,"3,930.00",64464
MODGPC64465,08-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,"3,930.00",64465
MODGPC64466,08-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,"3,930.00",64466
MODGPC64467,08-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,"2,358.00",64467
MODGPC64468,08-Jul-13,General Retail and Wholesale       , ELECTRONICS STORES,"3,930.00",64468
MODGPC64469,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"14,231.81",64469
MODGPC64470,08-Jul-13,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"14,231.81",64470
MODGPC64471,03-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,813,64471
MODGPC64472,08-Jul-13,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,"1,334.24",64472
MODGPC64473,04-Jul-13,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,"4,719.00",64473
MODGPC64474,03-Jul-13,General Retail and Wholesale       , DISCOUNT STORES,709.97,64474
MODGPC64475,02-Jul-13,General Retail and Wholesale       , WOMENS ACCESS/SPECIALTY,799.98,64475
MODGPC64476,05-Jul-13,General Retail and Wholesale       , SPORTING GOODS STORES,"1,196.40",64476
MODGPC64477,03-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"1,954.73",64477
MODGPC64478,01-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,652.8,64478
MODGPC64479,09-Jul-13,General Retail and Wholesale       , SPORTING GOODS STORES,"2,447.04",64479
MODGPC64480,03-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,"2,740.50",64480
MODGPC64481,04-Jul-13,General Retail and Wholesale       , DRAPERY & UPHOLSTERY STORES,"6,012.89",64481
MODGPC64482,04-Jul-13,General Retail and Wholesale       , DRAPERY & UPHOLSTERY STORES,"5,106.53",64482
MODGPC64483,10-Jul-13,General Retail and Wholesale       , DRAPERY & UPHOLSTERY STORES,"2,931.40",64483
MODGPC64484,01-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"1,552.68",64484
MODGPC64485,09-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,794.4,64485
MODGPC64486,04-Jul-13,General Retail and Wholesale       ," GIFT, CARD, NOVELTY STORES",500,64486
MODGPC64487,11-Jul-13,General Retail and Wholesale       , SPORTING GOODS STORES,826.16,64487
MODGPC64488,01-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,774,64488
MODGPC64489,09-Jul-13,General Retail and Wholesale       , RADIO/TV/STEREO REPAIR SHOP,"2,226.52",64489
MODGPC64490,04-Jul-13,General Retail and Wholesale       , PET STORES/FOOD & SUPPLY,"1,168.80",64490
MODGPC64491,04-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,611.78,64491
MODGPC64492,03-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"2,384.95",64492
MODGPC64493,03-Jul-13,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"3,642.65",64493
MODGPC64494,02-Jul-13,General Retail and Wholesale       , MUSIC STORES/PIANOS,"1,900.00",64494
MODGPC64495,10-Jul-13,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"3,492.50",64495
