Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17314,"£497,000.00",,NG17 4JL,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17315,"£3,446,000.00",,NG17 4JL,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Research & development,DG: SFNHS,GENOMICS ENGLAND LTD,002,"£265,017.00",SBRI competition - Genomics development contracts,EC1M,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00335416ARI,"£61,022.65",DH - Provision of Variable Works at Various DH Buildings Apr 2014 - Mar 2015 (SKH / RH / WEL / PRH / BLH Building Maintenance),SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41856,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00335419RI,83187.06,DH - Provision of Variable Works at Various DH Buildings Apr 2014 - Mar 2015 (SKH / RH / WEL / PRH / BLH Building Maintenance),SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Consultancy/Professional Advice,DG: SFNHS,DELOITTE,1111082609,"£76,850.00",Financial Advisory Services,MK9 1FD,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Consultancy/Professional Advice,DG: SFNHS,DELOITTE,1111082629,"£53,967.00",Financial Advisory Services,MK9 1FD,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Outsourcing Contract,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12667951,"£345,000.00",Adult Psychiatric Morbidity Survey 2013-14,WF3 1WE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Consultancy/Professional Advice,DG: PHD,SAPIENT LTD,31937,"£32,000.00",Funding Sapient TCG decision 13 January,E14 9GE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),446119,"£494,439.12",Revenue: NHS Mail core contract 1 April 2014 - 30 June 2014,RG12 1RW,,Programme,Private,,,,,,,,,,,,,,,,
