Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-525409-92962,"£1,100,417.00",Network Research Capability Funding,BS99 1YF,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-525410-92976,"£45,294.00",Research Capability Funding,CV2 2DX,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-525411-92998,"£165,497.00",Research Capability Funding,LE5 4QF,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-525411-92998,"£83,333.00",Biomedical Units,LE5 4QF,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-525411-92998,"£91,604.00",Biomedical Units,LE5 4QF,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-525411-92998,"£126,799.00",Biomedical Units,LE5 4QF,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-525411-92998,"£68,295.00",Network Research Capability Funding,LE5 4QF,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-525411-92998,"£1,794,953.00",Network Research Capability Funding,LE5 4QF,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ROYAL COLLEGE OF GENERAL PRACTITIONERS RCGP,ERS-525442-93041,"£210,688.00",2013/029c rant to increase awareness of carers' needs among health professionals,EC4M 9DQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41869,Outsourcing Contract,DG: ERD,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12667920,11586,increase to PO 506360 for Adam Scott secondment form HSCIC,LS1 6AE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Secondees in invoiced costs,DG: ERD,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12667920,"£23,598.00",Secondment of Adam Scott from HSCIC from 01/10/12 to 31/03/13,LS1 6AE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Revenue Grants to local authorities,DG: SCLGCP,PLYMOUTH CITY COUNCIL,ERS-524557-92211.,"£356,920.00",Local Reform and Community Voices & Care Bill Implementation Grants 14/15,PL1 2AA,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Revenue Grants to non-profit institutions,DG: PHD,QUEENS NURSING INSTITUTE (QNI),ERS-525457-93061,"£35,000.00",2014/012 Specialist Practitioner Qualification (SPQ) Leadership,W1G 0LZ,,Programme,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525471-93084,"£25,001.00",Research for Patient Benefit,M13 0JR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,HAFS-17324,"£2,200,000.00",,PR8 6PT,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-17325,"£150,000.00",,HP7 0JD,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,HAFS-17326,"£285,000.00",,SN3 6BB,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,KINGSTON HOSPITAL NHS FOUNDATION TRUST,HAFS-17327,"£91,000.00",,KT2 7PU,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,HAFS-17328,"£689,000.00",,L8 7SS,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions PDC Revenue Support NHS FT Permenant,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17329,"£349,000.00",,PE3 6DA,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17330,"£627,000.00",,PE3 6DA,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41869,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,ROYAL UNITED HOSPITAL BATH NHS TRUST,HAFS-17331,27000,,BA1 3NG,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-17332,"£2,200,000.00",,PE30 4ET,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Provisions cash payment,DG: PHD,IRWIN MITCHELL SOLICITORS,HGHPAYMENTAUG2014,"£25,000.00",Interim legal settlement,S3 8DT,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Outsourcing Contract,DG: GOAD,AMICUS ITS LTD,OP/I052367,"£53,360.00",Amicus ITS - Service Support 01.07.2014 to 30.09.2014,SO40 3WX,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Outsourcing Contract,DG: GOAD,AMICUS ITS LTD,OP/I052369,"£116,196.00",Amicus ITS - Cloud Storage Service 160Tb 01.07.2014 to 30.09.2014,SO40 3WX,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,18/08/2014,Professional fees,DG: ERD,GOVERNMENT ACTUARYS DEPARTMENT GAD,SINV/00021443,"£46,344.38",GAD Payments for June-October 2014,EC4A 1AB,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336820RI,"£57,066.43","Building Maintenance Costs from 01/04/14 - 31/03/15 @£57,066.43",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336820RI,"£11,055.48","FM Costs from 01/04/14 - 31/03/15 @£11,055.48",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336821RI,"£46,676.46"," Building Maintenance Costs from 01/04/14 -31/03/201515 @ £46,676.46 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336821RI,"£22,528.31","Cleaning Costs from 01/04/14 -31/03/201515 @ £22,528.31 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336821RI,"£13,007.45","FM Costs from 01/04/14 -31/03/201515 @ £13,007.45 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336821RI,"£29,340.24","Security Costs from 01/04/14 -31/03/201515 @ £29,340.24 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41870,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336822RI,49138.93,"Building Maintenance Costs from 01/04/14 - 31/03/15 @£49,138.93",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336822RI,"£29,049.98","Cleaning Costs from 01/04/14 - 31/03/15 @£29,049.98",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336822RI,"£26,261.22","FM Costs from 01/04/14 - 31/03/15 @£26,261.22",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336822RI,"£47,483.26","Security Costs from 01/04/14 - 31/03/15 @£47,483.26",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336823RI,"£38,449.46","Building Maintenance Costs from 01/04/14 -31/03/15 @38,449.46 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336823RI,"£21,923.22","Cleaning Costs from 01/04/14 -31/03/15 @21,923.22 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336823RI,"£13,060.08","FM Costs from 01/04/14 -31/03/15 @13,060.08 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336823RI,"£28,817.96","Security Costs from 01/04/14 -31/03/15 @28,817.96 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336825RI,"£7,250.17","Building Maintenance Costs from 01/04/14 - 31/03/15 @£7,250.17 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336825RI,"£4,526.33","Cleaning Costs from 01/04/14 - 31/03/15 @£4,526.33 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336825RI,"£7,518.17","FM Costs from 01/04/14 - 31/03/15 @£7,518.17 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336825RI,"£1,623.83","Security Costs from 01/04/14 - 31/03/15 @£1,623.83 mthly",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41870,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00336829RI,33717.46,"Care Quality Commission (CQC) --Building Maintenance from 01/04/14 - 31/03/15 - @£33,717.46",SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Research & development,DG: RDD,RAINBOW MEDICAL ENGINEERING LTD,93,"£39,662.94",Invention for Innovation,SG6 1RR,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Professional fees,DG: GOAD,TREASURY SOLICITORS DEPARTMENT (TSOL),AH1727,"£110,500.00",,WC2B 4TS,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Other creditors (ST),DG: GOAD,NHS ENGLAND CBA033,BANKED CHEQUES,"£193,236.18",,,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LINCOLNSHIRE COUNTY COUNCIL,ERS-524704-92384.,"£733,279.00",Local Reform & Community Voices and Care Bill Implementation grants,LN1 1YL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Capital Grants to local authorities,DG: SCLGCP,LINCOLNSHIRE COUNTY COUNCIL,ERS-524842-92525.,"£1,847,685.00",Capital Investment In Community Capacity Grant 2014/2015,LN1 1YL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE MENS HEALTH FORUM,ERS-525572-93101,"£43,750.00",The Mens Health Forum - 3 YEAR GRANT - AIMS REF 2506234,SE1 0EH,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,HOUSING 21 LTD,ERS-525587-93121,"£59,458.00","IESD 2012-13, AIMS 1778164, Housing 21: Dementia Voice Nurse Service- End of Life Specialist Provision",BS5 8NL,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,LASA CHARITY UK LTD,ERS-525591-93141,"£31,146.00",LASA - 3 Year Grant - AIMS REF 2532865,E1 7SA,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Other programme expenditure,DG: GOAD,NHS ENGLAND CBA033,MONEY TRANSFERRED CORNWALL AND ISLES OF SCILLY,"£105,041.00",,,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Policy Payments,DG: IGT,WELSH ASSEMBLY GOVERNMENT,PPRS/RECEIPTS/2013/14,"£4,011,404.61",ayments relating to the apportionment of 2011/12 PPRS receipts Wales,CF10 3NQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,19/08/2014,Policy Payments,DG: IGT,SCOTTISH EXECUTIVE,PPRSRECEIPTS2013/14,"£7,194,507.98",Payments relating to the apportionment of 2011/12 PPRS receipts in Scottish Executive,EH6 6QQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41871,Outsourcing Contract,DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12594410.,6374,Reconciliation of Invoice 12593717 Dated Sept 2012. Development of 2012 Surplus Land Model within EFM Info System. FOR DH PURPOSES ONLY,LS1 6AE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Outsourcing Contract,DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12594410.,"£3,200.00",2012 - 2013 ERIC EFM Work,LS1 6AE,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Policy Payments,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12594410.,"£9,306.00",Zero based review of information 2012,LS1 6AE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Policy Payments,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12594410.,"£22,000.00",Zero Based Review of Information 2012,LS1 6AE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Training (Learning and Development),DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12594410.,"£6,500.00",Reconciliation of Invoice 12594623 Dated Feb 2013. Additional PLACE Training sessions. FOR DH PURPOSES ONLY,LS1 6AE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Professional fees,DG: GOAD,VIRGIN CARE LTD,50430634,"£25,039.20",,WF3 1WE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,ENDPBs Admin Capital Grant in Aid,DG: SCLGCP,HOMES AND COMMUNITIES AGENCY (HCA),BK TRANSFER,"£6,179,723.00",Homes & Communities Agency - CASSH Fund Capital Payments to HCA 14/15,NE11 0NA,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Revenue Grants to local authorities,DG: SCLGCP,BARNSLEY METROPOLITAN BOROUGH COUNCIL,ERS-524594-92323.,"£348,666.00",Local Reform & Community Voices and Care Bill Implementation grants,S70 2TJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Capital Grants to local authorities,DG: SCLGCP,BARNSLEY METROPOLITAN BOROUGH COUNCIL,ERS-524769-92463.,"£679,397.00",Capital Investment In Community Capacity Grant 2014/2015,S70 2TJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Capital Grants to local authorities,DG: SCLGCP,PLYMOUTH CITY COUNCIL,ERS-524865-92548.,"£704,470.00",Capital Investment In Community Capacity Grant 2014/2015,PL1 2AA,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE ROYAL COLLEGE OF PAEDIATRICS AND CHILD HEALTH,ERS-525639-93201,"£227,000.00",2014/017 Paediatric Care Online,WC1X 8SH,,Programme,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,20/08/2014,Other programme expenditure,DG: GOAD,HAYS SPECIALIST RECRUITMENT LTD,SHA/PCT SETTLEMENT,"£102,000.00",,KT3 4JQ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41872,Outsourcing Contract,DG: PHD,HEALTH EDUCATION ENGLAND T1510,49294231,74000,Start at the Beginning Programme - To harness the new health visiting workforce to improve nutrition for women before they conceive.,LS1 4PL,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,21/08/2014,Outsourcing Contract,DG: PHD,HEALTH EDUCATION ENGLAND T1510,49294232,"£29,621.50",DIY Health Project Management of minor illnesses April 2014,LS1 4PL,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,21/08/2014,Training (Learning and Development),DG: PHD,HEALTH EDUCATION ENGLAND T1510,49294233,"£371,738.50",Making the most of HVs – co-creating an ambitious vision for the future and its implementation through education and training.,LS1 4PL,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,21/08/2014,Revenue Grants to local authorities,DG: SCLGCP,CHESHIRE EAST UNITARY AUTHORITY,ERS-524649-92402.,"£386,997.00",Local Reform & Community Voices and Care Bill Implementation grants,CW10 OHU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,21/08/2014,Capital Grants to local authorities,DG: SCLGCP,CHESHIRE EAST UNITARY AUTHORITY,ERS-524791-92607.,"£795,832.00",Capital Investment In Community Capacity Grant 2014/2015,CW10 OHU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,21/08/2014,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-525662-93221,"£4,822,000.00",2014/022a Social Care Work Programme for DH,LS1 2RP,,Programme,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,21/08/2014,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-525663-93222,"£185,000.00",2014/022b Social Care Work Programme for DH,NW1 2FD,,Programme,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,21/08/2014,Policy Payments,DG: IGT,EASTERN HEALTH AND SOCIAL SERVICES BOARD (EHSSB),PPRSRECEIPT2013/14,"£2,989,371.81",Payments relating to the apportionment of 2011/12 PPRS receipts in Northern Ireland,BT2 8BS,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,22/08/2014,Professional fees,DG: GOAD,PRICEWATERHOUSECOOPERS LLP,1354247307,"£21,514.56",DH ALB HEE Internal Audit review work,E14 9SQ,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,22/08/2014,Consultancy/Professional Advice,DG: ERD,VERITA CONSULTANTS LLP,9442/2208,"£59,088.17",Consultancy support ,W1D 4SN,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,22/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE NATIONAL CARE FORUM,ERS-525675-93241,"£34,510.00",SPP012 - The National Care Forum - SPP 2014-15 July Payment,CV1 2DY,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,22/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,SKILLS FOR CARE LTD,ERS-525681-93261,"£491,000.00",2014/033 Grant to Skills for Care for delivery of White Paper funded social care workforce projects,LS1 2RP,,Programme,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41877,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,12118,71754,Capital: Spine 2 BJSS. - Spine 2 Development,LS1 2TW,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,12119,"£80,017.68",Capital: Spine 2 BJSS. - Spine 2 Development,LS1 2TW,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Addition Clearing - SW LIC,DG: IGT,TRUSTMARQUE SOLUTIONS LTD,2216094,"£613,154.88",Capital: Trustmarque : Spine 2 - Perpetual Licence,YO32 9WN,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Service charge,DG: IGT,TRUSTMARQUE SOLUTIONS LTD,2216094,"£153,288.72",Revenue Trustmarque  Spine 2 - One year Support for 1.3m users,YO32 9WN,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2923698,£0.00,"Quarry House Leeds - Prime Utilities Recovery April 2014 - March 2015 @£2,856.25 mthly.",FY5 3TA,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2923698,"£35,950.91","Quarry House Leeds - Utilities (Gas/Electricity) April 2014 - March 2015 @£46,667 mthly.",FY5 3TA,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2923698,£0.00,"Quarry House Leeds - Prime Variable Charge Recovery (Water)April 2014 - March 2015 @£1,400 mthly.",FY5 3TA,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Outsourcing Contract,DG: SFNHS,DEPARTMENT FOR WORK AND PENSIONS (DWP),2923730,"£594,090.00",Administration of the NHS Injury Cost Recovery Scheme.,CF14 3UW,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Service charge,DG: IGT,BT GROUP PLC,361655,"£1,486,552.22",Revenue: BT Spine - Committed 2014/15,NW9 5BA,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Service charge,DG: IGT,BT GROUP PLC,361946,"£5,871,453.14",Revenue: BT Spine - Committed 2014/15,NW9 5BA,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Service charge,DG: IGT,BT GROUP PLC,362576,"£81,306.42",Revenue: BT Spine - Committed 2014/15,NW9 5BA,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Other programme expenditure,DG: GOAD,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,41546285 & 41546586,"£71,750.00",,GL3 4AW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41877,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584165283,43056,NHS England - Tranche 2 (Call Off Work),WS11 0JA,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,NHS BRISTOL CCG 11H,ERS-525741-93297,"£32,108.00",Research for Patient Benefit,BS1 3NX,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-525742-93287,"£29,516.00",Research for Patient Benefit,BR3 3BX,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-525745-93285,"£180,000.00",AD-HOC - ETC,NE7 7DN,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,BANGOR UNIVERSITY,ERS-525748-93294,"£79,278.54",HTA Commissioned Research,LL57 2DG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,ERS-525749-93293,"£95,935.00",Invention for Innovation,SO17 1BJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,INTENSIVE CARE NATIONAL AUDIT & RESEARCH CENTRE,ERS-525751-93291,"£28,381.35",Cochrane Projects - not including the UKCC,WC1V 6AZ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-525752-93282,"£43,228.05",HTA Commissioned Research,EX2 5DW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,READING UNIVERSITY OF,ERS-525753-93292,"£223,667.00",PROJECTS,RG6 6AH,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,ROYAL FREE LONDON NHS FOUNDATION TRUST,ERS-525754-93281,"£276,458.00",Programme Grants for NHS Trusts,NW3 1QG,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-525755-93286,"£42,434.10",HTA Commissioned Research,NE7 7DN,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,26/08/2014,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,ERS-525756-93296,"£125,147.00",Programme Grants for NHS Trusts,B13 8JL,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41877,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,ERS-525757-93288,138771,Programme Grants for NHS Trusts,BS1 2NP,,Programme,NHS,,,,,,,,,,,,,,,,
