Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Millais School,Teaching Schools Grant,39500.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Monteney Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Moredon Primary School,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Moredon Primary School,Teaching Schools Grant,31500.00
Department for Education,National College for School Leadership,27/02/2012,Irrecoverable Input VAT,Leadership Development,Nord Anglia Education Ltd,114797,31276.60
Department for Education,National College for School Leadership,27/02/2012,Programme Costs,Leadership Development,Nord Anglia Education Ltd,114797,156383.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,North Beckton Primary School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Northampton School for Boys,NLE Deployment Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Irrecoverable Input VAT,Business Services,Nottingham Uni,114545,5656.56
Department for Education,National College for School Leadership,08/02/2012,Building Running Costs,Business Services,Nottingham Uni,114545,28282.76
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Nower Hill High Sch,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Oldway Primary School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Parbold Douglas CE Primary School,NLE Deployment Grant,25000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Parkinson Lane Community Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Penair School,Teaching Schools Grant,36250.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Pool Business and Enterprise College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Portswood Primary Sch,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Prudhoe West First School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Queen Elizabeth School,NLE Deployment Grant,30000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Queen Elizabeth School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Ringwood School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Ripley St Thomas Church of England High School,Teaching Schools Grant,8550.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Ripley St Thomas Church of England High School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Roger Ascham Primary School,Teaching Schools Grant,38900.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Rush Common School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Ryders Hayes Community School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Sacred Heart High School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Saltford CofE Primary School,Teaching Schools Grant,39800.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Sandgate Primary School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,03/02/2012,Irrecoverable Input VAT,Leadership Development,Serco Learning Solutions,114438,7797.60
Department for Education,National College for School Leadership,03/02/2012,Programme Costs,Leadership Development,Serco Learning Solutions,114438,38988.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Sharnbrook Upper School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Sheldon School,Teaching Schools Grant,79800.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Sir John Moore Church of England Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Sir Joseph Williamsons Mathematical School,NLE Deployment Fund Grant,50000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Sir Joseph Williamsons Mathematical School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,South Farnham Community Junior school,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Southfields Community College,Teaching Schools Grant,4275.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Southfields Community College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,St Ambrose Barlow RC High School,NLE Deployment Grant,30000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,St Bedes Comprehensive School,Teaching Schools Grant,28250.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,St John Bosco Arts College,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,St Margarets,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,St Mary &St Paul's CE Primary,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,St Marys Ce Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,St Marys RC First School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,St Michaels Church of England Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,St Patricks Catholic Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,St Patricks RC High School and Arts College,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,St Patricks RC High School and Arts College,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,St Pauls Catholic School,NLE Deployment Grant,30000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,St Peters RC High School,NLE Deployment Grant,30000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,St Thomas More Catholic School,Teaching Schools Grant,40500.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,St Werburghs,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Summerlea Community Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,27/02/2012,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),114784,39583.33
Department for Education,National College for School Leadership,27/02/2012,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),114785,71162.57
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,The bishop Bell CofE School,Teaching Schools Grant,35000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,The Bishops Stortford High School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,The Dorothy Goodman School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,The Hayesbrook School,Teaching Schools Grant,49500.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,The Marches School and Technology College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,The Mead Community Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,The Oaks Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,The Orchard School,Teaching Schools Grant,39900.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,The Sixth Form College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,The Wroxham School,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,The Wroxham School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Toot Hill School,Teaching Schools Grant,27750.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Tudor Grange Academy Solihull,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Tuxford School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Tuxford School,Teaching Schools Grant,39850.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Vicarage Park CofE Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Waldegrave School for Girls,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Wellington College,Teaching Schools Grant,38200.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,"West Kirby Residential School, West Kirby",NLE Deployment Grant,25000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,West Raynham CE Primary Sch,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Whitley Bay High School,Teaching Schools Grant,38000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Wickersley School and Sports College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,"Wildern School, Southampton",Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Wood Green High Sch Cge of Sport,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Woodlands Community Primary School,NLE Deployment Fund Grant,25000.00
