Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,23/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BEZIRKSREGIERUNG DUESSELDORF,,5000125443,Works - estate management,"Ł310,693.17"
Ministry of Defence,Ministry of Defence,26/03/2015,"Public relations, including marketing and advertising",Navy Command,DENTSU AEGIS UK LIMITED,NW1 3BF,450033,Public relations services including items such as sales marketing and advertising,"Ł308,857.94"
Ministry of Defence,Ministry of Defence,04/03/2015,Fuel for military use,Land Forces,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,441394,Cost of ground diesel fuel consumed,"Ł307,317.49"
Ministry of Defence,Ministry of Defence,30/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SERCO LIMITED,RG27 9UY,452524,Estate + facilities management services - accommodation inventory + service,"Ł306,798.59"
Ministry of Defence,Ministry of Defence,03/03/2015,IT and communication services,Air Command,JEPPESEN U.K. LIMITED,RH10 9AD,441210,Information technology services,"Ł303,674.64"
Ministry of Defence,Ministry of Defence,12/03/2015,Grants to NDPBs,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,444425,Grant in aid to the council of reserve forces and cadet associations,"Ł303,177.00"
Ministry of Defence,Ministry of Defence,23/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,E.ON ENERGIE DEUTSCHLAND GMBH,,5000125453,Utilities consumed - gas,"Ł302,698.38"
Ministry of Defence,Ministry of Defence,23/03/2015,"Adminstration, claims, compensation and awards",HO+CS,QVSR,E14 6DF,448630,Cost of claims/compensation and related expenses against MOD,"Ł300,000.00"
Ministry of Defence,Ministry of Defence,12/03/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES LIMITED,B75 7RL,444437,Fiscal asset under construction - capital in year addition,"Ł300,000.00"
Ministry of Defence,Ministry of Defence,09/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,GU11 2PP,443411,Estate + facilities management services - accommodation inventory + service,"Ł298,330.15"
Ministry of Defence,Ministry of Defence,09/03/2015,Spend on Inventory - General,Defence Equipment + Support,HAIX SCHUHE PRODUKTIONS UND VERTRIEBS GMBH,,3000012053,Spend on Inventory - General,"Ł298,066.25"
Ministry of Defence,Ministry of Defence,18/03/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV1 4HY,446720,Fiscal asset under construction - capital in year addition,"Ł297,871.79"
Ministry of Defence,Ministry of Defence,02/03/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,BANNOCKBURN HOMES LIMITED,EH2 1DF,440538,Property dwellings private finance initiative - service concession arrangement service charge,"Ł297,242.69"
Ministry of Defence,Ministry of Defence,17/03/2015,IT and communication services,Defence Equipment + Support,ATOS IT SERVICES UK LIMITED,WV10 6UH,446130,Information technology services,"Ł296,346.00"
Ministry of Defence,Ministry of Defence,12/03/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,444551,Fiscal asset under construction - capital in year addition,"Ł295,240.67"
Ministry of Defence,Ministry of Defence,17/03/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,TOUCHSTONE CORPORATE PROPERTY SERVICES LIMITED,BA2 2AF,446585,Rent land - non civil estate property + married quarter property,"Ł295,050.00"
Ministry of Defence,Ministry of Defence,25/03/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,URS INFRASTRUCTURE & ENVIRONMENT UK LIMITED,RG21 7PP,449828,Fiscal asset under construction - capital in year addition,"Ł294,730.94"
Ministry of Defence,Ministry of Defence,06/03/2015,Research and development,Defence Equipment + Support,NATO COMMUNICATIONS AND INFORMATION AGENCY,,5000124918,Research and development at the pre main gate stage of a project,"Ł293,838.24"
Ministry of Defence,Ministry of Defence,03/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,STADTWERKE BOEHMETAL GMBH,,5000124729,Utilities consumed - gas,"Ł293,320.24"
Ministry of Defence,Ministry of Defence,05/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,AIRBUS HELICOPTERS,,5000124858,Equipment support project costs,"Ł292,805.88"
Ministry of Defence,Ministry of Defence,02/03/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,AMEC FOSTER WHEELER ENVIRONMENT & INFRASTRUCTURE UK LIMITED,NE3 3AF,440495,Fees for professional services excluding legal fees,"Ł291,419.93"
Ministry of Defence,Ministry of Defence,11/03/2015,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,TF1 6QW,185185,Intangible single use military equipment asset  - in year capital addition,"Ł289,277.10"
Ministry of Defence,Ministry of Defence,18/03/2015,Design services and minor equipment purchases,JFC,VAN WIJNGAARDEN MARINE SERVICES B V,,3000012121,Equipment support non-project costs,"Ł289,213.22"
Ministry of Defence,National Army Museum  GIA,18/03/2015,Base Build,Operations,GILBERT ASH LTD,BT12 6HR,9671,Nam Site Reconstruction-Interim Cert 2,"Ł288,568.24"
Ministry of Defence,Ministry of Defence,23/03/2015,"Adminstration, claims, compensation and awards",HO+CS,EX-SERVICES MENTAL WELFARE SOCIETY,KT22 0BX,448400,Cost of claims/compensation and related expenses against MOD,"Ł287,634.00"
Ministry of Defence,Ministry of Defence,10/03/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV1 4HY,443602,Fiscal asset under construction - capital in year addition,"Ł286,715.95"
Ministry of Defence,Ministry of Defence,13/03/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,444973,Movement of service personnel,"Ł283,922.88"
Ministry of Defence,Ministry of Defence,17/03/2015,Payment of utilities,Navy Command,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,446205,Utilities consumed - gas,"Ł283,654.64"
Ministry of Defence,Ministry of Defence,30/03/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS MARINE LTD,LA14 1AF,451984,Single use military equipment asset under construction - capital in year addition,"Ł280,370.40"
Ministry of Defence,Ministry of Defence,20/03/2015,Fees for professional services,Land Forces,LGC LTD,TW11 0LY,447976,Fees for professional services excluding legal fees,"Ł279,514.88"
Ministry of Defence,Ministry of Defence,23/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,RMADA LIMITED,SN10 1PY,448643,Equipment support non-project costs,"Ł278,546.44"
Ministry of Defence,Ministry of Defence,24/03/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,BANNOCKBURN HOMES LIMITED,EH2 1DF,448827,Property dwellings private finance initiative - service concession arrangement service charge,"Ł278,033.84"
Ministry of Defence,Ministry of Defence,20/03/2015,Medical treatment & stores and welfare services,JFC,NHS WILTSHIRE CLINICAL COMMISSIONING GROUP,SN10 5EQ,448032,Medical health services,"Ł276,972.00"
Ministry of Defence,Ministry of Defence,19/03/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ELIOR UK PLC,SK11 6ET,447303,Cost of food services,"Ł276,708.01"
Ministry of Defence,Ministry of Defence,30/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,SALT SEPARATION SERVICES LIMITED,OL11 1AP,452511,Equipment support project costs,"Ł276,443.81"
Ministry of Defence,Ministry of Defence,18/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,SALT SEPARATION SERVICES LIMITED,OL11 1AP,447019,Equipment support project costs,"Ł275,630.75"
Ministry of Defence,Ministry of Defence,12/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,SVO VERTRIEB GMBH,,5000125089,Utilities consumed - gas,"Ł275,154.77"
Ministry of Defence,Ministry of Defence,27/03/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,450547,Single use military equipment asset under construction - capital in year addition,"Ł275,127.60"
Ministry of Defence,Ministry of Defence,12/03/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,TYNE SLIPWAY & ENGINEERING CO LIMITED,NE33 5PL,444927,Fiscal asset under construction - capital in year addition,"Ł273,665.27"
Ministry of Defence,Ministry of Defence,04/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,441495,Equipment support project costs,"Ł272,736.55"
Ministry of Defence,Ministry of Defence,13/03/2015,Design services and minor equipment purchases,Land Forces,BSA GUNS (UK) LTD,B11 2PP,445052,Equipment support non-project costs,"Ł272,393.55"
