Department,Entity,Date,Transaction Number,GBP Amount,Supplier ,Account Description
FCO,FCO,08-May-13,4292180,37.91,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,418.85,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,558.57,BRITISH TELECOM  PLC,Sundries
FCO,FCO,08-May-13,4292180,164.18,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,702.3,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,222.21,BRITISH TELECOM  PLC,Mobile Telephone Equipment
FCO,FCO,08-May-13,4292180,105.19,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,48.89,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,32.84,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,7.58,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,49.03,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,58.3,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"1,370.32",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,243.31,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,313.54,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,78.61,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,"2,401.17",BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,188.89,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,52.58,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,144.73,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,12.69,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,111.71,BRITISH TELECOM  PLC,Sundries
FCO,FCO,08-May-13,4292180,"3,213.27",BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"2,050.06",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,138,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"3,803.36",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,245.67,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,478.54,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,642.65,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,760.67,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,410.01,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,49.13,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,27.6,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,0.01,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,-525.95,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,525.95,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,-105.19,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,105.19,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"-79,432.43",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,-713.22,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,-544.64,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,"-17,705.69",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,-478.54,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,"4,000.00",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,"94,874.52",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,-37.91,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,-128.67,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,-226.52,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,-78.61,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,393.1,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,78.62,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,"-12,005.83",BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"12,005.83",BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"-2,401.17",BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"2,401.17",BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292251,"564,681.00",DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08-May-13,4294405,"59,545.74",GOVERNMENT PROCUREMENT SERVICE,Wdhs/Wsds
FCO,FCO,08-May-13,4294406,"160,577.60",GOVERNMENT PROCUREMENT SERVICE,Wdhs/Wsds
FCO,FCO,08-May-13,4294409,"64,865.39",GOVERNMENT PROCUREMENT SERVICE,Wdhs/Wsds
FCO,FCO,08-May-13,4293585,"4,984.31",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08-May-13,4293585,"28,081.58",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08-May-13,4293585,"12,777.42",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,08-May-13,4292777,"36,705.28",NATIONAL AUDIT OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08-May-13,4297984,180.31,SOCIAL INSURANCE ORGANISATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08-May-13,4296799,"42,844.70",UK VISA APPLICATION CENTRE-SHANGHAI,Commercial Partners (Visa)
FCO,FCO,08-May-13,4296808,"41,798.11",UK VISA APPLICATION CENTRE-SHANGHAI,Commercial Partners (Visa)
FCO,FCO,08-May-13,4296813,"41,370.84",UK VISA APPLICATION CENTRE-SHANGHAI,Commercial Partners (Visa)
FCO,FCO,08-May-13,4296816,"39,557.76",UK VISA APPLICATION CENTRE-SHANGHAI,Commercial Partners (Visa)
FCO,FCO,08-May-13,4296871,"25,245.89",IA MEMO RU,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08-May-13,4279066,434.94,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,"34,843.23",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,"1,452.76",ISS FACILITY SERVICES LTD FCO OP,Reception Services
FCO,FCO,08-May-13,4279066,672.15,ISS FACILITY SERVICES LTD FCO OP,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,08-May-13,4279066,"12,267.61",ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services
FCO,FCO,08-May-13,4279066,"7,502.05",ISS FACILITY SERVICES LTD FCO OP,Cleaning & Waste
FCO,FCO,08-May-13,4279066,"2,014.06",ISS FACILITY SERVICES LTD FCO OP,Office Support Services
FCO,FCO,08-May-13,4279066,"2,070.87",ISS FACILITY SERVICES LTD FCO OP,Repair and maintenance of furniture and fittings
FCO,FCO,08-May-13,4279066,"2,342.00",ISS FACILITY SERVICES LTD FCO OP,Mail & Porterage Services
FCO,FCO,08-May-13,4279066,393.51,ISS FACILITY SERVICES LTD FCO OP,Grounds Maintenance
FCO,FCO,08-May-13,4279066,"3,646.13",ISS FACILITY SERVICES LTD FCO OP,Building Fabric Services
FCO,FCO,08-May-13,4279066,"50,363.61",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,"19,357.62",ISS FACILITY SERVICES LTD FCO OP,Building Mechanical and Engineering Services
FCO,FCO,08-May-13,4279066,370.81,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,"1,304.95",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,843.91,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,"1,871.02",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,500.13,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,"1,957.27",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279066,"9,862.20",ISS FACILITY SERVICES LTD FCO OP,Unscheduled repairs to building infrastructure
FCO,FCO,08-May-13,4279066,"2,364.99",ISS FACILITY SERVICES LTD FCO OP,Residential Property Services
FCO,FCO,08-May-13,4279067,"1,402.84",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,375.45,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,750.9,ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,08-May-13,4279067,283.7,ISS FACILITY SERVICES LTD FCO OP,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,08-May-13,4279067,"40,980.99",ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services
FCO,FCO,08-May-13,4279067,"11,330.62",ISS FACILITY SERVICES LTD FCO OP,Cleaning & Waste
FCO,FCO,08-May-13,4279067,"2,986.08",ISS FACILITY SERVICES LTD FCO OP,Office Support Services
