Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,Core Defra,17/06/2013,Other Current Payments E,Policy Delivery DG,Food Standards Agency,1702113,"£54,797.30",Charges for work relating to the supervision of Cleansing and Disinfection of Livestock vehicles - June 2013,YO1 2YX,,FUNDING,MHS00946,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-519639-44657,"£61,277.75","Antigen mining, DIVA (Differentiation of Infected and Vaccinated Animals) assays and other diagnostic approaches - June 2013",KT15 3NB,SME,Exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Payments to Agencies GB,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000025272,"£2,052,995.85","Veterinary and Science Policy Advice (VSPA) salaries, non pay, IT overheads, Radar services for the period November 2012-March 2013",YO1 7PX,SME,Exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-519580-44640,"£45,564.08",Studies of natural and experimental Transmissible Spongiform Encephalopathy (TSE) Molecular Sciences - June 2013,KT15 3NB,SME,exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Evidence Non R&D,Policy Delivery DG,C E F A S,8002949,"£954,420.96",High Level Agreement Aquatics Research and Development and advice - April-June 2013,NR33 0HT,SME,FUNDING,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,B B S R C,ERS-519657-44492,"£25,067.00",Emerging and Major Infectious Diseases of Livestock integrated systems approach for preventing uterine disease in dairy cattle - June 2013 payment,SN2 1UH,,exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-519688-44668,"£50,423.00",2013-14 Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - June 2013,KT15 3NB,SME,exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-519577-44638,"£51,156.41",Maintenance of a Transmissible Spongiform Encephalopathy (TSE)-free sheep flock after importation from New Zealand -  June 13,KT15 3NB,SME,exempt,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-519626-44693,"£31,329.91",Understanding and predicting the spread of vector- and aerosol-borne livestock pathogens in the United Kingdom - June 2013,GU24 0NF,,Exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Publicity Campaigns,"Strategy, Evidence and Customers DG",Cabinet Office RM Shared Services,250007296,"£54,000.00",Recovery of Costs for Media Monitoring Services - 2013/14,CF14 3UW,,IGS,00000000,Expense,,
