Department family,Entity,Date,Expense type,Expense area,Client Code,Transaction number,Amount,VAT registration number
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,22.03,
Defra,JNCC,13/10/2010,CAR PARKING,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,16.3,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,67.98,
Defra,JNCC,13/10/2010,OTHER LIBRARY COSTS                                         ,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,13.15,
Defra,JNCC,13/10/2010,OFFICE FURNITURE PURCHASE                                   ,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,138.36,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Mapping & Ecosystem Assessment,BARCLAYCARD BUSINESS,Barclaycard September 2010,173.06,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,29,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,102.2,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,173.98,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,25.9,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,25.9,
