ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,11-Mar-11,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1523178,"Ł28,346.08"
HMCS,30-Mar-11,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1546798,"Ł26,600.97"
HMCS,04-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1514880,"Ł34,713.60"
HMCS,09-Mar-11,AV322-CP Change Management SUPS,223560-DISC IT Application Costs,LOGICA UK LTD,1520327,"Ł83,110.80"
HMCS,09-Mar-11,AA499-HMCS Change Programme,223560-DISC IT Application Costs,LOGICA UK LTD,1520327,"Ł135,073.20"
HMCS,09-Mar-11,AV322-CP Change Management SUPS,223560-DISC IT Application Costs,LOGICA UK LTD,1520327,"Ł285,626.40"
HMCS,23-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703,"Ł27,679.20"
HMCS,23-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703,"Ł35,751.77"
HMCS,23-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223560-DISC IT Application Costs,LOGICA UK LTD,1537703,"Ł47,019.60"
HMCS,30-Mar-11,AV332-CBMP Civil Bus Mod Programme,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642,"Ł30,240.00"
HMCS,30-Mar-11,AA499-HMCS Change Programme,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642,"Ł52,038.58"
HMCS,30-Mar-11,FZ999-Midlands Region,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1546642,"Ł35,310.00"
HMCS,31-Mar-11,BZ999-London Region,223561-DISC IT Infrastructure Costs,ATOS ORIGIN IT SERVICES UK LTD,1548225,"Ł35,038.63"
HMCS,02-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1512025,"Ł75,939.20"
HMCS,23-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1537703,"Ł71,223.31"
HMCS,23-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1537703,"Ł135,272.66"
HMCS,30-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,SOFTWARE RELIABILITY INSPECTORATE LTD,1547917,"Ł120,000.00"
HMCS,30-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,SOFTWARE RELIABILITY INSPECTORATE LTD,1547917,"Ł120,000.00"
HMCS,31-Mar-11,AB999-Court Improvement Directorate,223566-IT Running Costs - CJG,LOGICA UK LTD,1548493,"Ł74,082.67"
HMCS,09-Mar-11,GZ999-North West Region,226106-Jurors Catering Costs,EUREST SERVICES,1520051,"Ł34,939.19"
HMCS,18-Mar-11,HZ999-North East and Yorkshire,226106-Jurors Catering Costs,EUREST SERVICES,1531630,"Ł25,981.63"
HMCS,23-Mar-11,FZ999-Midlands Region,226106-Jurors Catering Costs,EUREST SERVICES,1537413,"Ł25,126.82"
HMCS,16-Mar-11,DZ999-South West Region,226202-Court Reporters Loggers,MERRILL LEGAL SOLUTIONS,1529213,"Ł45,441.73"
HMCS,23-Mar-11,BZ999-London Region,226202-Court Reporters Loggers,SELLERS LEGAL SERVICES LTD,1538041,"Ł49,755.80"
HMCS,31-Mar-11,BZ999-London Region,226202-Court Reporters Loggers,MERRILL LEGAL SOLUTIONS,1548520,"Ł31,177.96"
HMCS,09-Mar-11,GZ999-North West Region,226203-Court Reporters Cap Writers,CATER WALSH REPORTING LTD,331129,"Ł75,859.62"
HMCS,09-Mar-11,BZ999-London Region,226203-Court Reporters Cap Writers,MERRILL LEGAL SOLUTIONS,1520399,"Ł26,014.89"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS BSB#DX 37905,328750,"Ł28,063.23"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS IRWIN MITCHELL#DX 14368,328946,"Ł30,049.73"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS HOGAN LOVELLS INTERNATIONAL LLP#EC1A 2FG,328929,"Ł508,281.12"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,CRICK & MARDLING#DX 23402,328612,"Ł51,134.67"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS KIRKLAND & ELLIS INTERNATIONAL LLP#EC3A 8AF,328986,"Ł301,659.89"
HMCS,07-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS EDWARD FAIL BRADSHAW &  WATERSON#DX 300701,328842,"Ł54,829.05"
HMCS,21-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS PETERS & PETERS#DX 407,1532365,"Ł502,305.13"
HMCS,21-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS PETERS & PETERS#DX 407,1532365,"Ł848,128.65"
HMCS,21-Mar-11,AU999-National Taxing Teams,226306-Defence Costs Solicitor,MESSRS MIKE NORTHERN LEGAL#DA11 0LH,340761,"Ł79,150.50"
