Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,SOUTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,3000048205,38812,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS NE332RL,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,CONWY COUNTY BOROUGH COUNCIL,3000048144,39795,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS LL328DU,Large,Grants
Cabinet Office,Crown Commercial Service,29/04/2014,Whitehall heating systems management,Whitehall Standby Dist Systems,Cofely,PINVP2P 2777,40700.21,Whitehall heating systems management,HP12 3TA,Large,Programme 
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,SOUTH LAKELAND DISTRICT COUNCIL,3000048172,42687,Payment to local authorities to fund the implementation of Individual Electoral Registration ,LA94DQ,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WATFORD BOROUGH COUNCIL,3000048134,43915,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS WD173EX,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,NEATH PORT TALBOT COUNTY BOROUGH COUNCIL,3000048146,45283,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS SA131PJ,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WREXHAM COUNTY BOROUGH COUNCIL,3000048128,45693,Payment to local authorities to fund the implementation of Individual Electoral Registration ,LL11AR,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,REDCAR & CLEVELAND BOROUGH  COUNCIL,3000048157,47009,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS TS101RT,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,FLINTSHIRE COUNTY COUNCIL,3000048198,47650,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS CH76NR,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BRIDGEND COUNTY BOROUGH COUNCIL,3000048106,50221,Payment to local authorities fund the implementation of Individual Electoral Registration ,CF314WB,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,THURROCK BOROUGH COUNCIL,3000048203,50770,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS RM176SL,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,LONDON BOROUGH OF HAVERING,3000048226,51944,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS RM13BD,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BURY METROPOLITAN BOROUGH COUNCIL,3000048218,52318,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS BL90SW,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,THE VALE OF GLAMORGAN COUNCIL,3000048149,52910,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS CF634RU,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,NORTH TYNESIDE COUNCIL,3000048167,55194,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS NE270BY,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BLACKPOOL BOROUGH COUNCIL,3000048129,60954,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS FY11GB,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,TAMESIDE METROPOLITAN BOROUGH COUNCIL,3000048228,61819,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS OL66DL,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,PEMBROKESHIRE COUNTY COUNCIL,3000048115,62396,Payment to local authorities to fund the implementation of Individual Electoral Registration ,SA611TP,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,ANGLESEY ISLE OF COUNTY COUNCIL,3000048196,62756,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS LL778TW,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,PRESTON CITY COUNCIL,3000048126,64192,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS PR12RL,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,CARMARTHENSHIRE COUNTY COUNCIL,3000048197,64322,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS SA311LE,Large,Grants
Cabinet Office,Crown Commercial Service,29/04/2014,Whitehall heating systems management,Whitehall District Heating Systems,Cofely,PINVP2P 2776,65230.11,Whitehall heating systems management,HP12 3TA,Large,Programme 
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,MIDDLESBROUGH BOROUGH COUNCIL,3000048158,66646,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS TS19FT,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,LANCASTER CITY COUNCIL,3000048223,67457,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS LA11PJ,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BEXLEY COUNCIL,3000048102,67941,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS DA67LB,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,LONDON BOROUGH OF BARKING & DAGENHAM,3000048107,68076,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS RM107BN,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,GATESHEAD METROPOLITAN BOROUGH COUNCIL,3000048183,74470,Payment to local authorities to fund the implementation of Individual Electoral Registration ,NE81HH,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,CEREDIGION COUNTY COUNCIL,3000048165,74727,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS SA460PA,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,POWYS COUNTY COUNCIL,3000048104,77028,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS LD15LG,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,CAERPHILLY COUNTY BOROUGH COUNCIL,3000048199,78175,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS CF827PG,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WIGAN METROPOLITAN BOROUGH COUNCIL,3000048191,78682,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS WN11YN,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,NEWPORT CITY COUNCIL,3000048174,81060,Payment to local authorities to fund the implementation of Individual Electoral Registration ,NP204UR,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BLACKBURN WITH DARWEN BOROUGH COUNCIL,3000048095,82514,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS BB17DY,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,OLDHAM MBC,3000048171,83970,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS OL11UL,Large,Grants
