Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
20/04/2016,6397437,40755,LAW ENFORCEMENT INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
25/04/2016,6447580,40737.84,COMPUTACENTER UK LTD,Specialist Contractors
25/04/2016,6441469,40349,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
07/04/2016,6247427,40283.06,CADG ENGINEERING PTE.LTD,Assets Under Construction (Oracle PA Control Account)
05/04/2016,6222630,40098.95,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
07/04/2016,6246658,40011.87,CLEVER SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
12/04/2016,6289533,40011.61,CAMERA DE COMERT BRITANICA ROMANA,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
19/04/2016,6390467,39998.84,TSUNAMI AXIS LTD,Repair and maintenance of furniture and fittings
19/04/2016,6386461,39947.98,CORPORACION VISIONARI,Programme Spend (Oracle Projects Control Account)
19/04/2016,6377481,39697.77,CENTRE FOR POLICY ALTERNATIVE,Programme Spend (Oracle Projects Control Account)
27/04/2016,6468464,39661.18,BLISSIMI REAL ESTATE,Recharge Suspense Account (Oracle PA Control Account)
04/04/2016,6213653,39649.42,ENGINE UK LLP,Public Relations
25/04/2016,6447487,39548.75,KELLOGG BROWN & ROOT LTD,UK Guarding Contracts Overseas
07/04/2016,6244918,39536.25,CHP CASHBOX TOP UP,Interbank Transfers/Withdrawals
06/04/2016,6240521,39500,INFORMATION RISK MANAGEMENT LTD,Misc Security Payments
25/04/2016,6445607,39295.82,DEUTSCHER LEVANTE VERLAG GMBH,Programme Spend (Oracle Projects Control Account)
26/04/2016,6456656,39216,INTERSERVE FM LTD,Construction Project more than £10k
28/04/2016,6482500,39121,SEARCH FOR COMMON GROUND,Programme Spend (Oracle Projects Control Account)
26/04/2016,6456605,39102.42,KPMG ADVISORY CHINA LIMITED,Research Budget
27/04/2016,6472557,39034,CITY OF WESTMINSTER,Rates Taxes Non-Residential
22/04/2016,6426565,39027.46,CAPTAIN ANDY'S FISHING SUPPLY LTD,Programme Spend (Oracle Projects Control Account)
04/04/2016,6220501,38924.7,COGENT ELECTRICAL SERVICES LTD FORM WES,Construction Project more than £10k
04/04/2016,6213642,38728.2,ENGINE UK LLP,Public Relations
04/04/2016,6213645,38420,ENGINE UK LLP,General Information Services
04/04/2016,6213536,38253.53,THE GALLERIA INVESTMENTS LLC,Recharge Suspense Account (Oracle PA Control Account)
04/04/2016,6220519,37831.52,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
20/04/2016,6397580,37713.54,INTERNATIONAL PEACE COOPERATION CENTER,Programme Spend (Oracle Projects Control Account)
04/04/2016,6214531,37708.54,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
28/04/2016,6491497,37655,ENGIE LIMITED,Construction Project more than £10k
01/04/2016,6098657,37583.1,FCO SERVICES,Multiple Accounts
11/04/2016,6283634,37583.1,FCO SERVICES,Multiple Accounts
07/04/2016,6250431,36900,ARTIFAX SOFTWARE LIMITED,Information Systems Under £3000 (non-capitalised)
01/04/2016,6210474,36895.12,BEYOND BORDERS CONSULTING,Programme Spend (Oracle Projects Control Account)
05/04/2016,6222977,36783.78,CHARITY COMMISSION ENGLAND AND WALES,Programme Spend (Oracle Projects Control Account)
28/04/2016,6491494,36615,ENGIE LIMITED,Construction Project more than £10k
19/04/2016,6375437,36600,KIDS CREATING PEACE,Programme Spend (Oracle Projects Control Account)
29/04/2016,6500624,36337.21,PNP IMPREST,Interbank Transfers/Withdrawals
27/04/2016,6472569,36265.62,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
12/04/2016,6293683,36182.91,DX NETWORK SERVICES,Postal Services
14/04/2016,6335432,35382.06,NOYES AIR CONDITIONING CONTRACTING INC,Construction Project more than £10k
27/04/2016,6471497,35361.8,PICKFORDS MOVE MANAGEMENT LTD,Personal Car Freight
26/04/2016,6458474,35284.04,SEGUROS CARACAS DE LIBERTY MUTUAL,Multiple Accounts
18/04/2016,6363536,35271.5,COMPUTACENTER UK LTD,Information Systems Maintenance
26/04/2016,6456679,35168.27,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
18/04/2016,6356519,34999.64,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
27/04/2016,6469509,34711.01,BARBADOS REVENUE AUTHORITY,Le Staff Pay
26/04/2016,6456529,34538.29,A T AND T MOBILITY,Multiple Accounts
19/04/2016,6390434,34450.82,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
25/04/2016,6434463,34410.2,UMA GOYAL,Recharge Suspense Account (Oracle PA Control Account)
15/04/2016,6341703,34363.55,JLR ITALIA SPA,Assets Under Construction (Oracle PA Control Account)
22/04/2016,6426536,34164.56,LONDON ENERGY,Electricity Non-Residential
11/04/2016,6276459,34052.31,WASAFIRI CONSULTING,Programme Spend (Oracle Projects Control Account)
26/04/2016,6457486,33949.21,OTIS ELEVATOR COMPANY,Property Maintenance Overseas Non Residential
07/04/2016,6248479,33776.3,EMBASSY OF THE UNITED STATES OF AMERICA,Post - Air Travel
07/04/2016,6256481,33762.9,COGENT ELECTRICAL SERVICES LTD FORM WES,Construction Project more than £10k
26/04/2016,6456677,33741.47,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
