Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-522431-90002,"£66,976.00",HTA Researcher Lead,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-522431-90002,"£20,365.00",Research for Patient Benefit,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-522431-90002,£966.00,Research for Patient Benefit,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-522431-90002,"£9,353.00",Research for Patient Benefit,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-522432-89992,"£58,461.00",Programme Grants for NHS Trusts,SW10 9NH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,DERBY HOSPITALS NHS FOUNDATION TRUST,ERS-522436-89998,"£68,023.83",HTA Researcher Lead,DE1 2QS,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,DEVON PARTNERSHIP NHS TRUST,ERS-522437-90007,"£105,901.00",Programme Grants for NHS Trusts,EX2 5DW,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,DEVON PARTNERSHIP NHS TRUST,ERS-522437-90007,"£20,638.00",Research for Patient Benefit,EX2 5DW,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,EAST & NORTH HERTFORDSHIRE NHS TRUST,ERS-522440-90004,"£28,048.00",Research for Patient Benefit,BS1 2NP,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ERS-522442-90001,"£27,408.16",HS & DR,CT1 3NG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ERS-522442-90001,"£85,281.58",HTA Researcher Lead,CT1 3NG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,ERS-522444-90005,"£66,275.00",Programme Grants for NHS Trusts,E1 1RD,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,ERS-522445-90008,"£105,586.00",Programme Grants for NHS Trusts,NG8 3LL,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-522457-89990,"£48,740.00",Programme Grants for NHS Trusts,WC1N 3JH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-522457-89990,"£26,502.50",HS & DR,WC1N 3JH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ERS-522457-89990,"£74,303.95",HS & DR,WC1N 3JH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-522458-90015,"£107,872.00",HTA Commissioned Research,M25 3BL,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-522458-90015,"£3,378.00",Research for Patient Benefit,M25 3BL,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522459-89987,"£90,930.00",Programme Grants for NHS Trusts,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522459-89987,"£24,534.00",Research for Patient Benefit,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522459-89987,"£8,333.00",Experimental Cancer Medicine Centres,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522459-89987,"£28,253.00",Research for Patient Benefit,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522459-89987,"£22,036.00",Research for Patient Benefit,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522459-89987,"£82,525.72",HTA Commissioned Research,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-522460-89993,"£71,930.34",HTA Commissioned Research,B9 5TA,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-522460-89993,"£24,695.46",HS & DR,B9 5TA,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,ERS-522460-89993,"£16,002.78",HS & DR,B9 5TA,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,ERS-522462-90006,"£31,099.00",Research for Patient Benefit,AL3 5TL,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,ERS-522462-90006,"£18,145.00",Research for Patient Benefit,AL3 5TL,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-522464-90003,"£110,606.00",Programme Grants for NHS Trusts,HU16 5JQ,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-522464-90003,"£52,329.51",EME - ( NETSCC ),HU16 5JQ,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-522466-90017,"£16,904.00",Research for Patient Benefit,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-522466-90017,"£8,333.00",Experimental Cancer Medicine Centres,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-522475-89988,"£88,604.00",Programme Grants for NHS Trusts,SE5 9RS,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-522475-89988,"£100,390.00",Programme Grants for NHS Trusts,SE5 9RS,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-522482-89985,"£37,906.00",HTA Commissioned Research,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,ERS-522482-89985,"£6,161.00",Research for Patient Benefit,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-522483-89994,"£91,815.00",Programme Grants for NHS Trusts,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-522483-89994,"£8,483.00",Experimental Cancer Medicine Centres,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-522483-89994,"£109,503.00",Programme Grants for NHS Trusts,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-522483-89994,"£31,263.75",HS & DR,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-522483-89994,"£100,745.00",Programme Grants for NHS Trusts,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-522483-89994,"£32,667.00",Research for Patient Benefit,LS9 7TF,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-522493-90056,"£20,555.00",Research for Patient Benefit,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-522493-90056,"£27,453.94",HS & DR,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-522493-90056,"£93,220.00",Programme Grants for NHS Trusts,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-522493-90056,"£18,734.00",Research for Patient Benefit,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-522493-90056,"£9,378.00",Research for Patient Benefit,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-522493-90056,"£1,415.00",Programme Grants for NHS Trusts,M21 9UN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MID YORKSHIRE HOSPITALS NHS TRUST,ERS-522497-90009,"£33,493.00",Research for Patient Benefit,WF1 4TU,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-522498-89991,"£79,307.00",HTA Researcher Lead,EC1V 2PD,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-522498-89991,"£58,446.29",EME - ( NETSCC ),EC1V 2PD,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,THE IPSWICH HOSPITAL NHS TRUST,IHT4000000846,"£102,230.00",Revenue; LSP NME  Ipswich Trust- F/Y 2013/14 STAF & LC Costs for Lorenzo Deployment,IP4 5PD,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,ATTENDA LTD,1028249,"£36,218.40",Revenue: Attenda Choices - Cisco Hardware maintenance to 31/12/14,TW18 4EX,,Programme,SME,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,ATTENDA LTD,1028526,"£71,700.00",Revenue Attenda Choices - Infrastucture management  monthly reccuring charges,TW18 4EX,,Programme,SME,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,BT GROUP PLC,355455PART PAYT,"£2,444,676.48",Revenue: LSP South 14/15,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,BT GROUP PLC,355456PART PAYT,"£853,012.80",Revenue: LSP South 14/15,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,BT GROUP PLC,356373,"£6,896,502.83",N3: 14/15,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,BT GROUP PLC,357610,"£2,452,960.41",Revenue: LSP South 14/15,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,BT GROUP PLC,357611,"£906,086.68",Revenue: LSP South 14/15,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201370062,"£772,541.65",Revenue: LSP NME CSC - F/Y 2014/15 Lorenzo Service Charge Revenue requirements (committed costs only),PR1 8UQ,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584161232,"£1,262,037.43",May 2014 IMS3 Open Service charges,WS11 0JA,,Admin,LARGE,
Department of Health,Department of Health,26/06/2014,Printing,DG: PHD,WILLIAMS LEA LTD,DH14050005,"£47,960.76",Reprinting of abortion notification HS4A forms.  ,W1F 8PR,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,INTENSIVE CARE NATIONAL AUDIT & RESEARCH CENTRE,ERS-522471-90041,£103.96,Cochrane Projects - not including the UKCC,WC1V 6AZ,,Programme,VCS,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,INTENSIVE CARE NATIONAL AUDIT & RESEARCH CENTRE,ERS-522471-90041,"£123,273.99",HS & DR,WC1V 6AZ,,Programme,VCS,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,INTENSIVE CARE NATIONAL AUDIT & RESEARCH CENTRE,ERS-522471-90041,"£47,853.63",HS & DR,WC1V 6AZ,,Programme,VCS,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,INTENSIVE CARE NATIONAL AUDIT & RESEARCH CENTRE,ERS-522471-90041,"£17,680.25",HTA Commissioned Research,WC1V 6AZ,,Programme,VCS,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,INTENSIVE CARE NATIONAL AUDIT & RESEARCH CENTRE,ERS-522471-90041,"£75,888.81",HTA Researcher Lead,WC1V 6AZ,,Programme,VCS,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LIVERPOOL JOHN MOORES UNIVERSITY,ERS-522487-90049,"£44,692.00",NIHR Public Health Research ( NETSCC ),L3 5UX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,LIVERPOOL JOHN MOORES UNIVERSITY,ERS-522487-90049,"£16,976.00",PROJECTS,L3 5UX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Service charge,DG: GOAD,BT GROUP PLC,FASTER PAYT26/6/14,"£28,298.72",,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,26/06/2014,Outsourcing Contract,DG: SCLGCP,LSE ENTERPRISE LTD,SIN141926,"£26,996.40",LSE Personal Social Services Research Unit (PSSRU) - Economic Modelling re Dementia,WC2A 2AE,,Admin,SME,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£3,166.31",HTA Researcher Lead,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£61,956.90",HTA Researcher Lead,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£71,664.75",HTA Commissioned Research,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£119,185.02",HTA Researcher Lead,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£83,938.20",HTA Commissioned Research,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£90,734.00",HTA Researcher Lead,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£31,218.14",HTA Commissioned Research,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£52,340.99",EME - ( NETSCC ),AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£18,314.96",HTA Researcher Lead,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£108,540.00",Reviews Infrastructure (Existing),AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,ERS-522404-90020,"£35,160.00",Cochrane Projects - not including the UKCC,AB24 3FX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BANGOR UNIVERSITY,ERS-522407-90053,"£29,938.20",HS & DR,LL57 2DG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BANGOR UNIVERSITY,ERS-522407-90053,"£98,958.69",HTA Researcher Lead,LL57 2DG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BANGOR UNIVERSITY,ERS-522407-90053,"£26,145.80",HTA Commissioned Research,LL57 2DG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BANGOR UNIVERSITY,ERS-522407-90053,"£46,758.33",HTA Commissioned Research,LL57 2DG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BANGOR UNIVERSITY,ERS-522407-90053,"£19,902.51",HS & DR,LL57 2DG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BANGOR UNIVERSITY,ERS-522407-90053,"£44,935.71",HS & DR,LL57 2DG,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BELFAST QUEENS UNIVERSITY OF,ERS-522409-90021,"£50,462.80",EME - ( NETSCC ),BT7 1NN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BELFAST QUEENS UNIVERSITY OF,ERS-522409-90021,"£37,200.00",NIHR Public Health Research ( NETSCC ),BT7 1NN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BELFAST QUEENS UNIVERSITY OF,ERS-522409-90021,"£32,040.00",PROJECTS,BT7 1NN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BELFAST QUEENS UNIVERSITY OF,ERS-522409-90021,"£65,325.00",HTA Researcher Lead,BT7 1NN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BELFAST QUEENS UNIVERSITY OF,ERS-522409-90021,"£22,556.16",NIHR Public Health Research ( NETSCC ),BT7 1NN,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRKBECK COLLEGE,ERS-522411-90022,"£105,873.10",NIHR Public Health Research ( NETSCC ),WC1E 7HX,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£37,497.00",NIHR Fellowships,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£11,658.25",Cochrane Projects - not including the UKCC,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£81,577.36",HTA Researcher Lead,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£107,900.92",HS & DR,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£263,783.50",Rus - Regional Design Service,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£10,813.00",Targeted Capacity Building,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£35,000.00",Invention for Innovation,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£34,448.96",HS & DR,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£90,097.45",Commissioned EME,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£25,887.60",HTA Commissioned Research,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£27,024.95",HS & DR,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£116,590.38",HTA Researcher Lead,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£89,450.30",EME - ( NETSCC ),B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£37,079.43",HTA Researcher Lead,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£40,198.29",HTA Commissioned Research,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£121,585.73",HTA Commissioned Research,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£19,441.35",HTA Researcher Lead,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BIRMINGHAM UNIVERSITY OF,ERS-522415-90023,"£441,570.00",Horizon Scanning,B15 2TT,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRADFORD UNIVERSITY OF,ERS-522418-90024,"£7,241.30",NIHR Public Health Research ( NETSCC ),BD7 1DP,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRADFORD UNIVERSITY OF,ERS-522418-90024,"£140,299.50",HTA Researcher Lead,BD7 1DP,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£24,334.59",HTA Researcher Lead,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£23,365.00",PROJECTS,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£38,430.87",HTA Researcher Lead,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£10,813.00",Targeted Capacity Building,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£25,854.93",NIHR Public Health Research ( NETSCC ),BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£74,571.59",NIHR Public Health Research ( NETSCC ),BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£18,791.10",HS & DR,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£35,746.53",HTA Commissioned Research,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£45,906.97",HTA Researcher Lead,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£11,938.00",Targeted Capacity Building,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£37,000.00",PROJECTS,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£47,655.00",HTA Researcher Lead,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£80,485.00",HTA Researcher Lead,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£21,988.00",Invention for Innovation,BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£94,143.00",NIHR Public Health Research ( NETSCC ),BS8 1TH,,Programme,PUBLIC,
Department of Health,Department of Health,26/06/2014,Research & development,DG: RDD,BRISTOL UNIVERSITY OF,ERS-522420-90025,"£42,432.00",Cochrane Projects - not including the UKCC,BS8 1TH,,Programme,PUBLIC,
