Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SANDWELL & WEST BIRMINGHAM HOSPTIALS NHS TRUST,ERS-522635-90132,"£17,819.00",Research for Patient Benefit,B18 7QH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ERS-522636-90088,"£22,617.68",HTA Commissioned Research,S10 2TH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ERS-522636-90088,"£26,638.00",Invention for Innovation,S10 2TH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ERS-522636-90088,"£72,903.50",HTA Researcher Lead,S10 2TH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,ERS-522637-90157,"£116,915.98",HTA Commissioned Research,S10 3TH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,ERS-522637-90157,"£20,588.00",Research for Patient Benefit,S10 3TH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-522638-90098,"£35,000.00",PROJECTS,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-522638-90098,"£26,212.00",Research for Patient Benefit,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-522638-90098,"£17,734.00",Research for Patient Benefit,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-522638-90098,"£72,703.50",HTA Researcher Lead,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-522638-90098,"£8,333.00",Experimental Cancer Medicine Centres,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-522638-90098,"£94,134.00",Programme Grants for NHS Trusts,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-522638-90098,"£11,232.00",Research for Patient Benefit,S5 7AU,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£93,534.00",Programme Grants for NHS Trusts,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£36,554.00",Research for Patient Benefit,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£141,429.00",Programme Grants for NHS Trusts,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£83,088.21",EME - ( NETSCC ),BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£22,706.00",Research for Patient Benefit,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£42,712.63",HS & DR,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£116,778.00",HTA Researcher Lead,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£25,253.00",Research for Patient Benefit,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£28,330.00",Unallocated,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£112,500.00",Programme Grants for NHS Trusts,BR3 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522642-90123,"£27,442.00",HS & DR,BR3 3BX,,Programme,PUBLIC,
