Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.12.2011 to 31.12.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,SUTTON LONDON BOROUGH COUNCIL,411618,12889281.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,411620,20348764.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,411620,2101734.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,411622,46571439.96
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,411622,3707580.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,411624,4646719.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,411624,468763.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,411626,695567.00
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,411626,461861.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,411628,12397682.71
DfE,PfS,14/12/2011,Revenue Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,411628,1664953.00
DfE,PfS,14/12/2011,Capital Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,411630,461249.00
