Department,Entity,Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
FCO,FCO,22/11/2016,8461837,29937.37,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,17/11/2016,8420538,29890.2,ATKINS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/11/2016,8473573,29821.75,HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,23/11/2016,8476502,29816,SCOTTISH POLICE SERVICES AUTHORITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/11/2016,8535429,29742.27,DISCOVERY MEDICAL AID,Multiple Accounts
FCO,FCO,15/11/2016,8381446,29740,AGILE BYTE LIMITED,IT/IS Consultancy
FCO,FCO,14/11/2016,8361487,29715.07,INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/11/2016,8297433,29619.14,COMPUTACENTER UK LTD,Specialist Contractors
FCO,FCO,04/11/2016,8290458,29596.98,IRISH LIFE,Local Staff Pension Contributions
FCO,FCO,15/11/2016,8384460,29547.88,GOVERNMENT COMMUNICATIONS BUREAU  ADMIN A/C 6253,Customer Refund Account
FCO,FCO,17/11/2016,8427643,29537.17,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,17/11/2016,8423475,29464.51,PICKFORDS MOVE MANAGEMENT LTD,Employee Default Expense (restricted use)
FCO,FCO,03/11/2016,8259475,29453,HYDROGRAPHIC OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,25/11/2016,8501424,29340,SCOTTISH POLICE SERVICES AUTHORITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/11/2016,8386424,29036.7,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,02/11/2016,8249431,28808.96,MIT TECHNOLOGY REVIEW,Marketing and Communications Consultancy
FCO,FCO,09/11/2016,8319098,28765.06,IRAQ ELECTRICITY BOARD,Electricity Non-Residential
FCO,FCO,11/11/2016,8346657,28538.46,CIUDADANOS POR UNA CAUSA EN COMUN,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/11/2016,8383446,28536.29,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/11/2016,8535502,28520.51,SOUTH REVENUE SERVICE,Multiple Accounts
FCO,FCO,25/11/2016,8496520,28512.31,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/11/2016,8346521,28491.19,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/11/2016,8423434,28473.94,GLOBAL HEALTH ALLIANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/11/2016,8380646,28383.8,IBLF,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/11/2016,8462521,28364.76,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,04/11/2016,8280473,28248.56,NATIONAL CENTER FOR CLIMATE CHANGE STRATEGY AND INTERNATIONAL COOPERATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2016,8418424,28235.94,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,25/11/2016,8497574,28195.98,PRICEWATERHOUSECOOPERS CONSULTORES AUDITORES Y COMPANIA LIMITADA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/11/2016,8311438,28194,SAVE THE CHILDREN FUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/11/2016,8345444,28135.35,AETNA,Multiple Accounts
FCO,FCO,09/11/2016,8319396,28125,INFRASTRUCTURE AND PROJECTS AUTHORITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/11/2016,8315545,28087.18,UNIVERSITY OF EXETER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,25/11/2016,8497565,27868.39,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/11/2016,8438598,27840.63,CONCORDIA CONSULTORIA ESTRATEGICA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/11/2016,8293705,27759.42,AKTIS STRATEGY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/11/2016,8399505,27757.94,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,17/11/2016,8427650,27751.33,INTERSERVE FM LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,14/11/2016,8353459,27711.75,NEW ERA OIL AND GAS,Fuel Oil Residential
FCO,FCO,10/11/2016,8339446,27708.82,OVE ARUP PARTNERS INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/11/2016,8477534,27699,CARBON TRUST ADVISORY LTD,Programme Spend (Oracle Projects Control Account)
