Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,30/07/2015,Spend on Inventory - General,Navy Command,FORBO FLOORING UK LIMITED.,KY1 2SB,39452,Spend on Inventory - General,"Ł2,887.20"
Ministry of Defence,Ministry of Defence,20/07/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,35931,Cost of other material consumed,"Ł2,880.63"
Ministry of Defence,Ministry of Defence,14/07/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,33538,Cost of other material consumed,"Ł2,879.58"
Ministry of Defence,Ministry of Defence,20/07/2015,"Transportation of personnel, freight and travel expenses",Air Command,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,35823,Freight movement costs,"Ł2,875.68"
Ministry of Defence,Ministry of Defence,31/07/2015,Food and clothing,Defence Equipment + Support,ARAMARK LTD,LS16 6QY,39752,Cost of food purchases,"Ł2,847.50"
Ministry of Defence,Ministry of Defence,10/07/2015,Fuel for military use,Navy Command,HARVEST ENERGY LIMITED,W1H 7JT,32733,Cost of ground unleaded fuel consumed,"Ł2,841.36"
Ministry of Defence,Ministry of Defence,02/07/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,29536,Cost of other material consumed,"Ł2,835.37"
Ministry of Defence,Ministry of Defence,08/07/2015,Spend on Inventory - General,Defence Equipment + Support,COONEEN DEFENCE LIMITED,BT75 0NE,10438,Spend on Inventory - General,"Ł2,820.00"
Ministry of Defence,Ministry of Defence,06/07/2015,Property leases,DES Bespoke Trading Entity,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,30967,Property dwellings private finance initiative - service concession arrangement service charge,"Ł2,799.00"
Ministry of Defence,Ministry of Defence,29/07/2015,Purchase of inventory and services ,Air Command,WILLIAMS LEA LIMITED,NR3 1PD,39265,Cost of other material consumed,"Ł2,787.80"
Ministry of Defence,Ministry of Defence,10/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,32678,Fiscal asset under construction - capital in year addition,"Ł2,774.36"
Ministry of Defence,Ministry of Defence,06/07/2015,"Transportation of personnel, freight and travel expenses",Air Command,CITYSPRINT (UK) LIMITED,RH1 1SH,30914,Freight movement costs,"Ł2,773.25"
Ministry of Defence,Ministry of Defence,03/07/2015,Spend on Inventory - General,Air Command,FORBO FLOORING UK LIMITED.,KY1 2SB,30539,Spend on Inventory - General,"Ł2,767.16"
Ministry of Defence,Ministry of Defence,17/07/2015,Food and clothing,Land Forces,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000343,Cost of food purchases,"Ł2,767.15"
Ministry of Defence,Ministry of Defence,14/07/2015,"Transportation of personnel, freight and travel expenses",Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,33600,Freight movement costs,"Ł2,766.95"
Ministry of Defence,Ministry of Defence,08/07/2015,Purchase of inventory and services ,Land Forces,WILLIAMS LEA LIMITED,NR3 1PD,32052,Cost of other material consumed,"Ł2,766.14"
Ministry of Defence,Ministry of Defence,15/07/2015,Rent and rates,DES Bespoke Trading Entity,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000329,Rent buildings - non civil estate property and married quarter property,"Ł2,761.64"
Ministry of Defence,Ministry of Defence,27/07/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,38304,Cost of other material consumed,"Ł2,758.14"
Ministry of Defence,Ministry of Defence,17/07/2015,Design services and minor equipment purchases,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,34598,Equipment support non-project costs,"Ł2,753.06"
Ministry of Defence,Ministry of Defence,08/07/2015,Estate management,Land Forces,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000293,Works - estate management,"Ł2,748.93"
Ministry of Defence,Ministry of Defence,29/07/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,38839,Fiscal asset under construction - capital in year addition,"Ł2,741.50"
Ministry of Defence,Ministry of Defence,27/07/2015,Purchase of inventory and services ,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,37785,Cost of other material consumed,"Ł2,740.29"
Ministry of Defence,Ministry of Defence,31/07/2015,"Transportation of personnel, freight and travel expenses",JFC,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,39863,Freight movement costs,"Ł2,739.21"
Ministry of Defence,Ministry of Defence,09/07/2015,Food and clothing,Air Command,TURNER VIRR & CO. LTD,LS25 2DY,32506,Cost of purchasing and repairing clothing,"Ł2,736.05"
Ministry of Defence,Ministry of Defence,22/07/2015,Design services and minor equipment purchases,HO+CS,QINETIQ LIMITED,GU14 0LX,36623,Equipment support non-project costs,"Ł2,732.40"
Ministry of Defence,Ministry of Defence,30/07/2015,Purchase of inventory and services ,JFC,WILLIAMS LEA LIMITED,NR3 1PD,39711,Cost of other material consumed,"Ł2,724.70"
Ministry of Defence,Ministry of Defence,09/07/2015,Design services and minor equipment purchases,Defence Equipment + Support,LLOYDS REGISTER EMEA,BS48 1RB,32301,Equipment support project costs,"Ł2,716.72"
Ministry of Defence,Ministry of Defence,08/07/2015,IT and communication services,DES Bespoke Trading Entity,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG12 1HN,31830,Information technology services,"Ł2,714.77"
Ministry of Defence,Ministry of Defence,16/07/2015,"Transportation of personnel, freight and travel expenses",DES Bespoke Trading Entity,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,34166,Freight movement costs,"Ł2,708.17"
Ministry of Defence,Ministry of Defence,28/07/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,38404,Cost of clothing and textile services received,"Ł2,683.19"
Ministry of Defence,Ministry of Defence,03/07/2015,Externally delivered education and training,JFC,EMBRACING ENTERPRISE LTD T/A THE GARNETT FOUNDATION,HP5 1PS,30525,External training - civilian,"Ł2,645.00"
Ministry of Defence,Ministry of Defence,21/07/2015,Purchase of inventory and services ,HO+CS,XMA LTD,NG11 7EP,36319,Cost of other material consumed,"Ł2,642.20"
Ministry of Defence,Ministry of Defence,20/07/2015,Externally delivered education and training,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,35777,External military training ,"Ł2,640.00"
Ministry of Defence,Ministry of Defence,10/07/2015,Property leases,Land Forces,SOPRA STERIA LIMITED,HP2 7AH,32981,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł2,632.50"
Ministry of Defence,Ministry of Defence,29/07/2015,"Transportation of personnel, freight and travel expenses",JFC,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,39145,Military short term detached duty,"Ł2,610.20"
Ministry of Defence,Ministry of Defence,29/07/2015,IT and communication services,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,39201,Computer equipment costing below the capitalisation threshold,"Ł2,608.28"
