Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,
Home Office,Home Office,05/11/2015,Other Government Department,UKV&I - Visas & Immigration,GOVERNMENT LEGAL DEPARTMENT,3000050770," 126,175.78 ",
Home Office,Home Office,05/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,NATIONAL SAVINGS AND INVESTMENTS,3000050773," 89,598.60 ",
Home Office,Home Office,05/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,NATIONAL SAVINGS AND INVESTMENTS,3000050773," 205,412.40 ",
Home Office,Home Office,05/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001794344," 220,171.03 ",
Home Office,Home Office,05/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,TELEPERFORMANCE LTD,1001794352," 60,168.40 ",
Home Office,Home Office,06/11/2015,Facilities Management Services,UKV&I - Visas & Immigration,CAPITA BUSINESS SERVICES LTD,1001794720," 299,541.74 ",
Home Office,Home Office,06/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001794727," 128,380.99 ",
Home Office,Home Office,06/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001794727," 180,184.52 ",
Home Office,Home Office,06/11/2015,Public Order & Security,UKV&I - Visas & Immigration,POLICE AND CRIME COMMISSIONER FOR BEDFORDSHIRE (THE),1001794788," 36,093.69 ",
Home Office,Home Office,06/11/2015,Public Order & Security,UKV&I - Visas & Immigration,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001794826," 40,730.60 ",
Home Office,Home Office,06/11/2015,Public Order & Security,UKV&I - Visas & Immigration,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001794826," 40,182.80 ",
Home Office,Home Office,06/11/2015,Learning & Development,UKV&I - Visas & Immigration,CAPITA BUSINESS SERVICES LTD (E),1001794724," 27,848.04 ",
Home Office,Home Office,06/11/2015,"Transport, Storage & Mail Services",UKV&I - Visas & Immigration,DX NETWORK SERVICES LTD,1001794741," 32,438.27 ",
Home Office,Home Office,06/11/2015,"Transport, Storage & Mail Services",UKV&I - Visas & Immigration,DX NETWORK SERVICES LTD,1001794741," 33,445.93 ",
Home Office,Home Office,06/11/2015,"Transport, Storage & Mail Services",UKV&I - Visas & Immigration,DX NETWORK SERVICES LTD,1001794741," 193,496.08 ",
Home Office,Home Office,06/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001794808," 1,218,697.00 ",
Home Office,Home Office,06/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001794808," 137,444.32 ",
Home Office,Home Office,06/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,TELEPERFORMANCE LTD,1001794816," 160,124.40 ",
Home Office,Home Office,09/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001795246," 164,995.00 ",
Home Office,Home Office,10/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001795784," 134,854.91 ",
Home Office,Home Office,10/11/2015,Grant,UKV&I - Visas & Immigration,BURY METROPOLITAN BOROUGH COUNCIL (G),1001795661," 78,750.00 ",
Home Office,Home Office,10/11/2015,Grant,UKV&I - Visas & Immigration,DEPARTMENT OF WORK & PENSIONS (G),3000050788," 47,355.00 ",
Home Office,Home Office,10/11/2015,Grant,UKV&I - Visas & Immigration,DEPARTMENT OF WORK & PENSIONS (G),3000050788," 75,768.00 ",
Home Office,Home Office,10/11/2015,Grant,UKV&I - Visas & Immigration,DEPARTMENT OF WORK & PENSIONS (G),3000050788," 37,884.00 ",
Home Office,Home Office,10/11/2015,Grant,UKV&I - Visas & Immigration,DEPARTMENT OF WORK & PENSIONS (G),3000050788," 28,413.00 ",
Home Office,Home Office,10/11/2015,Grant,UKV&I - Visas & Immigration,DEPARTMENT OF WORK & PENSIONS (G),3000050788," 28,413.00 ",
Home Office,Home Office,10/11/2015,Other Government Department,UKV&I - Visas & Immigration,GOVERNMENT LEGAL DEPARTMENT,3000050790," 206,012.30 ",
Home Office,Home Office,10/11/2015,Grant,UKV&I - Visas & Immigration,HULL CITY COUNCIL (G),1001795662," 112,500.00 ",
Home Office,Home Office,10/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,VF WORLDWIDE HOLDINGS LTD,7000010001," 4,968,940.24 ",
Home Office,Home Office,10/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,VF WORLDWIDE HOLDINGS LTD,7000010001," 100,587.45 ",
Home Office,Home Office,12/11/2015,Facilities Management Services,UKV&I - Visas & Immigration,CAPITA BUSINESS SERVICES LTD,1001796598," 87,583.21 ",
Home Office,Home Office,12/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001796600,"-33,768.64 ",
Home Office,Home Office,12/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001796600," 89,433.53 ",
