Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount �s ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-473870-64983,41311.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,WHITTINGTON HOSPITAL NHS TRUST,PUBLIC,N19 5NF,ERS-473881-64994,41608.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,CENTRAL AND NORTH WEST LONDON MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,NW1 7QY,ERS-473718-65028,42191.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,PUBLIC,CV2 2DX,ERS-473872-64993,701841.00 ,,Cooksey Patient Care,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE ROYAL WOLVERHAMPTON NHS TRUST,PUBLIC,WV10 0QP,ERS-473860-64996,42390.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B15 2PZ,ERS-473697-65057,44547.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-473874-65038,44584.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NHS DIRECT NHS TRUST,PUBLIC,MK14 6DY,ERS-473789-65070,45604.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-473857-65021,659031.00 ,,Bio-Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,COVENTRY TEACHING PCT,PUBLIC,CV1 2GQ,ERS-473726-64930,46222.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-473820-64981,46813.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-473742-65022,48105.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,COVENTRY TEACHING PCT,PUBLIC,CV1 2GQ,ERS-473726-64930,48441.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 9DX,ERS-473810-65025,48704.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH WEST SHA,PUBLIC,WF3 1WE,ERS-473844-64953,606863.00 ,,CLARHCs,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-473866-65016,50000.00 ,,Experimental Cancer Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,52342.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH STAFFORDSHIRE PCT,PUBLIC,ST13 6HQ,ERS-473796-64940,53493.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,ERS-473760-65036,55002.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST,PUBLIC,LS6 1PF,ERS-473856-65078,56711.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,ERS-473797-65030,57477.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-473857-65021,57730.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH STAFFORDSHIRE PCT,PUBLIC,ST13 6HQ,ERS-473796-64940,58217.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,M25 3BL,ERS-473746-65058,58259.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,ERS-473811-64947,59173.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-473857-65021,59213.00 ,,Experimental Cancer Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-473720-65035,59593.00 ,,Experimental Cancer Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-473870-64983,59616.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-473854-64965,59855.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,PUBLIC,L7 8XP,ERS-473822-65010,60037.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 9DX,ERS-473810-65025,60149.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 9DX,ERS-473810-65025,61920.00 ,,Experimental Cancer Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-473864-65018,62183.00 ,,Experimental Cancer Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,PLYMOUTH HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,ERS-473813-64992,62312.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-473854-64965,62500.00 ,,Experimental Cancer Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-473858-65008,62500.00 ,,Experimental Cancer Medical Centres,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-473744-65006,565029.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,ERS-473756-65037,63037.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,63106.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,PUBLIC,CB3 8RE,ERS-473812-64979,64743.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,65664.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH YORKSHIRE & YORK PCT,PUBLIC,YO17 6QR,ERS-473798-64935,66207.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LIVERPOOL PCT,PUBLIC,L13 1HN,ERS-473768-64933,66313.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,PUBLIC,M23 9LT,ERS-473868-65000,67010.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,CENTRAL AND NORTH WEST LONDON MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,NW1 7QY,ERS-473718-65028,68092.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-473764-65014,558436.00 ,,CLARHCs,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-473762-64978,70091.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-473807-64982,537573.00 ,,CLARHCs,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,DORSET PCT,PUBLIC,DT2 9TB,ERS-473732-64950,70678.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,PUBLIC,M23 9LT,ERS-473868-65000,71059.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-473836-64984,72918.00 ,,Support for HITF/HTCS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-473693-65032,73819.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,CAMBRIDGESHIRE PCT,PUBLIC,PE27 5BB,ERS-473715-64941,75256.00 ,,UKCRC Primary Care Networks,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-473866-65016,525068.00 ,,CLARHCs,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH STAFFORDSHIRE PCT,PUBLIC,ST13 6HQ,ERS-473796-64939,75381.00 ,,UKCRC Primary Care Networks,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LEICESTER CITY PCT,PUBLIC,LE1 6NB,ERS-473766-64938,75444.00 ,,UKCRC Primary Care Networks,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,DEVON PCT,PUBLIC,TQ12 4PH,ERS-473731-64951,75694.00 ,,UKCRC Primary Care Networks,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS7 0NJ,ERS-473849-64922,75715.00 ,,UKCRC Primary Care Networks,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-473804-65044,76125.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH WEST LONDON HOSPITALS NHS TRUST,PUBLIC,HA1 3UJ,ERS-473797-65030,76828.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,PUBLIC,CB1 5EE,ERS-473713-65019,523868.00 ,,CLARHCs,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE1 2QS,ERS-473728-65024,78146.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-473748-64987,81819.00 ,,UKCRC Primary Care Networks,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE SOLENT NHS TRUST,PUBLIC,SO16 4XE,ERS-473861-65079,82112.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-473716-65074,82178.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,ERS-473811-64947,83000.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,E9 6ZZ,ERS-473755-65012,83448.00 ,,Cooksey Patient Care,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-473764-65014,83738.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-473804-65043,83765.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,ROYAL FREE LONDON NHS FOUNDATION TRUST,PUBLIC,NW3 1QG,ERS-473821-64957,86125.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-473801-65047,86198.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-473744-65006,86275.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE LEEDS COMMUNITY HEALTHCARE NHS TRUST,PUBLIC,LS6 1PF,ERS-473856-65078,86275.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-473864-65018,86275.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH EAST LONDON NHS FOUNDATION TRUST,PUBLIC,CM8 2TL,ERS-473794-64959,86756.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LEICESTER CITY PCT,PUBLIC,LE1 6NB,ERS-473766-64938,87788.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-473804-65044,87842.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,ERS-473839-64929,87912.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NOTTINGHAM CITY PCT,PUBLIC,WF3 1WE,ERS-473803-64923,89808.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,BRADFORD AND AIREDALE PCT,PUBLIC,BD5 7JR,ERS-473700-64936,91484.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,91726.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,91769.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,91983.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,ERS-473811-64947,92310.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-473820-64981,92480.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-473702-65052,92996.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-473702-65052,93243.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,PUBLIC,CV2 2DX,ERS-473872-64993,93267.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,ERS-473756-65037,93789.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-473864-65018,94155.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,PUBLIC,TS4 3BW,ERS-473842-65026,94289.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,WHITTINGTON HOSPITAL NHS TRUST,PUBLIC,N19 5NF,ERS-473881-64994,94564.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,NE12 8EW,ERS-473802-65023,94986.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-473864-65018,95047.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,95964.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NUFFIELD ORTHOPAEDIC NHS TRUST,PUBLIC,OX3 7LD,ERS-473808-64961,96176.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-473716-65074,96388.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-473790-64999,96415.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PR7 1GZ,ERS-473761-65054,96430.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-473702-65052,96794.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-473829-65001,97688.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-473744-65006,97849.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,ERS-473811-64947,98358.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-473866-65016,98476.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-473866-65016,99330.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NORTH EAST LONDON NHS FOUNDATION TRUST,PUBLIC,CM8 2TL,ERS-473794-64959,99992.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-473693-65032,100375.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-473854-64965,101263.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-473742-65022,101392.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,ERS-473839-64929,101495.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-473807-64982,101644.00 ,,UKCRC Mental Health Projects,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-473801-65047,101774.00 ,,UKCRC Mental Health Projects,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-473693-65032,102370.00 ,,UKCRC Mental Health Projects,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,ROYAL SURREY COUNTY NHS FOUNDATION TRUST,PUBLIC,GU2 7XX,ERS-473825-64954,103717.00 ,,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,PUBLIC,NG8 3LL,ERS-473738-65049,105305.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NHS DIRECT NHS TRUST,PUBLIC,MK14 6DY,ERS-473789-65070,105565.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,PLYMOUTH HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,ERS-473813-64992,105847.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,ERS-473760-65036,107027.00 ,,UKCRC Mental Health Projects,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,EAST LONDON NHS FOUNDATION TRUST,PUBLIC,E1 1RD,ERS-473737-65041,108177.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-473841-65029,109614.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-473807-64982,109620.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,SOUTH WEST SHA,PUBLIC,WF3 1WE,ERS-473844-64953,109895.00 ,,Flexibility & Sustainability Funding,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,BRISTOL PCT,PUBLIC,BS2 8EE,ERS-473703-64949,110021.00 ,,Applied Research Programme,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-473857-65021,111747.00 ,,UKCRC Diabetes Projects,Programme,
Department of Health,Department of Health,16/10/2012,Professional fees,External Relations,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,5315,111893.00 ,,CPA 474211 Inv 5315Recharge for the valuation project aug 2012,Programme,
Department of Health,Department of Health,16/10/2012,Research & development,Research & Development,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B15 2PZ,ERS-473697-65057,114633.00 ,,UKCRC Mental Health Projects,Programme,
