Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.05.2011 to 31.05.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BARNSLEY METROPOLITAN BOROUGH COUNCIL,354970,928692
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,BARNSLEY METROPOLITAN BOROUGH COUNCIL,354970,1101111
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,DONCASTER METROPOLITAN BOROUGH COUNCIL,354972,1442475
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,DONCASTER METROPOLITAN BOROUGH COUNCIL,354972,869502
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,354974,1080153
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,354974,1555628
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD COUNTY COUNCIL,354976,20711673.53
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,SHEFFIELD COUNTY COUNCIL,354976,5346948
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BRADFORD METROPOLITAN BOROUGH COUNCIL,354978,5768547.75
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,BRADFORD METROPOLITAN BOROUGH COUNCIL,354978,6825311
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,CALDERDALE METROPOLITAN BOROUGH COUNCIL,354980,6076433.18
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,CALDERDALE METROPOLITAN BOROUGH COUNCIL,354980,1214905
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,KIRKLEES COUNCIL,354982,2276235
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,KIRKLEES COUNCIL,354982,2031799
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,LEEDS CITY COUNCIL,354984,8892008.33
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,LEEDS CITY COUNCIL,354984,7825702
