Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,,,,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,21/12/2010,Residual Estate Rent Expenditure,ERG - Office of Government Commerce,COLLIER CRE,89651,"45,797.09",Quarterly rent on residual civil estate property,,,,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,21/12/2010,Residual Estate Rent Expenditure,ERG - Office of Government Commerce,PRUDENTIAL PROPERTY INVESTMENT MANAGERS LTD (PRUPIM),89649,"67,856.25",Quarterly rent on residual civil estate property,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,21/12/2010,WSDS Maint & Rep,WSDS,COFELY,PINDOH 31692,"37,589.81",Whitehall heating systems management,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,21/12/2010,WDHS Maint & Rep,WDHS,COFELY,PINDOH 31693,"60,245.07",Whitehall heating systems management,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,21/12/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 18971,"43,255.06",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,21/12/2010,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 19013,"40,233.60",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,21/12/2010,Data Services,Network Services,GLOBAL CROSSING,PINMTS 19015,"35,769.13",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2010,Other Staff Related Costs,ERG - CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000013832,"30,914.88",Fast Stream Recruitment,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2010,Provisions provided for in year,ESTATE MANAGEMENT,MULLER PROFESSIONAL SERVICES,3000013826,"95,561.23",Payment to landlord for building disposal,,,,,,,,,,,,,,,,,
Cabinet Office,Cabinet Office,23/12/2010,Nat West Corporate Card,ERG - Office of Government Commerce,NATIONAL WESTMINSTER BANK PLC,89690,"45,813.09",Monthly settlement of Government Procurement Card transactions,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,23/12/2010,Rent RLB 3rd Floor,Estates Management,ROYAL LIVER ASSURANCE,PINDOH 31797,"88,215.00",Rent for accommodation in the Royal Liver Building,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,23/12/2010,Service Charges RLB,Estates Management,ROYAL LIVER ASSURANCE,PINDOH 31797,"27,052.60",Service charge for accommodation in the Royal Liver Building,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPARTMENT ,103101,"29,560.19",Charges for in-house legal team - fees and disbursements,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Assets Under Construction,INTELLIGENCE SECURITY AND RESILIENCE,ECOVERT FM LTD,3000013864,"100,910.41",Accommodation works to 70 Whitehall,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2010,Resource Grants to Central Government Bodies,ERG - OFFICE FOR CIVIL SOCIETY,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000013863,"54,000.00",Social Enterprise Pioneer Project,,,,,,,,,,,,,,,,,
