Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,United Kingom Hydrographic Office,05/02/2013,"Computers,peripherals,software",GPC,RBS,TA1 2DN,101556072,"Computers,peripherals,software","23,916.70"
Ministry of Defence,Ministry of Defence,28/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,173551,Equipment support project costs,"23,898.45"
Ministry of Defence,Ministry of Defence,08/02/2013,"Purchase of munitions, other inventory or fuel",Joint Forces Command,RACE INDUSTRIAL (PRODUCTS) LTD,DY5 1QA,165109,Raw materials and consumable oil and lubricants inventory purchased,"23,892.00"
Ministry of Defence,Ministry of Defence,15/02/2013,Estate management,Land Forces,SODEXO LTD,M50 0AL,168267,Estate + facilities management services - accommodation inventory + service,"23,884.52"
Ministry of Defence,Ministry of Defence,15/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,ELECTRO SERVICES (MIDLANDS) LTD,TF7 4QL,167975,Equipment support non-project costs,"23,848.59"
Ministry of Defence,Ministry of Defence,27/02/2013,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,172978,Utilities consumed - heating oil,"23,841.78"
Ministry of Defence,Ministry of Defence,06/02/2013,Estate management,Air Command,AIRFIELD WILDLIFE MANAGEMENT  LIMITED,IV30 5PT,163091,Estate + facilities management services - accommodation inventory + service,"23,760.28"
Ministry of Defence,Ministry of Defence,19/02/2013,Purchase of inventory and services ,Air Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,169058,Cost of other material consumed,"23,754.10"
Ministry of Defence,Ministry of Defence,21/02/2013,Fees for professional services,Head Office & Corporate Services,GIFFORD OWEN LTD,BA13 2GG,170308,Fees for professional services excluding legal fees,"23,740.00"
Ministry of Defence,Ministry of Defence,14/02/2013,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,167313,Utilities consumed - heating oil,"23,737.64"
Ministry of Defence,Ministry of Defence,07/02/2013,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,164043,Fees for professional services excluding legal fees,"23,694.42"
Ministry of Defence,Ministry of Defence,28/02/2013,Fees for professional services,Land Forces,METHODS CONSULTING LTD,WC2H 8AD,173967,Fees for professional services excluding legal fees,"23,691.20"
Ministry of Defence,Ministry of Defence,08/02/2013,Fees for professional services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,164889,Fees for professional services excluding legal fees,"23,684.30"
Ministry of Defence,Ministry of Defence,26/02/2013,Payment of utilities,Joint Forces Command,GB OILS LIMITED,FK5 4RB,172434,Utilities consumed - heating oil,"23,655.56"
Ministry of Defence,United Kingom Hydrographic Office,05/02/2013,Stationery,GPC,RBS,TA1 2DN,101556072,Stationery,"23,586.49"
Ministry of Defence,Ministry of Defence,18/02/2013,Payment of utilities,Land Forces,WATSON PETROLEUM LTD,SN15 5DN,168999,Utilities consumed - heating oil,"23,573.93"
Ministry of Defence,Ministry of Defence,20/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,169674,Equipment support project costs,"23,525.27"
Ministry of Defence,Ministry of Defence,01/02/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,WINCANTON GROUP LIMITED,SN14 0WT,162197,Raw materials and consumable aviation fuel inventory purchased,"23,504.00"
Ministry of Defence,Ministry of Defence,22/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,M.P.I. AVIATION LTD,SG13 7DQ,170935,Equipment support non-project costs,"23,375.02"
Ministry of Defence,Defence Science and Technology Laboratory,05/02/2013,Sub Contracted Research,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000149133 - 00145373,,"23,374.00"
Ministry of Defence,Ministry of Defence,13/02/2013,Spend on Inventory - General,Defence Equipment & Support,UNITED TOOL DISTRIBUTORS LTD,M32 0NB,167039,Spend on Inventory - General,"23,358.33"
Ministry of Defence,Ministry of Defence,11/02/2013,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,165564,Cost of other material consumed,"23,329.21"
Ministry of Defence,Defence Science and Technology Laboratory,01/02/2013,Sub Contracted Research,Programme Office,BLUE BEAR SYSTEMS RESEARCH LIMITED,,V - 9000149041 - 00151106,,"23,300.00"
Ministry of Defence,Ministry of Defence,07/02/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,URS INFRASTRUCTURE & ENVIRONMENT UK LIMITED,RG21 7PP,164479,Fiscal asset under construction - capital in year addition,"23,265.49"
Ministry of Defence,Ministry of Defence,11/02/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,165326,Cost of other material consumed,"23,152.49"
Ministry of Defence,Defence Science and Technology Laboratory,15/02/2013,Consumable Materials,Operations,BARCLAYCARD,,G - 9000149501 - 00155954,,"23,076.34"
Ministry of Defence,Defence Science and Technology Laboratory,26/02/2013,Materials & Equipment,Operations,VWR INTERNATIONAL,,V - 9000149775 - 00155809,,"23,031.30"
