UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC33750,13-Jun-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł26,712.59",33750
MODGPC33751,11-Jun-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł1,800.00",33751
MODGPC33752,13-Jun-12,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł900.00,33752
MODGPC33753,01-Jun-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,441.20",33753
MODGPC33754,06-Jun-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł7,929.64",33754
MODGPC33755,07-Jun-12,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł2,500.00",33755
MODGPC33756,13-Jun-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,Ł588.32,33756
MODGPC33757,01-Jun-12,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,596.98",33757
MODGPC33758,08-Jun-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł550.52,33758
MODGPC33759,08-Jun-12,Freight and Storage                , MOTOR FREIGHT CARRIERS,Ł725.66,33759
MODGPC33760,12-Jun-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł4,293.60",33760
MODGPC33761,06-Jun-12,General Retail and Wholesale       , HARDWARE STORES,Ł522.32,33761
MODGPC33762,12-Jun-12,General Retail and Wholesale       , SHOE STORES,Ł501.32,33762
MODGPC33763,13-Jun-12,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"Ł2,229.60",33763
MODGPC33764,13-Jun-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,709.88",33764
MODGPC33765,07-Jun-12,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"Ł1,000.00",33765
MODGPC33766,08-Jun-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł500.00,33766
MODGPC33767,08-Jun-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł500.00,33767
MODGPC33768,06-Jun-12,General Retail and Wholesale       , BEAUTY/BARBER SHOPS,Ł843.36,33768
MODGPC33769,12-Jun-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł14,839.09",33769
MODGPC33770,12-Jun-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł6,249.57",33770
MODGPC33771,12-Jun-12,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł3,010.80",33771
MODGPC33772,01-Jun-12,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł1,644.60",33772
MODGPC33773,06-Jun-12,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,Ł533.41,33773
MODGPC33774,07-Jun-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,817.82",33774
MODGPC33775,07-Jun-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,872.00",33775
MODGPC33776,07-Jun-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł2,880.00",33776
MODGPC33777,12-Jun-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,503.56",33777
MODGPC33778,12-Jun-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,131.84",33778
MODGPC33779,07-Jun-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł566.88,33779
MODGPC33780,07-Jun-12,General Retail and Wholesale       , ELECTRONICS STORES,"Ł10,710.00",33780
MODGPC33781,07-Jun-12,General Retail and Wholesale       , ELECTRONICS STORES,"Ł10,044.00",33781
MODGPC33782,08-Jun-12,General Retail and Wholesale       , BICYCLE SHOPS/SALES/SERVICE,Ł768.00,33782
MODGPC33783,01-Jun-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł780.00,33783
MODGPC33784,06-Jun-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł612.00,33784
MODGPC33785,07-Jun-12,General Retail and Wholesale       , ELECTRONICS STORES,"Ł1,142.94",33785
MODGPC33786,11-Jun-12,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"Ł1,801.50",33786
MODGPC33787,06-Jun-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"Ł8,564.38",33787
MODGPC33788,01-Jun-12,General Retail and Wholesale       , BICYCLE SHOPS/SALES/SERVICE,"Ł1,879.00",33788
MODGPC33789,06-Jun-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł900.00,33789
MODGPC33790,12-Jun-12,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,Ł724.75,33790
MODGPC33791,11-Jun-12,General Retail and Wholesale       , DRAPERY & UPHOLSTERY STORES,Ł898.61,33791
MODGPC33792,13-Jun-12,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,"Ł2,408.24",33792
