Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,
DEFRA,DEFRA,17/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Forest Research Agency,R0008307,82928.96,PO 375547 FINAL PART OF 14/15 CONTRACT,GU10 4LH,,ecm_17378,00000000,Expense,,,,
DEFRA,DEFRA,29/07/2015,Other Current Payments E,Chief Operating Officer DG,Getmapping Plc,DEFRA016,98666.67,PO 372595 SUPPLY OF AERIAL PHOTOGRAPHY AND HEIGHT DATA,RG27 8NW,SME,,AERPHOTO,Expense,,,,
DEFRA,DEFRA,13/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",GfK UK Ltd,8272015600,26300.00,PO 375983 FIVE YEAR REVIEW OF WELFARE,SE1 9UL,,IGS,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Inwards Secondments,Chief Operating Officer DG,H M R C,18000043942014,132486.07,PO 374209 CSR FS GRADUATE SALARY COSTS,BN12 4XH,,,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Agency temps - clerical,Chief Operating Officer DG,H M R C,18000040202014,31789.34,PO 374209 CSR FS TALENT MANAGEMENT COSTS,BN12 4XH,,,FSTRMGEN,Expense,,,,
DEFRA,DEFRA,03/07/2015,Capital LA Grant E,Policy Delivery DG,Hart District Council,4000002990,45435.06,PO 371710 FLOOD RECOVERY GRANT,GU51 4AE,SME,Grant,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007612,190813.00,PO 365305 PSA9 FR2/3 END OF EXITING FIXED FEE,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,,,
DEFRA,DEFRA,09/07/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007692,33342.75,PO 377001 DEFRA CR FOR INFRASTRUCTURE,SE1 2AP,SME,,CAPDFA03,Expense,,,,
DEFRA,DEFRA,21/07/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007524,54370.20,PO 365305 CR31 FR 4 GO LIVE EXTENSION,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,,,
DEFRA,DEFRA,21/07/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007523,48457.68,PO 365305 CR 76 FR JULY 1ST FR 2/3 GO LIVE EXTENSION,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,,,
DEFRA,DEFRA,15/07/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007232,50220.26,PO 378626 MONTHLY MANAGED SERVICE FIXED FEE APR-15,SE1 2AP,SME,CAP275,CAPDFA03,Expense,,,,
DEFRA,DEFRA,13/07/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007607,50220.26,PO 374660 MONTHLY MANAGED SERVICE FIXED FEE MAY 15,SE1 2AP,SME,CAP 275,CAPDFA03,Expense,,,,
DEFRA,DEFRA,13/07/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007700,50220.26,PO 374660 43610 ERP IMPLEMENTATION MANAGED SERVICE SUPPORT,SE1 2AP,SME,CAP 275,CAPDFA03,Expense,,,,
