Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001827086,"1,542,389.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001827086,"2,818,219.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001827086,"177,110.78",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CITY OF LONDON POLICE AUTHORITY (G),1001827087,"236,934.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,COLLEGE OF POLICING (G),1001827088,"2,000,000.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001827089,"2,407,130.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001827089,"332,662.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001827089,"2,583,239.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001827089,"177,329.98",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001827089,"71,484.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001827090,"3,456,009.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001827090,"500,784.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001827090,"1,452,681.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001827090,"201,023.38",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001827090,"110,876.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001827091,"72,202,279.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001827091,"14,470,789.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001827091,"9,972,993.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001827091,"62,841,305.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001827091,"5,928,432.52",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001827092,"3,618,184.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001827092,"421,117.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001827092,"2,026,548.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001827092,"38,294.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001827092,"206,684.77",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001827092,"94,294.00",,,,,,,,
