Department,Entity,Payment date,Transaction Number,Invoice Amount (GBP),Supplier ,Account Description
FCO,FCO,8/14/2013,4404540,"33,916.53",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4348388,"30,971.93",GOLDEN ROCK REAL ESTATE,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,8/13/2013,4394340,"53,336.60",GRAEBECK CONSTRUCTION LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/26/2013,4415070,"35,826.43",GROUP 4 SECURICOR LLC,Local Guards
FCO,FCO,8/27/2013,4278285,"25,354.97",GRUPO ESTRATO,Unscheduled repairs to building infrastructure
FCO,FCO,8/28/2013,4280875,"139,736.20",GRUPO NACIONAL PROVINCIAL SAB,Medical Supplies
FCO,FCO,8/19/2013,4402165,"44,732.65","GUANGZHOU INSTITUTE OF ENERGY CONVERSION, CHINESE ACADEMY OF SCIENCE",Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4411732,"61,245.47",HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,8/5/2013,4394812,"26,229.38",HAYAT HELMANDWAL CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/5/2013,4394824,"27,766.33",HAYAT HELMANDWAL CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/7/2013,4397512,"117,529.30",HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,8/8/2013,4399434,"88,453.00",HEALIX INTERNATIONAL LTD,Medical Journeys (General)
FCO,FCO,8/30/2013,4421533,"31,614.54",HEALIX INTERNATIONAL LTD,Medical Journeys (General)
FCO,FCO,8/9/2013,4291903,"30,884.00",HEWLETT PACKARD LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,8/9/2013,4291910,"109,671.00",HEWLETT PACKARD LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,8/9/2013,4321987,"63,360.00",HEWLETT PACKARD LTD,Information Systems Maintenance
FCO,FCO,8/9/2013,4323459,"46,382.50",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/9/2013,4372011,"26,070.34",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/9/2013,4372021,"43,303.78",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/9/2013,4378797,"43,656.00",HEWLETT PACKARD LTD,Technical Consultancy
FCO,FCO,8/9/2013,4392328,"53,139.24",HEWLETT PACKARD LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,8/9/2013,4392328,"42,809.44",HEWLETT PACKARD LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,8/9/2013,4392328,"41,575.68",HEWLETT PACKARD LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,8/9/2013,4392328,"37,444.68",HEWLETT PACKARD LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,8/9/2013,4392328,"36,018.00",HEWLETT PACKARD LTD,Information Systems Under £3000 (non-capitalised)
FCO,FCO,8/9/2013,4392349,"110,382.00",HEWLETT PACKARD LTD,Temporary Staff (Admin and Clerical Only)
FCO,FCO,8/9/2013,4392387,"58,656.00",HEWLETT PACKARD LTD,Technical Consultancy
FCO,FCO,8/9/2013,4399261,"29,447.52",HEWLETT PACKARD LTD,IT/IS Consultancy
FCO,FCO,8/9/2013,4419218,"31,411.50",HEWLETT PACKARD LTD,Equipment and Services For Disabled Staff
FCO,FCO,8/29/2013,4419247,"56,573.18",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/29/2013,4419247,"51,127.07",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/29/2013,4419274,"54,231.50",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/29/2013,4419282,"106,516.00",HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/29/2013,4419292,"45,455.00",HEWLETT PACKARD LTD,Information Systems Maintenance
FCO,FCO,8/29/2013,4419581,"29,792.60",HEWLETT PACKARD LTD,IT/IS Consultancy
FCO,FCO,8/29/2013,4419581,"29,792.60",HEWLETT PACKARD LTD,IT/IS Consultancy
FCO,FCO,8/30/2013,4420729,"55,805.10",HEWLETT PACKARD LTD,IT/IS Consultancy
FCO,FCO,8/22/2013,4411911,"574,596.20",HRG HOGG ROBINSON TRAVEL LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/22/2013,4411911,"354,222.50",HRG HOGG ROBINSON TRAVEL LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/22/2013,4411911,"239,367.60",HRG HOGG ROBINSON TRAVEL LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/22/2013,4411911,"59,037.08",HRG HOGG ROBINSON TRAVEL LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/22/2013,4411911,"40,043.20",HRG HOGG ROBINSON TRAVEL LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/6/2013,4394560,"45,000.00",I TO I RESEARCH LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/6/2013,4394560,"45,000.00",I TO I RESEARCH LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4411728,"29,765.00",ICARUS INCORPORATED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/23/2013,4414166,"109,781.60",ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,8/23/2013,4418831,"109,781.60",ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,Medical Supplies
FCO,FCO,8/24/2013,4275192,"49,170.45",IDENTITY CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/28/2013,4418523,"35,000.00",IMAGINE CENTER FOR CONFLICT TRANSFORMATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/27/2013,4413271,"48,374.84",INDIAN OCEAN PROPERTIES LLC,Accommodation
FCO,FCO,8/13/2013,4272497,"58,432.58",INSTITUTE FOR ESSENTIAL SERVICES REFORM,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4284133,"27,442.20",INSTITUTE FOR SUSTAINABLE COMMUNITIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4400667,"26,800.00",INSTITUTE FOR WAR AND PEACE REPORTING IWPR,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4324411,"69,302.00",INTEGRITY RESEARCH AND CONSULTANCY LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4321423,"33,583.05",INTERMEDIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4387816,"30,000.00",INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4394481,"150,550.00",INTERNATIONAL CENTRE FOR PRISON STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4307752,"28,782.13",INTERNATIONAL COMMUNITY SCHOOL,Local Education Allowance
FCO,FCO,8/22/2013,4410318,"44,008.85",INTERNATIONAL COMMUNITY SCHOOL,Local Education Allowance
FCO,FCO,8/9/2013,4400170,"39,435.00",INTERNATIONAL GOVERNANCE AND RISK LIMITED GOVRISK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4377570,"50,032.88",INTERNATIONAL PEACE COOPERATION CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4377570,"42,466.79",INTERNATIONAL PEACE COOPERATION CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/16/2013,4403526,"49,823.07",INTERNATIONAL PEACE COOPERATION CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/27/2013,4411000,"27,372.35",INTERNATIONAL SCHOOL OF HELSINKI,Local Education Allowance
FCO,FCO,8/28/2013,4356096,"150,000.00",INTERPEACE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/19/2013,4382575,"37,112.65",INTERSERVE FM LTD,Residential Property Services
FCO,FCO,8/19/2013,4407382,"101,600.40",INTERSERVE FM LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/19/2013,4407568,"154,041.40",INTERSERVE FM LTD,Cleaning & Waste
FCO,FCO,8/19/2013,4407568,"135,441.90",INTERSERVE FM LTD,Building Mechanical and Engineering Services
FCO,FCO,8/19/2013,4407568,"65,470.95",INTERSERVE FM LTD,Minor New Works <10K
FCO,FCO,8/19/2013,4407568,"54,475.81",INTERSERVE FM LTD,Contract Fees
FCO,FCO,8/19/2013,4407568,"46,504.72",INTERSERVE FM LTD,Mail & Porterage Services
FCO,FCO,8/19/2013,4407568,"43,636.83",INTERSERVE FM LTD,Interim Helpdesk
FCO,FCO,8/20/2013,4407576,"37,686.29",INTERSERVE FM LTD,Residential Property Services
FCO,FCO,8/26/2013,4324562,"45,798.92",IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/26/2013,4414921,"55,979.74",IOM INTERNATIONAL ORGANIZATION FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4323592,"142,999.70",ISG ASIA M SDN BHDBM,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/20/2013,4407280,"307,195.90",ISG ASIA M SDN BHDBM,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4282074,"1,800,000.00",ISLAMIC REPUBLIC OF AFGHANISTAN MINISTRY OF FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/21/2013,4316035,"1,800,000.00",ISLAMIC REPUBLIC OF AFGHANISTAN MINISTRY OF FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4279066,"50,363.61",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,8/23/2013,4279066,"34,843.23",ISS FACILITY SERVICES LTD FCO OP,Contract Fees
FCO,FCO,8/24/2013,4279068,"39,974.77",ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services
FCO,FCO,8/25/2013,4287012,"219,559.30",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,8/19/2013,4287012,"31,139.39",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,8/19/2013,4287014,"60,317.14",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,8/19/2013,4287014,"32,649.39",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,8/19/2013,4287014,"25,508.70",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,8/19/2013,4407530,"25,899.09",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,8/19/2013,4407537,"41,263.28",ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services
FCO,FCO,8/19/2013,4407547,"41,274.51",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
FCO,FCO,8/19/2013,4407555,"40,142.84",ISS FACILITY SERVICES LTD FCO OP,Manned Guarding Services
FCO,FCO,8/27/2013,4411301,"38,438.36",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential
FCO,FCO,8/27/2013,4411302,"32,062.59",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/27/2013,4411302,"28,447.00",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential
FCO,FCO,8/27/2013,4411302,"26,462.32",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential
FCO,FCO,8/27/2013,4411303,"70,909.62",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential
FCO,FCO,8/27/2013,4411305,"33,935.04",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential
FCO,FCO,8/27/2013,4411306,"38,024.42",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/27/2013,4411308,"59,333.88",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/27/2013,4411308,"44,822.85",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/27/2013,4411308,"29,023.35",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/27/2013,4411310,"43,828.99",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/27/2013,4411312,"42,362.91",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/27/2013,4411319,"49,847.48",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - non residential
FCO,FCO,8/27/2013,4411319,"43,352.89",ISS FACILITY SERVICES LTD FCO OP - POE,Rental Payments - residential
FCO,FCO,8/22/2013,4411952,"39,876.33",IZIIS,Rental Payments - non residential
FCO,FCO,8/22/2013,4287887,"629,184.20",JUAN GAVIRIA RESTREPO & CIA,Rental Payments - non residential
FCO,FCO,8/15/2013,4320099,"127,019.10",KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,8/15/2013,4320099,"126,269.10",KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,8/15/2013,4356737,"123,413.40",KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,8/15/2013,4405497,"125,622.40",KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,8/15/2013,4406012,"340,872.60",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,8/15/2013,4416755,"125,622.40",KELLOGG BROWN AND ROOT,Property Maintenance Overseas Residential
FCO,FCO,8/12/2013,4400217,"28,791.40",KEY 4 LEARNING LTD,Equipment and Services For Disabled Staff
FCO,FCO,8/12/2013,4400217,"28,791.40",KEY 4 LEARNING LTD,Equipment and Services For Disabled Staff
FCO,FCO,8/30/2013,4421576,"177,307.00",KILLYHEVLIN HOTEL,Accommodation
FCO,FCO,8/4/2013,4394791,"41,936.78",KINGDOM CITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/5/2013,4288101,"114,180.00",KPMG FIDUCIAIRE,Rental Payments - residential
FCO,FCO,8/5/2013,4297371,"116,031.50",KPMG FIDUCIAIRE,Rental Payments - residential
FCO,FCO,8/5/2013,4352546,"126,823.80",KPMG FIDUCIAIRE,Rental Payments - residential
FCO,FCO,8/5/2013,4362525,"110,217.10",KPMG FIDUCIAIRE,Rental Payments - residential
FCO,FCO,8/5/2013,4414448,"111,972.30",KPMG FIDUCIAIRE,Rental Payments - residential
FCO,FCO,8/23/2013,4406070,"39,389.82",KUOTU MOTOR CO LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4396861,"79,089.34","KURIHARA (THAILAND) CO., LTD.",Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4396861,"75,580.77","KURIHARA (THAILAND) CO., LTD.",Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/21/2013,4396861,"75,580.77","KURIHARA (THAILAND) CO., LTD.",Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/27/2013,4410749,"31,827.20",LAND ROVER,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/28/2013,4335407,"115,391.40",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,8/19/2013,4406832,"65,621.33",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,8/19/2013,4406832,"65,323.55",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,8/19/2013,4406832,"62,441.77",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,8/19/2013,4406832,"56,408.40",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,8/19/2013,4406832,"56,152.43",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,8/19/2013,4406832,"53,675.23",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,8/13/2013,4398519,"27,721.50",LANKA UNITES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/23/2013,4413179,"41,741.57",LEVEL 3 COMMUNICATIONS UK LTD,Telephone Call Charges
FCO,FCO,8/23/2013,4405950,"28,043.91",LHASSA CONSULTING,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4321346,"26,145.24",LIBERTY LIFE PROPERTIES,Rental Payments - non residential
FCO,FCO,8/15/2013,4404089,"25,088.22",LIBERTY LIFE PROPERTIES,Rental Payments - non residential
FCO,FCO,8/16/2013,4413093,"195,629.70",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,8/17/2013,4413128,"26,997.55",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,8/20/2013,4407958,"49,234.70",LOUGH ERNE,Inward visits to the UK and UK Conferences
FCO,FCO,8/27/2013,4414900,"49,234.70",LOUGH ERNE,Inward visits to the UK and UK Conferences
FCO,FCO,8/29/2013,4419319,"30,574.61",LOUGH ERNE,Inward visits to the UK and UK Conferences
FCO,FCO,8/29/2013,4419319,"25,476.34",LOUGH ERNE,Inward visits to the UK and UK Conferences
FCO,FCO,8/29/2013,4419333,"435,707.90",LOUGH ERNE,Inward visits to the UK and UK Conferences
FCO,FCO,8/29/2013,4419605,"25,000.00",LUCIE BLACKMAN TRUST,Human Rights: Policy and Prisoners
FCO,FCO,8/29/2013,4291822,"108,351.50",M INTEGRATED SOLUTIONS,Inward visits to the UK and UK Conferences
FCO,FCO,8/29/2013,4345158,"54,175.75",M INTEGRATED SOLUTIONS,Inward visits to the UK and UK Conferences
FCO,FCO,8/21/2013,4397830,"192,634.00",MABEY BRIDGE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/21/2013,4397830,"192,634.00",MABEY BRIDGE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4260848,"93,113.96",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4260892,"81,681.12",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4301392,"28,990.11",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4366836,"1,000,000.00",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4404344,"269,956.60",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4404349,"178,585.00",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4404356,"618,727.00",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4404428,"99,406.05",MACE INTERNATIONAL UK LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/5/2013,4394801,"62,293.47",MASOOD AKBAR CONSTRUCTION COMPANY (MACC),Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/5/2013,4394804,"38,232.39",MASOOD AKBAR CONSTRUCTION COMPANY (MACC),Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/5/2013,4394822,"62,807.83",MASOOD AKBAR CONSTRUCTION COMPANY (MACC),Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4405551,"42,440.47",MASTERMINDSHRSG CONSULTING,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4312638,"25,687.53",MEEDAN,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4409632,"94,666.00",MERCYCORPS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/28/2013,4417861,"44,625.00",MERCYCORPS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/29/2013,4355898,"51,568.40",MGI LONDON LTD,Selling into Wider Markets
FCO,FCO,8/30/2013,4391490,"133,887.00",MINES ADVISORY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/8/2013,4397527,"56,342.50",MITEL NETWORKS LTD,Information Systems Maintenance
FCO,FCO,8/28/2013,4392570,"126,308.70",MORSON HUMAN RESOURCES LTD,Residential Property Services
FCO,FCO,8/28/2013,4392574,"34,710.60",MORSON HUMAN RESOURCES LTD,Residential Property Services
FCO,FCO,8/22/2013,4335426,"180,474.70",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4335426,"139,807.80",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4335435,"29,978.00",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4335489,"151,105.00",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4335514,"151,105.00",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4394193,"110,954.00",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4406692,"85,756.86",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/22/2013,4332096,"141,068.00",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,8/23/2013,4412834,"59,838.81",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,8/23/2013,4412950,"61,981.00",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,8/23/2013,4412967,"37,948.74",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,8/23/2013,4413442,"59,783.80",N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,8/23/2013,4324364,"292,977.00",NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/23/2013,4413017,"182,976.00",NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4418803,"47,754.00",NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/5/2013,4394827,"157,147.40",NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/23/2013,4387762,"39,398.39",NATO OFFICE OF FINANCIAL CONTROL,Rental Payments - non residential
FCO,FCO,8/22/2013,4411042,"25,932.74",NAZIR AHMAD AFGHAN CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4411057,"29,960.55",NAZIR AHMAD AFGHAN CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/23/2013,4291939,"68,983.05",NEWSPAPER LICENCING AGENCY(NLA) LTD,Publications
FCO,FCO,8/24/2013,4368839,"130,241.90",NONVIOLENT PEACEFORCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/6/2013,4394428,"122,774.90",NORDIC INTERNATIONAL SUPPORT FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4401439,"48,921.10",NORDIC INTERNATIONAL SUPPORT FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4403589,"38,803.26",NORTEL SECURITY ZAO OP,Local Guards
FCO,FCO,8/29/2013,4416565,"42,649.07",NORTEL SECURITY ZAO OP,Local Guards
FCO,FCO,8/30/2013,4375071,"225,308.00",NORWEGIAN REFUGEE COUNCIL SOMALIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4392494,"25,875.00",NSA ASSOCIATES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4421566,"26,750.00",NSA ASSOCIATES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4356187,"83,923.02",OBSERVATOIRE NATIONAL DE LA JEUNESSE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/22/2013,4345235,"37,736.38",OROSTREAM INTERNATIONAL CONTRACTS LTD,Unscheduled repairs to building infrastructure
FCO,FCO,8/22/2013,4367222,"26,213.34",OROSTREAM INTERNATIONAL CONTRACTS LTD,Unscheduled repairs to building infrastructure
FCO,FCO,8/22/2013,4355210,"28,630.39",OXO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4397768,"89,630.00",PARTNERS FOR DEMOCRATIC CHANGE INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4404147,"25,103.64",PICK EVERARD,Residential Property Services
FCO,FCO,8/20/2013,4408949,"25,493.14",PLC PROJETOS ELETRICOS LTDA,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/30/2013,4392605,"25,436.00",PROGRESSIO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4315578,"31,209.67",PUBLIC INTERNATIONAL LAW AND POLICY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/26/2013,4415158,"45,006.55",RED SEA,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/26/2013,4415158,"40,028.18",RED SEA,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/27/2013,4416397,"181,186.50",RENCO,Rental Payments - non residential
FCO,FCO,8/14/2013,4404646,"35,368.50",RESPONDING TO CONFLICT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4404652,"27,525.00",RESPONDING TO CONFLICT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4389272,"52,044.92",SCHINDLER LIMITED,Construction Project more than £10k
FCO,FCO,8/29/2013,4395186,"45,154.65",SEARCH FOR COMMON GROUND NEPAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/30/2013,4260912,"56,605.71",SECURITY CONTROL,Security: Works Residential
FCO,FCO,8/19/2013,4408352,"26,959.76",SEDER TBS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4403550,"25,915.48",SEMBAYEV ASLAN IE,Rental Payments - residential
FCO,FCO,8/7/2013,4397988,"183,185.00",SIREN ASSOCIATES LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/19/2013,4331675,"29,574.13",SJ CARPENTRY,Construction Project more than £10k
FCO,FCO,8/21/2013,4407263,"25,065.53",SOUTH AFRICAN LIAISON OFFICE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4402871,"33,999.30",ST LAURENT AUTOMOTIVE GROUP,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/14/2013,4387954,"25,038.00",STATT CONSULTING LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4280672,"575,356.00",STERIA LTD,IT/IS Consultancy
FCO,FCO,8/13/2013,4400184,"181,581.00",STRENGTHENING PARTICIPATORY ORGANISATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4400191,"181,581.00",STRENGTHENING PARTICIPATORY ORGANISATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4400191,"181,581.00",STRENGTHENING PARTICIPATORY ORGANISATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4400191,"181,581.00",STRENGTHENING PARTICIPATORY ORGANISATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/21/2013,4416495,"39,695.29","SUN YAT-SEN (ZHONGSHAN) UNIVERSITY, GUANGZHOU",Programme Spend (Oracle Projects Control Account)
