Departmental Family,Entity,Date,Expense type,Expense area,Supplier,Transaction Number,Amount,Description
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Sythwood Primary School,6595529,159135.69,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Crossacres Primary Academy,6591599,159106.07,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Sandye Place Academy,6563861,159063.37,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Chatham & Clarendon Grammar School,6562323,159010.35,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,London Academy,6557927,158943.52,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Withernsea Primary School,6605373,158929.18,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Holbrook Academy,6569391,158826.70,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Crofton Infant School,6582743,158696.87,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Northwick Manor Primary School,6613497,158692.06,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Macclesfield Academy,6567937,158686.38,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Harris Primary Academy Philip Lane,6581925,158629.19,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Bay House School,6574631,158211.27,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Highams Park School,6572091,158195.10,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Cleves School,6561699,158120.70,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Dame Alice Owen's School,6564133,158107.02,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Caistor Grammar School,6561909,158081.57,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Easton Church of England Academy,6598025,158071.03,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Silverdale Primary Academy,6602617,157758.75,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Echelford Primary School,6592825,157715.38,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Battling Brook Primary School,6590861,157693.65,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Bricknell Primary School,6591135,157422.56,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,White Meadows Primary Academy,6597319,157354.36,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Atherton Community School,6579493,157318.87,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Lee Chapel Primary School,6568369,157297.83,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Ipsley CE RSA Academy,6583411,157219.49,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Harris Primary Academy Coleraine Park,6579385,157200.47,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Basildon Upper Academy,6560197,157177.36,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,BURNTWOOD SCHOOL,6591749,157145.77,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Leigh Primary School,6595177,157130.05,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Quintin Kynaston,6573091,157102.69,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Richmond Academy,6587067,157093.60,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Dartmouth Academy,6561551,156942.68,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Trinity Church of England Primary School,6602665,156802.87,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Somervale School Specialist Media Arts College,6561283,156694.98,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Brookside Primary School,6585067,156655.83,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Harris Primary Academy Peckham Park,6570851,156648.71,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Meridian School,6566753,156480.82,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Coppice Primary Academy,6587799,156461.55,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Farlingaye High School,6565717,156383.44,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Putnoe Primary School,6587747,156321.08,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Henlow Church of England Academy,6572891,156315.16,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Roseacre Primary Academy,6582663,156308.69,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Valley Primary School,6569741,156225.80,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Mill Hill County High School,6566701,156158.77,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Wymondham College,6562775,156100.10,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Hill View Primary School,6605891,156085.78,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,Maiden Erlegh School,6563421,156077.60,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Hornbeam Academy Special Academy,6581245,155833.33,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Hope Wood Academy,6583793,155833.33,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Post 16 and Disadvantage Group,South Hunsley School and Sixth Form College,6564489,155721.60,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Braunstone Community Primary School,6614951,155704.03,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Smith's Wood Primary Academy,6599657,155655.14,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Blackfield Primary School,6601983,155595.02,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Dorothy Barley Junior Academy,6598533,155546.98,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,The Gateway Primary Free School,6579689,155518.70,Sixth Form funding payments
