MODGPC47307,11-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,435.20",47307
MODGPC47308,05-Dec-12,Building Materials                 , PLUMBING/HEATING EQUIPMENT,"Ł3,413.47",47308
MODGPC47309,03-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,415.80",47309
MODGPC47310,13-Dec-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł525.46,47310
MODGPC47311,13-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,180.08",47311
MODGPC47312,13-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł671.94,47312
MODGPC47313,11-Dec-12,Building Services                  , ELECTRICAL CONTRACTORS,"Ł1,398.00",47313
MODGPC47314,04-Dec-12,Building Services                  , ELECTRICAL CONTRACTORS,"Ł4,769.93",47314
MODGPC47315,10-Dec-12,Building Services                  , AIR COND/REFRIG REPAIR SHOP,"Ł1,872.00",47315
MODGPC47316,06-Dec-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł1,166.52",47316
MODGPC47317,06-Dec-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł999.56,47317
MODGPC47318,06-Dec-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł815.21,47318
MODGPC47319,06-Dec-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,Ł863.04,47319
MODGPC47320,12-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,823.44",47320
MODGPC47321,12-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł720.53,47321
MODGPC47322,12-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł627.60,47322
MODGPC47323,12-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł505.44,47323
MODGPC47324,12-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,364.40",47324
MODGPC47325,12-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,115.95",47325
MODGPC47326,05-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł693.47,47326
MODGPC47327,11-Dec-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł2,070.30",47327
MODGPC47328,06-Dec-12,Building Services                  , AIR COND/REFRIG REPAIR SHOP,"Ł2,255.16",47328
MODGPC47329,05-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł599.59,47329
MODGPC47330,04-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł657.58,47330
MODGPC47331,11-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł1,252.58",47331
MODGPC47332,04-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł772.40,47332
MODGPC47333,13-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł1,763.57",47333
MODGPC47334,10-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł757.80,47334
MODGPC47335,04-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł3,578.40",47335
MODGPC47336,11-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł648.96,47336
MODGPC47337,12-Dec-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"Ł3,471.67",47337
