Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,04/03/2013,Fees for professional services,Defence Infrastructure Organisation ,SECURITAS SECURITY SERVICES (UK) LIMITED,B6 7SS,175530,Fees for professional services excluding legal fees,"47,702.36"
Ministry of Defence,Ministry of Defence,22/03/2013,Estate management,Air Command,ARAMARK LTD,LS16 6QY,183996,Estate + facilities management services - accommodation inventory + service,"47,667.59"
Ministry of Defence,Ministry of Defence,05/03/2013,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,176026,Utilities consumed - heating oil,"47,543.89"
Ministry of Defence,Ministry of Defence,19/03/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,183075,Fiscal asset under construction - capital in year addition,"47,531.74"
Ministry of Defence,Ministry of Defence,28/03/2013,"Transportation of personnel, freight and travel expenses",Air Command,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,187806,Freight movement costs,"47,508.36"
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 0000002459 - 00156509,,47500
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000150105 - 00156344,,47500
Ministry of Defence,Ministry of Defence,08/03/2013,Payment of utilities,Land Forces,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,177981,Utilities consumed - electricity,"47,376.15"
Ministry of Defence,Ministry of Defence,22/03/2013,Food and clothing,Defence Infrastructure Organisation ,ISS MEDICLEAN LIMITED,GU21 5RW,184577,Cost of clothing and textile services received,"47,374.35"
Ministry of Defence,Defence Science and Technology Laboratory,15/03/2013,Professional Services,Operations,CRANFIELD UNIVERSITY,,V - 9000150278 - 00157196,,47313
Ministry of Defence,United Kingom Hydrographic Office,20/03/2013,Computer maintenance & hire,ICT Delivery Business Group,ENVITIA LTD,,2000063451,Computer maintenance & hire,"47,099.00"
Ministry of Defence,United Kingom Hydrographic Office,22/03/2013,Computer maintenance & hire,ICT Delivery Business Group,ENVITIA LTD,,2000063493,Computer maintenance & hire,"47,099.00"
Ministry of Defence,Ministry of Defence,19/03/2013,Spend on Inventory - General,Defence Equipment & Support,ANIXTER LIMITED,RG12 1YQ,182900,Spend on Inventory - General,"47,058.00"
Ministry of Defence,Defence Support Group,14/03/2013,Works - Fees,Business Stream 2,BABCOCK SUPPORT SERVICES LTD,,10194601,Works - Fees,"46,845.51"
Ministry of Defence,Ministry of Defence,18/03/2013,Estate management,Land Forces,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,182147,Estate + facilities management services - accommodation inventory + service,"46,831.97"
Ministry of Defence,Ministry of Defence,18/03/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,182868,Fiscal asset under construction - capital in year addition,"46,828.00"
Ministry of Defence,Ministry of Defence,13/03/2013,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,179993,Cost of food services,"46,809.46"
Ministry of Defence,Ministry of Defence,07/03/2013,Spend on Inventory - General,Defence Equipment & Support,JOSEPH GLEAVE & SON LTD,M32 0NB,177465,Spend on Inventory - General,"46,780.41"
Ministry of Defence,Ministry of Defence,13/03/2013,IT and communication services,Navy Command,EVOLVE BUSINESS CONSULTANCY LTD,GU10 1DW,180152,Information technology services,"46,710.41"
Ministry of Defence,Ministry of Defence,18/03/2013,IT and communication services,Navy Command,EVOLVE BUSINESS CONSULTANCY LTD,GU10 1DW,182331,Information technology services,"46,710.41"
Ministry of Defence,Ministry of Defence,12/03/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,BRIDGEHEAD CONTAINER SERVICES LTD,L3 1DS,179404,Freight movement costs,"46,641.45"
Ministry of Defence,Ministry of Defence,28/03/2013,Administration,Head Office & Corporate Services,DENNIS CARTER LIMITED,W1H 5AQ,187802,General administration,"46,612.00"
Ministry of Defence,Defence Science and Technology Laboratory,15/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000150353 - 00154236,,46583.27
Ministry of Defence,Council of Reserve Forces and Cadets Associations,15/03/2013,Assets in the Course of Construction,Capital Expenditure,DAVID BEVERIDGE LTD,,9387,Assets in the Course of Construction,"46,424.44"
Ministry of Defence,Ministry of Defence,20/03/2013,Payment of utilities,Defence Equipment & Support,GB OILS LIMITED,FK5 4RB,183578,Utilities consumed - heating oil,"46,329.01"
Ministry of Defence,Ministry of Defence,28/03/2013,"Public relations, including marketing and advertising",Navy Command,M-INTEGRATED SOLUTIONS PLC,TW8 9LY,188160,Public relations services including items such as sales marketing and advertising,"46,260.00"
Ministry of Defence,Defence Science and Technology Laboratory,01/03/2013,Sub Contracted Work,Operations,SVGC LIMITED,,V - 9000149804 - 00155048,,46152.64
Ministry of Defence,Defence Science and Technology Laboratory,22/03/2013,Materials & Equipment,Operations,SERCO LIMITED (LABORATORY ASSETS ONLY),,V - 9000150574 - 00157957,,46129.02
Ministry of Defence,Ministry of Defence,13/03/2013,"Transportation of personnel, freight and travel expenses",Land Forces,ARS FRAUKE ARNDT GMBH,,5000093393,Movement of service personnel,"46,127.97"
Ministry of Defence,Ministry of Defence,20/03/2013,General services and support,Land Forces,CANOE SPORT LIMITED,WS3 2LT,183468,Purchase of defence support equipment below capitalisation threshold of £25k.,"46,032.71"
Ministry of Defence,Ministry of Defence,28/03/2013,Externally delivered education and training,Land Forces,GEMCO EQUIPMENT LTD,NN1 1QG,188027,External military training ,"46,020.00"
Ministry of Defence,Ministry of Defence,01/03/2013,Research and development,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,174462,Research and development incurred on projects with defence science and technology laboratory,"45,959.40"
Ministry of Defence,Ministry of Defence,08/03/2013,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,178317,Works - estate management,"45,899.07"
