Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total,
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES LIMITED,B75 7RL,461317,Fiscal asset under construction - capital in year addition,"£1,795,288.72"
Ministry of Defence,Ministry of Defence,27/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,461719,Estate + facilities management services - accommodation inventory + service,"£1,749,641.95"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,HAMBLETON DISTRICT COUNCIL,DL6 2UU,455036,Rent buildings - non civil estate property and married quarter property,"£1,737,825.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,NORTHUMBERLAND COUNTY COUNCIL,NE61 2EF,455209,Rent buildings - non civil estate property and married quarter property,"£1,734,317.89"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,LONDON BOROUGH OF HILLINGDON,UB8 1UW,455092,Rent buildings - non civil estate property and married quarter property,"£1,708,290.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,CHERWELL DISTRICT COUNCIL,OX15 4BH,454927,Rent buildings - non civil estate property and married quarter property,"£1,706,035.50"
Ministry of Defence,Ministry of Defence,17/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,458292,Fiscal asset under construction - capital in year addition,"£1,695,527.84"
Ministry of Defence,Ministry of Defence,07/04/2015,Rent and rates,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,453457,Rent buildings - non civil estate property and married quarter property,"£1,683,317.01"
Ministry of Defence,Ministry of Defence,27/04/2015,Rent and rates,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,461197,Rent buildings - non civil estate property and married quarter property,"£1,683,317.01"
Ministry of Defence,Ministry of Defence,28/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000126784,Works - estate management,"£1,680,219.19"
Ministry of Defence,Ministry of Defence,10/04/2015,Fees for professional services,HO+CS,SERVICES SOUND & VISION CORPORATION,SL9 8TN,455988,Fees for professional services excluding legal fees,"£1,658,587.00"
Ministry of Defence,Ministry of Defence,15/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000126303,Works - estate management,"£1,633,217.30"
Ministry of Defence,Ministry of Defence,17/04/2015,Fees for professional services,JFC,SERCO LIMITED,RG27 9UY,458585,Fees for professional services excluding legal fees,"£1,630,687.46"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,TEST VALLEY BOROUGH COUNCIL,SP10 3AJ,455345,Rent buildings - non civil estate property and married quarter property,"£1,624,722.30"
Ministry of Defence,Ministry of Defence,07/04/2015,Fees for professional services,DES Bespoke Trading Entity,ERNST & YOUNG LLP,SE1 2AF,453557,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"£1,621,569.70"
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,HMRC SHIPLEY,BD98 8AA,461428,Single use military equipment asset under construction - capital in year addition,"£1,600,000.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,TELFORD & WREKIN COUNCIL,TF3 4LF,455343,Rent buildings - non civil estate property and married quarter property,"£1,595,766.75"
Ministry of Defence,Ministry of Defence,16/04/2015,General services and support,Defence Equipment + Support,IBM UNITED KINGDOM LIMITED,PO6 3AE,457827,Defence equipment CLS/IOS service charge,"£1,577,608.73"
Ministry of Defence,Ministry of Defence,29/04/2015,Fees for professional services,DES Bespoke Trading Entity,BECHTEL MANAGEMENT COMPANY LIMITED,EC4 6RN,462227,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"£1,569,499.28"
Ministry of Defence,Ministry of Defence,07/04/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,453563,Property dwellings private finance initiative - service concession arrangement service charge,"£1,559,403.52"
Ministry of Defence,Ministry of Defence,15/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,457100,Fiscal private finance initiative asset under construction - capital in year addition,"£1,517,734.63"
Ministry of Defence,Ministry of Defence,08/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,454334,Fiscal asset under construction - capital in year addition,"£1,517,194.77"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,EAST HAMPSHIRE DISTRICT COUNCIL,GU31 4EX,454992,Rent buildings - non civil estate property and married quarter property,"£1,508,456.75"
Ministry of Defence,Ministry of Defence,28/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,461990,Works services - excluding United States forces/NATO + married quarters,"£1,506,968.37"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,BOROUGH COUNCIL OF KINGS LYNN & WEST NORFOLK,PE30 1PX,454871,Rent buildings - non civil estate property and married quarter property,"£1,479,000.00"
Ministry of Defence,Ministry of Defence,08/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,BRIGGS EQUIPMENT UK LIMITED,OX14 1RG,454352,Equipment support non-project costs,"£1,467,334.39"
Ministry of Defence,Ministry of Defence,08/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000126042,Works - estate management,"£1,466,536.33"
Ministry of Defence,Ministry of Defence,16/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,SKANSKA UK PLC,WD3 9SW,458067,Fees for professional services excluding legal fees,"£1,443,231.60"
Ministry of Defence,Ministry of Defence,20/04/2015,IT and communication services,JFC,NORTHROP GRUMMAN MISSION SYSTEMS EUROPE LIMITED,PO15 7AZ,459063,Information technology services,"£1,426,676.82"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,EAST LINDSEY DISTRICT COUNCIL,LN11 8XN,454993,Rent buildings - non civil estate property and married quarter property,"£1,423,450.00"
Ministry of Defence,Ministry of Defence,20/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,458883,Utilities consumed - electricity,"£1,417,739.37"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,Defence Equipment + Support,ITURRI SA,OX16 3TA,3000012294,Spend on Inventory - General,"£1,414,651.57"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,THREE RIVERS DISTRICT COUNCIL,WD3 1RL,455364,Rent buildings - non civil estate property and married quarter property,"£1,409,980.00"
Ministry of Defence,Ministry of Defence,29/04/2015,Spend on Inventory - General,Defence Equipment + Support,NATO SUPPORT AGENCY (NSPA),WD3 1RL,5000126831,Spend on Inventory - General,"£1,373,428.60"
Ministry of Defence,Ministry of Defence,07/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,MARSHALL LAND SYSTEMS LTD,CB5 8RP,453627,Equipment support non-project costs,"£1,364,560.78"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,HARROGATE BOROUGH COUNCIL,HG1 2SG,455039,Rent buildings - non civil estate property and married quarter property,"£1,357,747.50"
Ministry of Defence,Ministry of Defence,08/04/2015,Research and development,DES Bespoke Trading Entity,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,454327,Research and development at the pre main gate stage of a project,"£1,339,529.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SHEPWAY DISTRICT COUNCIL,CT20 2QY,455291,Rent buildings - non civil estate property and married quarter property,"£1,325,615.50"
Ministry of Defence,Ministry of Defence,07/04/2015,Spend on Inventory - General,Defence Equipment + Support,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,453569,Spend on Inventory - General,"£1,321,478.13"
Ministry of Defence,Ministry of Defence,28/04/2015,Spend on Inventory - General,Defence Equipment + Support,ITURRI SA,OX16 3TA,3000012304,Spend on Inventory - General,"£1,271,153.43"
Ministry of Defence,Ministry of Defence,23/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,GLASGOW CITY COUNCIL,G1 1ET,460431,Rent buildings - non civil estate property and married quarter property,"£1,268,242.50"
