Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total,
Ministry of Defence,Ministry of Defence,23/04/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,460287,Cost of other material consumed,"£2,245.24"
Ministry of Defence,Ministry of Defence,08/04/2015,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,454799,Cost of other material consumed,"£2,242.90"
Ministry of Defence,Ministry of Defence,16/04/2015,"Transportation of personnel, freight and travel expenses",Navy Command,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,457741,Freight movement costs,"£2,241.94"
Ministry of Defence,Ministry of Defence,09/04/2015,Spend on Inventory - General,Defence Equipment + Support,NP AEROSPACE LTD,CV6 5AQ,455214,Spend on Inventory - General,"£2,192.70"
Ministry of Defence,Ministry of Defence,10/04/2015,"Purchase of munitions, other inventory or fuel",Air Command,SERVICE SPORT (UK) LTD,PR6 7BX,455987,Raw materials and consumable clothing and textiles inventory purchased,"£2,180.16"
Ministry of Defence,Ministry of Defence,20/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,458958,Estate core services charge,"£2,179.03"
Ministry of Defence,Ministry of Defence,10/04/2015,Administration,JFC,ROYAL MAIL GROUP LIMITED,S49 1HQ,455971,General administration,"£2,170.64"
Ministry of Defence,Ministry of Defence,07/04/2015,Estate management,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,453518,Estate + facilities management services - accommodation inventory + service,"£2,160.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,459308,Cost of other material consumed,"£2,140.51"
Ministry of Defence,Ministry of Defence,23/04/2015,IT and communication services,JFC,PROBRAND LIMITED,B1 3BP,460591,Computer equipment costing below the capitalisation threshold,"£2,132.74"
Ministry of Defence,Ministry of Defence,20/04/2015,Purchase of inventory and services ,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,459146,Cost of other material consumed,"£2,132.21"
Ministry of Defence,Ministry of Defence,08/04/2015,Fuel for military use,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Oil and lubricants consumed excluding those from the inventory system,"£2,126.96"
Ministry of Defence,Ministry of Defence,27/04/2015,Transport hire charges,DES Bespoke Trading Entity,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,461687,Transport other operating lease,"£2,109.79"
Ministry of Defence,Ministry of Defence,14/04/2015,Purchase of inventory and services ,HO+CS,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,456610,Cost of other material consumed,"£2,096.68"
Ministry of Defence,Ministry of Defence,16/04/2015,Fees for professional services,HO+CS,WORDWAVE INTERNATIONAL LIMITED,EC2A 1ER,458156,Fees for professional services excluding legal fees,"£2,094.16"
Ministry of Defence,Ministry of Defence,10/04/2015,Design services and minor equipment purchases,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,455459,Equipment support non-project costs,"£2,085.60"
Ministry of Defence,Ministry of Defence,17/04/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,458225,Cost of other material consumed,"£2,073.66"
Ministry of Defence,Ministry of Defence,17/04/2015,"Transportation of personnel, freight and travel expenses",JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,458287,Military short term detached duty,"£2,069.97"
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of inventory and services ,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,461209,Cost of other material consumed,"£2,064.54"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,XMA LTD,NG11 7EP,456082,Cost of other material consumed,"£2,058.82"
Ministry of Defence,Ministry of Defence,16/04/2015,Food and clothing,Air Command,TURNER VIRR & CO. LTD,LS25 2DY,458122,Cost of purchasing and repairing clothing,"£2,035.25"
Ministry of Defence,Ministry of Defence,30/04/2015,"Transportation of personnel, freight and travel expenses",JFC,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,462866,Freight movement costs,"£2,030.58"
Ministry of Defence,Ministry of Defence,17/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,458288,Fiscal asset under construction - capital in year addition,"£2,021.07"
Ministry of Defence,Ministry of Defence,07/04/2015,Purchase of inventory and services ,HO+CS,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,453486,Cost of other material consumed,"£2,019.51"
Ministry of Defence,Ministry of Defence,09/04/2015,Medical treatment & stores and welfare services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Medical-non hospital treatment,"£2,018.27"
Ministry of Defence,Ministry of Defence,10/04/2015,IT and communication services,Navy Command,SOFTWARE BOX LIMITED,YO61 1ET,456003,Computer equipment costing below the capitalisation threshold,"£2,018.14"
Ministry of Defence,Ministry of Defence,20/04/2015,"Transportation of personnel, freight and travel expenses",JFC,METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,459023,Freight movement costs,"£2,017.25"
Ministry of Defence,Ministry of Defence,07/04/2015,Purchase of inventory and services ,HO+CS,SERCO LIMITED,RG27 9UY,453699,Cost of other material consumed,"£2,007.26"
Ministry of Defence,Ministry of Defence,24/04/2015,"Transportation of personnel, freight and travel expenses",DEFENCE INFRASTRUCTURE ORGANISATION,AGILITY LOGISTICS LIMITED,RG1 2LG,460763,Movement of service personnel,"£2,005.49"
Ministry of Defence,Ministry of Defence,15/04/2015,Estate management,Air Command,XMA LTD,NG11 7EP,457581,Estate + facilities management services - accommodation inventory + service,"£1,980.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,455477,Cost of other material consumed,"£1,978.42"
Ministry of Defence,Ministry of Defence,08/04/2015,Official entertainment and hospitality,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Entertainment + hospitality,"£1,965.52"
Ministry of Defence,Ministry of Defence,13/04/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,456131,Cost of other material consumed,"£1,965.49"
Ministry of Defence,Ministry of Defence,20/04/2015,IT and communication services,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,459146,IT Services -internal costs,"£1,957.80"
Ministry of Defence,Ministry of Defence,08/04/2015,"Transportation of personnel, freight and travel expenses",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Military short term detached duty,"£1,955.70"
Ministry of Defence,Ministry of Defence,28/04/2015,Purchase of inventory and services ,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,461888,Cost of other material consumed,"£1,945.47"
Ministry of Defence,Ministry of Defence,15/04/2015,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,457581,Cost of other material consumed,"£1,944.03"
Ministry of Defence,Ministry of Defence,09/04/2015,Fuel for military use,Navy Command,BOC LIMITED,M28 2UT,454869,Cost of industrial gas fuel consumed,"£1,929.83"
Ministry of Defence,Ministry of Defence,07/04/2015,"Transportation of personnel, freight and travel expenses",Land Forces,SERCO LIMITED,RG27 9UY,453699,Military short term detached duty,"£1,925.88"
Ministry of Defence,Ministry of Defence,16/04/2015,Medical treatment & stores and welfare services,Land Forces,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,457818,Medical health services,"£1,925.10"
Ministry of Defence,Ministry of Defence,15/04/2015,IT and communication services,Air Command,XMA LTD,NG11 7EP,457581,Computer equipment costing below the capitalisation threshold,"£1,924.39"
Ministry of Defence,Ministry of Defence,30/04/2015,Design services and minor equipment purchases,DES Bespoke Trading Entity,SOPRA STERIA LIMITED,HP2 7AH,463194,Equipment support non-project costs,"£1,920.00"
Ministry of Defence,Ministry of Defence,16/04/2015,Energy conservation and environmental charges.,DES Bespoke Trading Entity,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,457736,Energy conservation and environmental charges,"£1,904.30"
Ministry of Defence,Ministry of Defence,15/04/2015,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,457200,Freight movement costs,"£1,885.28"
Ministry of Defence,Ministry of Defence,08/04/2015,Externally delivered education and training,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,External training - civilian,"£1,885.26"
Ministry of Defence,Ministry of Defence,20/04/2015,Purchase of inventory and services ,HO+CS,XMA LTD,NG11 7EP,459247,Cost of other material consumed,"£1,882.92"
Ministry of Defence,Ministry of Defence,13/04/2015,IT and communication services,Defence Equipment + Support,SOFTWARE BOX LIMITED,YO61 1ET,456467,Computer equipment costing below the capitalisation threshold,"£1,876.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Estate management,Defence Equipment + Support,CARILLIONAMEY LIMITED,WV1 4HY,459337,Estate core services charge,"£1,871.75"
Ministry of Defence,Ministry of Defence,08/04/2015,Transport hire charges,JFC,BUSVERKEHR OSTWESTFALEN GMBH,WV1 4HY,5000126021,Transport other hire charge,"£1,868.38"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,Air Command,BUNZL UK LIMITED,RG7 4XE,461249,Spend on Inventory - General,"£1,862.98"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,455431,Consumption of medical dental and veterinary inventory,"£1,860.36"
Ministry of Defence,Ministry of Defence,07/04/2015,Purchase of inventory and services ,Land Forces,CANON (UK) LIMITED,RH2 8BF,453506,Cost of other material consumed,"£1,858.59"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of inventory and services ,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,455477,Cost of other material consumed,"£1,854.87"
Ministry of Defence,Ministry of Defence,14/04/2015,Externally delivered education and training,JFC,CAPITA BUSINESS SERVICES LTD,SW1H 0XA,456635,External training - civilian,"£1,852.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Estate management,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,455016,Works - estate management,"£1,842.86"
Ministry of Defence,Ministry of Defence,27/04/2015,Food and clothing,Navy Command,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,461295,Cost of food purchases,"£1,829.74"
Ministry of Defence,Ministry of Defence,30/04/2015,"Transportation of personnel, freight and travel expenses",Navy Command,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,462866,Freight movement costs,"£1,801.86"
Ministry of Defence,Ministry of Defence,22/04/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,459859,Cost of clothing and textile services received,"£1,791.57"
Ministry of Defence,Ministry of Defence,27/04/2015,Estate management,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Estate core services charge,"£1,785.86"
Ministry of Defence,Ministry of Defence,09/04/2015,"Transportation of personnel, freight and travel expenses",JFC,AGILITY LOGISTICS LIMITED,RG1 2LG,454816,Movement of service personnel,"£1,785.81"
Ministry of Defence,Ministry of Defence,24/04/2015,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,461138,Cost of other material consumed,"£1,780.40"
Ministry of Defence,Ministry of Defence,22/04/2015,Official entertainment and hospitality,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Entertainment + hospitality,"£1,763.60"
Ministry of Defence,Ministry of Defence,15/04/2015,Purchase of inventory and services ,Defence Equipment + Support,XMA LTD,NG11 7EP,457581,Cost of other material consumed,"£1,759.76"
Ministry of Defence,Ministry of Defence,28/04/2015,IT and communication services,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,462107,Computer equipment costing below the capitalisation threshold,"£1,750.45"
Ministry of Defence,Ministry of Defence,28/04/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,461888,Cost of other material consumed,"£1,747.77"
Ministry of Defence,Ministry of Defence,08/04/2015,Design services and minor equipment purchases,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,454714,Equipment support project costs,"£1,740.96"
Ministry of Defence,Ministry of Defence,09/04/2015,Administration,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,455016,General administration,"£1,740.83"
Ministry of Defence,Ministry of Defence,16/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,457739,Equipment support non-project costs,"£1,732.50"
Ministry of Defence,Ministry of Defence,21/04/2015,IT and communication services,Navy Command,SOFTWARE BOX LIMITED,YO61 1ET,459629,Computer equipment costing below the capitalisation threshold,"£1,719.43"
Ministry of Defence,Ministry of Defence,16/04/2015,IT and communication services,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,458070,Computer equipment costing below the capitalisation threshold,"£1,714.26"
Ministry of Defence,Ministry of Defence,21/04/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,459704,Cost of other material consumed,"£1,712.13"
Ministry of Defence,Ministry of Defence,29/04/2015,Externally delivered education and training,Air Command,J A MAFFIA T/A JOHNS SCHOOL OF MOTORING,N18 2QD,462413,External military training ,"£1,710.00"
Ministry of Defence,Ministry of Defence,27/04/2015,Food and clothing,Navy Command,TURNER VIRR & CO. LTD,LS25 2DY,461802,Cost of clothing and textile services received,"£1,695.90"
Ministry of Defence,Ministry of Defence,23/04/2015,Spend on Inventory - General,Air Command,FORBO FLOORING UK LIMITED.,KY1 2SB,460418,Spend on Inventory - General,"£1,693.27"
Ministry of Defence,Ministry of Defence,27/04/2015,Food and clothing,Land Forces,SODEXO LTD,M50 0AL,461719,Cost of food services,"£1,687.23"
Ministry of Defence,Ministry of Defence,13/04/2015,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,456088,Consumption of medical dental and veterinary inventory,"£1,686.05"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,Land Forces,CANON (UK) LIMITED,RH2 8BF,453506,Computer equipment costing below the capitalisation threshold,"£1,680.47"
Ministry of Defence,Ministry of Defence,27/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,461200,Equipment support non-project costs,"£1,672.93"
Ministry of Defence,Ministry of Defence,20/04/2015,IT and communication services,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,459146,IT Services -internal costs,"£1,668.00"
Ministry of Defence,Ministry of Defence,29/04/2015,Externally delivered education and training,Air Command,SERCO LIMITED,RG27 9UY,462591,External military training ,"£1,666.67"
Ministry of Defence,Ministry of Defence,24/04/2015,Purchase of inventory and services ,Defence Equipment + Support,AAH PHARMACEUTICALS LTD,CV2 2TX,460758,Consumption of medical dental and veterinary inventory,"£1,664.95"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,Navy Command,BUNZL UK LIMITED,RG7 4XE,461249,Spend on Inventory - General,"£1,661.68"
Ministry of Defence,Ministry of Defence,22/04/2015,Spend on Inventory - General,DEFENCE INFRASTRUCTURE ORGANISATION,RIGHTON LIMITED,BS37 5FF,460112,Spend on Inventory - General,"£1,654.59"
Ministry of Defence,Ministry of Defence,08/04/2015,"Transportation of personnel, freight and travel expenses",JFC,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Military short term detached duty,"£1,647.68"
Ministry of Defence,Ministry of Defence,23/04/2015,IT and communication services,Land Forces,PROBRAND LIMITED,B1 3BP,460591,Computer equipment costing below the capitalisation threshold,"£1,645.78"
Ministry of Defence,Ministry of Defence,10/04/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,455566,Cost of clothing and textile services received,"£1,643.44"
Ministry of Defence,Ministry of Defence,08/04/2015,Rent and rates,HO+CS,DEPARTMENT FOR WORK AND PENSIONS,CF14 3UW,454426,Rent buildings - non civil estate property and married quarter property,"£1,642.49"
Ministry of Defence,Ministry of Defence,23/04/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,460751,Cost of other material consumed,"£1,633.29"
Ministry of Defence,Ministry of Defence,07/04/2015,"Transportation of personnel, freight and travel expenses",DEFENCE INFRASTRUCTURE ORGANISATION,AGILITY LOGISTICS LIMITED,RG1 2LG,453434,Movement of service personnel,"£1,624.02"
Ministry of Defence,Ministry of Defence,17/04/2015,Purchase of inventory and services ,HO+CS,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,458225,Cost of other material consumed,"£1,621.36"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of inventory and services ,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,455534,Cost of other material consumed,"£1,603.17"
Ministry of Defence,Ministry of Defence,07/04/2015,Purchase of inventory and services ,Land Forces,SPECIALIST COMPUTER CENTRES PLC,B11 2LE,453713,Cost of other material consumed,"£1,602.27"
Ministry of Defence,Ministry of Defence,08/04/2015,"Adminstration, claims, compensation and awards",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Cost of claims/compensation and related expenses against MOD,"£1,600.93"
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of inventory and services ,HO+CS,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,461209,Cost of other material consumed,"£1,591.72"
Ministry of Defence,Ministry of Defence,09/04/2015,IT and communication services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Line + telephone rental including commercial charge for use of radio frequencies,"£1,585.95"
Ministry of Defence,Ministry of Defence,09/04/2015,IT and communication services,Land Forces,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,455016,Line + telephone rental including commercial charge for use of radio frequencies,"£1,572.60"
Ministry of Defence,Ministry of Defence,27/04/2015,"Transportation of personnel, freight and travel expenses",Land Forces,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,461687,Movement of service personnel,"£1,569.57"
Ministry of Defence,Ministry of Defence,30/04/2015,Administration,Air Command,ROYAL MAIL GROUP LIMITED,S49 1HQ,463152,General administration,"£1,565.17"
Ministry of Defence,Ministry of Defence,07/04/2015,"Transportation of personnel, freight and travel expenses",Navy Command,SHELDON CLAYTON LOGISTICS LIMITED,B70 0BD,453703,Freight movement costs,"£1,556.80"
Ministry of Defence,Ministry of Defence,27/04/2015,Estate management,JFC,ELIOR UK PLC,SK11 6ET,461358,Works - estate management,"£1,555.07"
Ministry of Defence,Ministry of Defence,13/04/2015,Spend on Inventory - General,Navy Command,BUNZL UK LIMITED,RG7 4XE,456159,Spend on Inventory - General,"£1,553.23"
Ministry of Defence,Ministry of Defence,14/04/2015,Purchase of inventory and services ,Defence Equipment + Support,HENRY SCHEIN UK HOLDINGS LIMITED,ME8 0SB,456747,Consumption of medical dental and veterinary inventory,"£1,551.97"
Ministry of Defence,Ministry of Defence,10/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,455459,Works - estate management,"£1,542.28"
Ministry of Defence,Ministry of Defence,20/04/2015,Spend on Inventory - General,JFC,YAKUPOGLU A.S.,BD19 3QF,459249,Spend on Inventory - General,"£1,541.53"
Ministry of Defence,Ministry of Defence,13/04/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,456556,Cost of other material consumed,"£1,541.15"
Ministry of Defence,Ministry of Defence,13/04/2015,Purchase of inventory and services ,JFC,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,456131,Cost of other material consumed,"£1,534.33"
Ministry of Defence,Ministry of Defence,08/04/2015,Purchase of inventory and services ,HO+CS,XMA LTD,NG11 7EP,454799,Cost of other material consumed,"£1,532.07"
Ministry of Defence,Ministry of Defence,16/04/2015,"Transportation of personnel, freight and travel expenses",Air Command,SEACO GLOBAL LIMITED,SE1 9RY,458052,Freight movement costs,"£1,515.50"
Ministry of Defence,Ministry of Defence,30/04/2015,"Transportation of personnel, freight and travel expenses",DEFENCE INFRASTRUCTURE ORGANISATION,AGILITY LOGISTICS LIMITED,RG1 2LG,462710,Movement of service personnel,"£1,513.20"
Ministry of Defence,Ministry of Defence,20/04/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,459247,Cost of other material consumed,"£1,509.23"
Ministry of Defence,Ministry of Defence,16/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,457736,Fees for professional services excluding legal fees,"£1,502.31"
Ministry of Defence,Ministry of Defence,20/04/2015,Design services and minor equipment purchases,Air Command,MAXAURA LIMITED,HP11 2SW,459016,Equipment support non-project costs,"£1,497.60"
Ministry of Defence,Ministry of Defence,20/04/2015,Spend on Inventory - General,Air Command,ARNOLD LAVER & COMPANY LIMITED,S2 4RJ,458736,Spend on Inventory - General,"£1,489.95"
Ministry of Defence,Ministry of Defence,09/04/2015,Payment of utilities,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Utilities consumed - electricity,"£1,485.56"
Ministry of Defence,Ministry of Defence,20/04/2015,"Transportation of personnel, freight and travel expenses",Air Command,METCALFE FARMS (HAULAGE) LIMITED,DL8 5JZ,459023,Freight movement costs,"£1,485.45"
Ministry of Defence,Ministry of Defence,21/04/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,459308,Cost of other material consumed,"£1,483.89"
Ministry of Defence,Ministry of Defence,17/04/2015,Spend on Inventory - General,JFC,FORBO FLOORING UK LIMITED.,KY1 2SB,458338,Spend on Inventory - General,"£1,470.80"
Ministry of Defence,Ministry of Defence,09/04/2015,"Adminstration, claims, compensation and awards",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Cost of claims/compensation and related expenses against MOD,"£1,463.60"
Ministry of Defence,Ministry of Defence,16/04/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,458160,Cost of other material consumed,"£1,458.91"
Ministry of Defence,Ministry of Defence,30/04/2015,IT and communication services,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,463190,Computer equipment costing below the capitalisation threshold,"£1,457.06"
Ministry of Defence,Ministry of Defence,16/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,457736,Equipment support project costs,"£1,456.87"
Ministry of Defence,Ministry of Defence,09/04/2015,Transport hire charges,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Transport other hire charge,"£1,455.44"
Ministry of Defence,Ministry of Defence,08/04/2015,Payment of utilities,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Utilities consumed - heating oil,"£1,454.71"
Ministry of Defence,Ministry of Defence,29/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,RYDER PUBLIC LIMITED COMPANY,SK16 4UL,462581,Equipment support non-project costs,"£1,451.30"
Ministry of Defence,Ministry of Defence,16/04/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK LTD,LS16 6QY,457622,Cost of food services,"£1,450.27"
Ministry of Defence,Ministry of Defence,16/04/2015,Food and clothing,Defence Equipment + Support,ARAMARK LTD,LS16 6QY,457622,Cost of food services,"£1,441.67"
Ministry of Defence,Ministry of Defence,24/04/2015,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,460827,Computer equipment costing below the capitalisation threshold,"£1,426.23"
Ministry of Defence,Ministry of Defence,28/04/2015,IT and communication services,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Line + telephone rental including commercial charge for use of radio frequencies,"£1,424.70"
Ministry of Defence,Ministry of Defence,27/04/2015,Administration,Land Forces,ROYAL MAIL GROUP LIMITED,S49 1HQ,461682,General administration,"£1,421.94"
Ministry of Defence,Ministry of Defence,30/04/2015,Transport hire charges,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Transport other hire charge,"£1,418.41"
Ministry of Defence,Ministry of Defence,08/04/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,454337,Cost of other material consumed,"£1,414.37"
Ministry of Defence,Ministry of Defence,20/04/2015,Purchase of inventory and services ,HO+CS,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,458762,Cost of other material consumed,"£1,413.70"
Ministry of Defence,Ministry of Defence,16/04/2015,Externally delivered education and training,Air Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,457687,External military training ,"£1,410.35"
Ministry of Defence,Ministry of Defence,08/04/2015,Estate management,Land Forces,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Works - estate management,"£1,403.25"
Ministry of Defence,Ministry of Defence,17/04/2015,Spend on Inventory - General,Air Command,FORBO FLOORING UK LIMITED.,KY1 2SB,458338,Spend on Inventory - General,"£1,402.89"
Ministry of Defence,Ministry of Defence,20/04/2015,Spend on Inventory - General,Land Forces,YAKUPOGLU A.S.,BD19 3QF,459249,Spend on Inventory - General,"£1,402.43"
Ministry of Defence,Ministry of Defence,28/04/2015,IT and communication services,Air Command,XMA LTD,NG11 7EP,462157,Computer equipment costing below the capitalisation threshold,"£1,397.93"
Ministry of Defence,Ministry of Defence,22/04/2015,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,459833,Spend on Inventory - General,"£1,390.73"
Ministry of Defence,Ministry of Defence,20/04/2015,Purchase of inventory and services ,Navy Command,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,458762,Cost of other material consumed,"£1,390.33"
Ministry of Defence,Ministry of Defence,30/04/2015,Externally delivered education and training,DES Bespoke Trading Entity,CAPITA BUSINESS SERVICES LTD,DL1 9HN,462803,External training - civilian,"£1,390.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,456082,Cost of other material consumed,"£1,383.09"
Ministry of Defence,Ministry of Defence,27/04/2015,Design services and minor equipment purchases,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Equipment support non-project costs,"£1,381.78"
Ministry of Defence,Ministry of Defence,07/04/2015,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,PALLETWAYS (U K) LTD,WS13 8NE,453652,Freight movement costs,"£1,379.50"
Ministry of Defence,Ministry of Defence,21/04/2015,Externally delivered education and training,JFC,CAPITA BUSINESS SERVICES LTD,DL1 9HN,459331,External training - civilian,"£1,375.00"
Ministry of Defence,Ministry of Defence,22/04/2015,IT and communication services,Navy Command,KELWAY LIMITED,EC4M 7RB,185651,Computer equipment costing below the capitalisation threshold,"£1,371.31"
Ministry of Defence,Ministry of Defence,21/04/2015,Purchase of inventory and services ,HO+CS,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,459308,Cost of other material consumed,"£1,365.06"
Ministry of Defence,Ministry of Defence,28/04/2015,"Transportation of personnel, freight and travel expenses",HO+CS,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,461937,Freight movement costs,"£1,363.47"
