Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001885421," 197,449.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001885421," 8,751,822.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001885421," 948,158.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001885421," 4,707,594.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001885421," 80,131.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,BRISTOL CITY COUNCIL 1 (G),1001885422," 35,965.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001885423," 97,709.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001885423," 4,042,102.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001885423," 401,871.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001885423," 2,033,417.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001885423," 44,147.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001885424," 1,533,590.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001885424," 2,802,142.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001885424," 377,432.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CITY OF WAKEFIELD METROPOLITAN DISTRICT COUNCIL (G),1001885425," 34,574.51 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CUMBRIA COUNTY COUNCIL 1 (G),1001885429," 25,912.12 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001885430," 71,484.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001885430," 2,393,398.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001885430," 332,662.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001885430," 2,568,502.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,DORSET COUNTY COUNCIL 1 (G),1001885431," 30,700.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001885432," 110,876.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001885432," 3,436,293.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001885432," 500,784.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001885432," 1,444,394.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001885432," 48,221.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001885433," 14,470,789.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001885433," 71,790,375.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001885433," 9,972,993.00 ",,,
Home Office,Home Office,05/07/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001885433," 62,482,804.00 ",,,
