EA Dec 2011 - >Ł25k Payments report FINAL,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
13-Dec-11,Leasing,HO Fleet - EA Wales,Hewden Stuart Plc,1023444,"Ł30,140.59",Consolidated plant hire charges  ,M32 0HW,,40019499,,Administration
15-Dec-11,Leasing,HO Fleet Operations,Hewden Stuart Plc,1023580,"Ł486,679.54",Consolidated plant hire charges ,M32 0HW,,30184689,,Administration
15-Dec-11,Leasing ,HO Geomatics,RVL Survey Ltd,1022764,"Ł103,612.51",Remote sensing projects (Aircraft and pilot Hire),CV8 3AZ,,30000394,SCLI0001,Administration
01-Dec-11,Main Contractors,AN Northern-Ops Delivery | AN Northern - Flood Risk,BAM Nuttall Ltd,1005708,"Ł25,528.07",Wash Banks Reinstatement scheme,GU15 3XW,,30184779,REAN001126 | REAN001125,Project
01-Dec-11,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1006103,"Ł121,451.72",Ing Beck Reach Scheme,LE10 3JF,,30142734,IMNE000646,Project
01-Dec-11,Main Contractors,TH Capital WiP | SE Capital WiP,JT Mackley & Co Ltd,1012684,"Ł97,993.99",Murex Flood Gate Removal and Raised Pathway.,BN5 9XQ,,30134439,IMTH001590 | IMTH001251,Project
01-Dec-11,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1013345,"Ł157,693.33",Ing Becks Flood Alleviation Scheme - Reach MN (Fenton and Wrenthorpe Dams,LE10 3JF,,30142734,IMNE000646,Project
13-Dec-11,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1014483,"Ł51,070.79","HIgh impact rerfurbishment programme. - Harwood Brook, Hennel Brook and Doomgate",EN11 9BX,,30142737,IMNW000840,Project
01-Dec-11,Main Contractors,SE Kent & South London - Ops Delivery,JT Mackley & Co Ltd,1014909,"Ł49,432.40",Yalding Desilting and Bank Stabilisatin works,BN5 9XQ,,30203237,RESE100037,Project
01-Dec-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1015008,"Ł209,079.25",Sindsley Brook,LE10 3JF,,30142734,IMNW000293,Project
08-Dec-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1015010,"Ł234,103.82",Whitefield project,LE10 3JF,,30142734,IMNW000328,Project
22-Dec-11,Main Contractors,SE Capital WiP,Hydrex Equipment UK Ltd,1015540,"Ł41,620.42","Annual shingle recycling of 60,000cubic meters of shingle for the Pett frontage beginning in Aug 2011 and finishing in March 2012",BS20 7GG,,30171824,IMSO000573,Project
01-Dec-11,Main Contractors,SE Capital WiP,Team Van Oord,1016100,"Ł129,445.13",West Wittering flood banks,RG14 5QS,,30142735,IMSO001076,Project
20-Dec-11,Main Contractors,SE Capital WiP,Team Van Oord,1016103,"Ł74,624.44",Staines Bank Protection works,RG14 5QS,,30142735,IMTH001556,Project
01-Dec-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1016800,"Ł109,146.17",Thames Barrier Crane Replacement.,EN11 9BX,,30142737,IMTH000925,Project
01-Dec-11,Main Contractors,SE Capital WiP,Team Van Oord,1016825,"Ł114,762.01",Medmerry Managed Realignment,RG14 5QS,,30142735,IMSO001023,Project
01-Dec-11,Main Contractors,SE Capital WiP,Galliford Try Infrastructure Ltd,1016845,"Ł59,970.89",Thames Tidal Upstream Gate 6661,LE10 3JF,,30142734,IMTH001593,Project
22-Dec-11,Main Contractors,TH Capital WiP | SE Capital WiP,Galliford Try Infrastructure Ltd,1016850,"Ł255,312.71",Greater London Tidal Walls project,LE10 3JF,,30142734,IM3728,Project
01-Dec-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1016940,"Ł26,660.36",Lower Trent Outfalls Refurbishment ,IP1 5LT,,30142731,IMMI001061,Project
01-Dec-11,Main Contractors,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,1016959,"Ł75,299.50",George V Reservoir Section 10 Works plus extra works,IP6 8NH,,30134424,RETH000404,Project
01-Dec-11,Main Contractors,WA Capital WiP,William Hughes Civil Engineering Ltd,1017135,"Ł38,539.30",Penrhyndeudraeth - Completions of works ,LL77 7DZ,,40018008,IMWA001117,Project
01-Dec-11,Main Contractors,NE Capital WiP,Interserve Construction Ltd,1017158,"Ł335,016.11",Neasham Reservoir Decommission,TQ14 0HP,,30142730,IMNE000893,Project
01-Dec-11,Main Contractors,AN Capital WiP,PGR Construction,1017783,"Ł42,089.26",Northampton Marina Facilities Building,PE8 4HN,,,IMAN001753,Project
06-Dec-11,Main Contractors,MI Water Manager,Birch Brothers Kidderminster Ltd,1017786,"Ł40,158.67","River Chelt, Norton ",DY13 9QB,,30224314,REMI001498,Project
01-Dec-11,Main Contractors,SE Capital WiP,Galliford Try Infrastructure Ltd,1017812,"Ł95,680.69",Mill Leese 6666,LE10 3JF,,30142734,IMSO000999,Project
06-Dec-11,Main Contractors,SE Capital WiP,Jackson Civil Engineering Ltd,1018040,"Ł47,095.94",Sunbury Old Lock Refurbishment,IP1 5LT,,30142731,IMTH001282,Project
08-Dec-11,Main Contractors,SE Kent & South London - Ops Delivery,J Breheny Contractors Ltd,1018111,"Ł26,098.48",Vegetation Management Works Medway Catchment,IP6 8NH,,30134424,RESE100037,Project
01-Dec-11,Main Contractors,NE Capital WiP,Birse Civils Ltd,1018874,"Ł42,370.04",Donna Nook Realignment,DN18 5BW,,30142670,IMNE000738,Project
01-Dec-11,Main Contractors,SE Kent & South London - Ops Delivery,BAM Nuttall Ltd,1018953,"Ł36,000.00","Culvert clearance at Blacklands, East Malling",GU15 3XW,,30203231,,Project
01-Dec-11,Main Contractors,SE North East Thames - Ops Delivery,East Hertfordshire District Council,1018978,"Ł37,421.12",Light maintenance of former Critical Ordinary Watercourses in East Herts District Council area ,CM23 2EN,,,RETH110006,Administration
22-Dec-11,Main Contractors,AN Capital WiP,Jackson Civil Engineering Ltd,1019002,"Ł785,144.54",Welches Dam Pumping Station. ,IP1 5LT,,30142731,IMAN001513,Project
01-Dec-11,Main Contractors,AN Capital WiP,Jackson Civil Engineering Ltd,1019007,"Ł71,227.39",Shotley Embankment Repairs.,IP1 5LT,,30184783,IMAN002370,Project
06-Dec-11,Main Contractors,SE North East Thames - Ops Delivery,Land & Water Services Ltd,1019184,"Ł184,789.43","River Roding, Debden valuation no 1.",GU5 9AF,,30134437,RESE500005,Project
06-Dec-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1019212,"Ł232,892.68",Ashlone Wharf Flood Alleviation Scheme,EN11 9BX,,30142737,IMTH001444,Project
06-Dec-11,Main Contractors,SE Capital WiP,Hunton Engineering Design,1019357,"Ł40,827.60",Benson Lock - Labour and materials,ME15 0RR,,,IMTH001515,Project
06-Dec-11,Main Contractors,SE Capital WiP,Pevensey Coastal Defence Ltd,1019464,"Ł136,543.72",Pevensey Bay Sea Defences.,PO15 5SS,,,IMSO000584,Project
06-Dec-11,Main Contractors,AN Capital WiP,Birse Civils Ltd,1019580,"Ł401,599.30",Reconditioning Local Levy Water Resources,DN18 5BW,,30142670,IMAN002370,Project
06-Dec-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1019687,"Ł173,257.96",Ancillaries and gates at Thames Barrier,EN11 9BX,,30142737,IMTH001544,Project
01-Dec-11,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1019717,"Ł141,382.69",Ings Beck Reach ,LE10 3JF,,30142734,IMNE000646,Project
06-Dec-11,Main Contractors,AN Capital WiP,Jackson Civil Engineering Ltd,1019748,"Ł386,297.88",Wherstead Road Ipswich Flood Alleviation Scheme,IP1 5LT,,30142731,IMAN001216,Project
08-Dec-11,Main Contractors,NE Capital WiP,Birse Civils Ltd,1019841,"Ł54,961.56",Donna Nook Realignment ECC Construction Services,DN18 5BW,,30142670,IMNE000738,Project
13-Dec-11,Main Contractors,NW Capital WiP,Barhale Construction Plc,1020253,"Ł35,772.62",Cotton Tree Weir Replacement ,WS1 4NN,,30238849,IMNW000266,Project
06-Dec-11,Main Contractors,WA Capital WiP,Birse Civils Ltd,1020286,"Ł35,949.01",Fairbourne project,LS24 9BX,,40015267,IMWA000671,Project
08-Dec-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1020412,"Ł67,644.31",Wigan Flood Alleviation Scheme Ph 2 - Main Works,LE10 3JF,,30142734,IMNW000674,Project
08-Dec-11,Main Contractors,NE Capital WiP,Byzak Ltd,1020555,"Ł34,027.44",Wydon Burn Reservoir.,M41 7TG,,30204802,IMNE640081,Project
13-Dec-11,Main Contractors,NW Capital WiP,Askam Construction Ltd,1020726,"Ł71,207.84",Bidston control station civil improvement works,LA2 0HY,,30238842,RENW001842,Project
22-Dec-11,Main Contractors,SE Capital WiP,Graham Attrill Civil Engineering Ltd,1020885,"Ł39,922.20",Hook Lake Culvert Warsash ,PO30 3AS,,30203235,IMSO001149,Project
13-Dec-11,Main Contractors,SE Capital WiP,Team Van Oord,1020912,"Ł227,321.82",Medmerry Managed Realignment project,RG14 5QS,,30142735,IMSO001023,Project
13-Dec-11,Main Contractors,SE Capital WiP,Team Van Oord,1020913,"Ł59,651.36",West Wittering flood banks,RG14 5QS,,30142735,IMSO001076,Project
08-Dec-11,Main Contractors,SE West Thames - Ops Delivery,JT Mackley & Co Ltd,1020954,"Ł37,012.70",Watercourse and RB Maintenance - Thames,BN5 9XQ,,30134439,,Administration
08-Dec-11,Main Contractors,SE Capital WiP,Interserve Construction Ltd,1021020,"Ł127,844.08",NE Area Bridges and Culverts,TQ14 0HP,,30142730,IMTH001448,Project
13-Dec-11,Main Contractors,SW Devon & Cornwall-Ops Delivery,Bridge Civil Engineering,1021140,"Ł25,640.40",Cargreen Revetment Repairs,TQ12 2HP,,30192018,RESW001151,Project
20-Dec-11,Main Contractors,NW Capital WiP,Cheetham Hill Construction Ltd,1021861,"Ł168,331.83","Construction of Minor works in NW Region | Keckwick Brook. site clearance, construction of new bund and flapped outfall and landscaping costs",BL8 1AR,,30239782,RENW001291,Project
13-Dec-11,Main Contractors,SW Capital WiP,Interserve Construction Ltd,1021889,"Ł215,934.55",River Jordan Flood Alleviation Scheme ,TQ14 0HP,,30142730,IMSW001684,Project
13-Dec-11,Main Contractors,SE Capital WiP,Jackson Civil Engineering Ltd,1021951,"Ł135,100.72",Paddle and Rymer Weirs Health and Safety Package,IP1 5LT,,30142731,IMTH001503,Project
13-Dec-11,Main Contractors,MI Capital WiP,G F Tomlinson Civil Engineering Ltd,1022290,"Ł80,085.95",Lydney Flood Alleviation Scheme,WR3 8LX,,30224315,IMMI000975,Project
13-Dec-11,Main Contractors,AN Capital WiP,VSL Systems UK Ltd,1022385,"Ł73,478.26",Ipswich Ground Anchor Testing,LU1 5AT,,,IMAN002340,Project
15-Dec-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1022642,"Ł566,025.55",Nottingham Leftbank Flood Alleviation scheme,IP1 5LT,,30142731,IMMI000642,Project
20-Dec-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1022645,"Ł394,025.50",Nottingham Leftbank Flood Alleviation scheme Rylands ,IP1 5LT,,30142731,IMMI000642,Project
15-Dec-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1022653,"Ł32,843.54",River Chelt improvement works,IP1 5LT,,30142731,IMMI000541,Project
13-Dec-11,Main Contractors,WA Capital WiP,JU Bowen Construction Ltd,1022657,"Ł25,845.48","Solar Panel Installation, Repair work ",SY16 2DR,,40018012,IMWA000765,Project
15-Dec-11,Main Contractors,WA Capital WiP,Dyer & Butler Ltd,1023027,"Ł243,226.68",Brofiscin Remedial Works - Valuation No 2,SA1 2NX,,40018495,IMWA001145,Project
15-Dec-11,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1023377,"Ł651,131.94",Keswick Flood Alleviation Scheme,EN11 9BX,,30142737,IMNW000686,Project
22-Dec-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1023378,"Ł33,668.80",Thames Barrier Crane Replacement,EN11 9BX,,30142737,IMTH000925,Project
15-Dec-11,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1023478,"Ł337,610.21",Ing Becks Flood Alleviation Scheme - Reach ,LE10 3JF,,30142734,IMNE000646,Project
15-Dec-11,Main Contractors,MI Capital WiP,Birch Brothers Kidderminster Ltd,1023527,"Ł96,806.39",Broom Flood Alleviation Scheme,DY13 9QB,,30224314,IMMI000954,Project
15-Dec-11,Main Contractors,AN Capital WiP,Galliford Try Infrastructure Ltd,1023535,"Ł113,054.38",St Neots Lock Gate Replacement,LE10 3JF,,30142734,IMAN001728,Project
15-Dec-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1023557,"Ł72,409.07",Ashton Gauging Weir,LE10 3JF,,30142734,IMNW000258,Project
20-Dec-11,Main Contractors,SW Capital WiP,May Gurney Ltd,1023994,"Ł109,630.20",Dawlish Warren Repairs,EX5 1EW,,30190789,IMSW001856,Project
20-Dec-11,Main Contractors,SE West Thames - Ops Delivery,JT Mackley & Co Ltd,1024020,"Ł57,911.98",Watercourse and River bank Maintenance,BN5 9XQ,,30134439,,Project
20-Dec-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1024147,"Ł109,298.88",Ashlone Wharf Flood Alleviation Scheme,EN11 9BX,,30142737,IMTH001444,Project
22-Dec-11,Main Contractors,NE Capital WiP,Volkerstevin Ltd,1024253,"Ł301,619.41",Lower Todmorden and Walsden Water Flood Alleviation Scheme,EN11 9BX,,30142737,IMNE000616,Project
20-Dec-11,Main Contractors,NE Capital WiP,Esh Construction Ltd,1024362,"Ł25,446.20","Waterside, Darlington works",DH6 5PF,,30204740,IMNE640072,Project
22-Dec-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1024565,"Ł175,301.60",Attenborough Reed Beds  ,IP1 5LT,,30142731,IMMI000642,Project
20-Dec-11,Main Contractors,NW Capital WiP,Volkerstevin Ltd,1024605,"Ł60,121.32",Preston Watercourse,EN11 9BX,,30142737,IMNW000361,Project
20-Dec-11,Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,1024714,"Ł31,632.46",Wigan Flood Alleviation Scheme,LE10 3JF,,30142734,IMNW000674,Project
20-Dec-11,Main Contractors,AN Capital WiP,Birse Civils Ltd,1024819,"Ł571,000.64",Reconditioning Local Levy Water Resources and Other Works Programme,DN18 5BW,,30142670,IMAN002370,Project
22-Dec-11,Main Contractors,SE Capital WiP,Team Van Oord,1025056,"Ł30,190.85",Boveney Boat Rollers Refurb.,RG14 5QS,,30142735,IMTH001556,Project
22-Dec-11,Main Contractors,SW Capital WiP,Team Van Oord,1025058,"Ł275,644.48",Braunstone Flood Defence Improvements,RG14 5QS,,30142735,IMSW001850,Project
22-Dec-11,Main Contractors,NE Capital WiP,Galliford Try Infrastructure Ltd,1025086,"Ł84,545.03",Ings Beck Reach,LE10 3JF,,30142734,IMNE000646,Project
22-Dec-11,Main Contractors,AN Capital WiP,Interserve Construction Ltd,1025111,"Ł219,318.49",Anglian Recon Northern Region,TQ14 0HP,,30142730,IMAN002372,Project
22-Dec-11,Main Contractors,SE Capital WiP | TH Capital WiP,Volkerstevin Ltd,1025390,"Ł253,947.85",Okentrough and Whitings project costs,EN11 9BX,,30142737,IMTH001235,Project
22-Dec-11,Main Contractors,AN Central-Ops Delivery | AN Capital WiP,Jackson Civil Engineering Ltd,1025393,"Ł28,137.60",Ouse Washes Desilting/Bankworks,IP1 5LT,,30184783,REAN001494 | IMAN002166 | REAN001513 | REAN001499,Project
22-Dec-11,Main Contractors,MI Capital WiP,Jackson Civil Engineering Ltd,1025397,"Ł40,325.46",Glynbridge Gardens Flood Alleviation Scheme,IP1 5LT,,30142731,IMMI000999,Project
22-Dec-11,Main Contractors,SE Capital WiP,Volkerstevin Ltd,1025415,"Ł196,800.11",Thames Barrier Drive Equipment ,EN11 9BX,,30142737,IMTH001493,Project
22-Dec-11,Main Contractors,TH Capital WiP,Volkerstevin Ltd,1025417,"Ł202,356.25",Thames Barrier Ancillaries and Gates ,EN11 9BX,,30142737,IMTH001544,Project
20-Dec-11,Main Contractors,WA Capital WiP,Birse Civils Ltd,1025554,"Ł324,036.90",Newport Flood Alleviation Scheme ,LS24 9BX,,40015267,IMWA000754,Project
22-Dec-11,Main Contractors,NE Capital WiP,Birse Civils Ltd,1025681,"Ł1,436,775.56",Redcar Flood Alleviation Scheme,DN18 5BW,,30142670,IMNE000524,Project
22-Dec-11,Main Contractors,AN Capital WiP,Norfolk Wildlife Trust,1025688,"Ł120,403.48",Hilgay Project - work Sept - Oct 2011.,NR1 1RY,,30282131,IMAN001220,Project
20-Dec-11,Main Contractors,WA Capital WiP,Dyer & Butler Ltd,1025779,"Ł184,421.35",Minor works - Brofiscin quarry remedial works Valuation nr 3 for works,SA1 2NX,,40018495,IMWA001145,Project
22-Dec-11,Main Contractors,NE Capital WiP,Amco Engineering,1025951,"Ł130,611.41","EA Beck, Skellow Beck",S75 1HT,,30204728,IMNE000173,Project
22-Dec-11,Main Contractors,NE Capital WiP,Amco Engineering,1025954,"Ł77,090.88",Jubilee Bridge Interim Application,S75 1HT,,30204728,IMNE790313,Project
22-Dec-11,Main Contractors,SW Capital WiP,Raymond Brown Construction Ltd,1026039,"Ł46,950.00",Burnham on Sea Pile Refurbishment,BH24 3AR,,30197905,IMSW001903,Project
22-Dec-11,Main Contractors,AN Capital WiP,Jackson Civil Engineering Ltd,1026220,"Ł37,361.24",St Ives Lock Refurbishment (certificate No 1).,IP1 5LT,,30142731,IMAN001762,Project
22-Dec-11,Main Contractors,AN Capital WiP,Interserve Construction Ltd,1026259,"Ł154,831.55",Minsmere Flood Risk Management,TQ14 0HP,,30142730,IMAN001506,Project
22-Dec-11,Main Contractors,AN Capital WiP,Interserve Construction Ltd,1026262,"Ł160,403.65",Minsmere Flood Risk Management,TQ14 0HP,,30142730,IMAN001506,Project
22-Dec-11,Main Contractors,SW Capital WiP,Bernard G Perry,1026278,"Ł28,567.20",Somerset Moors and Levels - Repairs to Raised Water Level Schem,TA3 6DU,,30192015,IMSW001816,Project
22-Dec-11,Main Contractors,SE Capital WiP,Birse Civils Ltd,1026434,"Ł31,725.84",Dartford Creek Barrier 2030 Phase 2.,DN18 5BW,,30142670,IMSO000727,Project
22-Dec-11,Main Contractors,SE Capital WiP,Hydrex Equipment UK Ltd,1026484,"Ł43,833.94","Annual shingle recycling of 60,000cubic metres of shingle for the Pett frontage beginning in Aug 2011 and finishing in March 2012",BS20 7GG,,30171824,IMSO000573,Project
22-Dec-11,Main Contractors,MI Capital WiP,Galliford Try Infrastructure Ltd,1026569,"Ł447,256.20",Upton Upon Severn Flood Alleviation Scheme,LE10 3JF,,30142734,IMMI000870,Project
22-Dec-11,Main Contractors,WA Capital WiP,Birse Civils Ltd,1026641,"Ł111,782.33",Abergele Flood risk Management scheme,LS24 9BX,,40015267,IMWA000537,Project
22-Dec-11,Main Contractors,NW Capital WiP,Cheetham Hill Construction Ltd,1026653,"Ł37,553.36",11/30 Trib of Arley Blackburn,BL8 1AR,,30239782,IMNW000388,Project
22-Dec-11,Main Contractors,SE North East Thames - Ops Delivery,Land & Water Services Ltd,1026662,"Ł330,068.26",River Ash Laleham Valuation number 1,GU5 9AF,,30134437,RESE500003,Project
01-Dec-11,Main Contractors | Construction Service Providers,NE Capital WiP,Volkerstevin Ltd,1006811,"Ł162,121.44",Todmorden Flood Alleviation Scheme ,EN11 9BX,,30142737,IMNE000616,Project
15-Dec-11,Main Contractors | Construction Service Providers,NE Capital WiP,Volkerstevin Ltd,1023371,"Ł126,107.26",Todmorden Flood Alleviation Scheme,EN11 9BX,,30142737,IMNE000616,Project
13-Dec-11,Maintenance & Support,CI SD Management MRA,ABM UK Ltd,1022131,"Ł37,620.00",Annual software support intellicase.,NG11 6JS,,,,Administration
22-Dec-11,Maintenance & Support,Nat Trading and Reg Services,Atos,1025119,"Ł26,793.05",Siemens hosting helpdesk and support charges december 2011,NW1 3HG,,30319519,,Administration
20-Dec-11,Managed/Outsource Services | Hardware | Software,CI SD Management MRA | HO Capital WiP,Capgemini UK Plc,1026129,"Ł5,904,201.10",IT Service Procurement outsource contract and work order costs for Nov 11,GU21 6DB,,30259316 |  |  |  |  |  | ,CIS111923 | CIS3302979 | CIS3302981,Administration/Project
01-Dec-11,"Marine, Coastal & Inland Waterways Services",NE Yorkshire Area Ops Delivery,Amco Engineering,1018712,"Ł25,576.74",Electrical/mechanical maintenance - South Area of Yorkshire region,S75 1HT,,30244069,RENE790106,Administration
01-Dec-11,"Marine, Coastal & Inland Waterways Services",SW Devon and Cornwall Field Monitoring-AEM,CSE Servelec Ltd,1018983,"Ł40,662.90",Telemetry system maintenance 2011/12 South West 24/7,S21 4HL,,30009217,,Administration
01-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Central-AEM - Bedford,CSE Servelec Ltd,1018984,"Ł34,789.80",Telemetry system maintenance 2011/12 Anglian,S21 4HL,,30009217,OOAN000364,Administration
08-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,P & R Plant Lincolnshire Ltd,1020601,"Ł36,000.00","Erosion prevention works, River Nar reservoir, Blackborough.",PE12 8NG,,30258388,IMAN002292,Project
08-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,P & R Plant Lincolnshire Ltd,1020602,"Ł27,300.00","Spalding pile refurbishment, November including bushing.",PE12 8NG,,30258388,IMAN002140,Project
13-Dec-11,"Marine, Coastal & Inland Waterways Services",SW Devon & Cornwall-Area Mgr,Apem Ltd,1020899,"Ł40,448.04",Devon and Coenwall catchment habitat surveys,SK4 4GN,,,RESW001127,Project
13-Dec-11,"Marine, Coastal & Inland Waterways Services",NLS Instrumentation,Meteor Communications Europe Ltd,1022098,"Ł35,755.32",Meteor/YSL Interface Battery unit type A (EAMU-A) and suitcase style batte,AL1 5HT,,30319528,NL00000058,Project
13-Dec-11,"Marine, Coastal & Inland Waterways Services",WA South West-MEICA,Integral UK Ltd,1022150,"Ł56,598.73",Mechanical goods and services for Northern area,BS32 4SG,,40023791,REWA100003,Administration
13-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Central-Ops Delivery,J Breheny Contractors Ltd,1022396,"Ł32,335.40",Various Fencing works,IP6 8NH,,30255864,REAN001546 | REAN001641,Administration
15-Dec-11,"Marine, Coastal & Inland Waterways Services",NW South-Area Mgr,Millar Landscapes,1023701,"Ł40,800.00",River Irwell desilt and landscape works     Nov 11,SK3 8SG,,30140395,RENW001905,Project
20-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,AMEC Environment & Infrastructure UK Ltd,1024198,"Ł26,639.88",Hydrogeological Services,NE3 3PX,,30274977,IMAN000609,Project
20-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,AMEC Environment & Infrastructure UK Ltd,1024199,"Ł31,881.96",Hydrogeological Services,NE3 3PX,,30274977,IMAN000612,Project
20-Dec-11,"Marine, Coastal & Inland Waterways Services",NLS Instrumentation,Meteor Communications Europe Ltd,1024504,"Ł26,965.46",Supply of hardware Engineer for SE Engineer,AL1 5HT,,30319528,NL00000053,Project
22-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Strategic Env Planning Mgr,Atkins Ltd,1026433,"Ł25,234.10",In River Needs Strategy Phase 1,KT18 5BW,,30275011,REANWR7116,Project
22-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1026920,"Ł48,000.00",Repairs to damaged flood defence,PE12 8NG,,30258388,REAN001451,Project
22-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,P & R Plant Lincolnshire Ltd,1026948,"Ł33,600.00",Painting/refurbishment of spalding piles,PE12 8NG,,30258388,IMAN002140,Project
22-Dec-11,"Marine, Coastal & Inland Waterways Services",AN Capital WiP,P & R Plant Lincolnshire Ltd,1026952,"Ł27,600.00",Completion of works on River Nar,PE12 8NG,,30258388,IMAN002292,Project
01-Dec-11,Environmental Services,MI REP Manager,Shropshire Wildlife Trust,1017541,"Ł33,648.00",Contribution towards the Magnificent Severn Water Framework Directive tributaries project as per joint partnership agreement,SY2 6AH,,,REMI001521,Project
13-Dec-11,Environmental Services,NW Capital WiP,Eden Rivers Trust,1018609,"Ł39,000.00",Deliver River Restoration Strategy on Eden as per tirpartite Legal Agreement for 2011/12,CA11 OAH,,,IMNW000106,Project
06-Dec-11,Environmental Services,SE SSD - AEM East,Ouse & Adur Rivers Trust,1018812,"Ł40,000.00",Ouse and Adur Rivers Trust Project Officer support ,BN8 5EF,,,RESE000102,Project
01-Dec-11,Environmental Services,Strategy and Engagement Manager,River Restoration Centre Ltd,1018837,"Ł29,600.00",Corporate Membership of River Restoration Centre to 31.03.12,MK43 0AL,,,FCPSE00070B00,Project
06-Dec-11,Environmental Services,NW North-Area Mgr,Ribble Catchment Conservation Trust,1019447,"Ł30,000.00",Gayle and Cam Beck Restoration Project - Ribble Catchment,BB7 4QF,,,RENW001925,Project
06-Dec-11,Environmental Services,E and B Climate Change and Communities,University Of Oxford,1019875,"Ł85,042.46",UK Climate Impact Programme ,OX1 2XN,,,EBPCC11003,Project
06-Dec-11,Environmental Services,WA Wildlife and Environment,Merthyr Tydfil County Borough Council,1020012,"Ł46,040.07",EA contribution Merthyr Tydfil Wild Fishing Wales Round 2 Habitat and Access Improvements,CF47 8AN,,,REWA000277,Project
13-Dec-11,Environmental Services,Data and Information Management,Cranfield University,1020936,"Ł66,000.00",National Soil Resources Institute (NSRI) database,MK43 0AL,,,HOEV101104,Project
08-Dec-11,Environmental Services,NE Yorkshire Area Ops Delivery,River Stewardship Co,1020945,"Ł35,972.04",2nd partnership payment for sustainable River Maintenance at Sheffield River Stewardship Co. for 2011/12,S1 4DP,,,NRNE791035,Project
08-Dec-11,Environmental Services,NW Ambition Project Manager,Eden Rivers Trust,1021193,"Ł40,000.00",Second payment to the Eden rivers trust for their habitat work on the River Petteril 2011/12,CA11 OAH,,,RENW001938,Project
13-Dec-11,Environmental Services,E and B Climate Change and Communities,Climate Partnership UK CIC,1021733,"Ł51,000.00",Adaption to climate change programme - core climate change information services,GU1 1YA,,,EBPCC11003,Project
13-Dec-11,Environmental Services,MI Planning and Performance,Peak District National Park Authority,1022108,"Ł49,000.00",Gully blocking on hydrology and carbon storage,DE45 1AE,,,REMI001575,Project
15-Dec-11,Environmental Services,NE Capital WiP,Wear Rivers Trust,1023554,"Ł74,000.00",Delivery of fish easement project along the Lumley Park Burn.,DL14 0AG,,,IMNE960008,Project
15-Dec-11,Environmental Services,NW North-Area Mgr,Eden Rivers Trust,1023586,"Ł30,000.00","Habitat project on the river hoff, helm leith and lyvennett Aug'11",CA11 OAH,,,RENW001904,Project
15-Dec-11,Construction Service Providers,SE SSD - AEM West,Hampshire & Isle Of Wight Wildlife Trust,1023884,"Ł50,000.00",Project delivery and construction of fish pass at Malms Lock.,SO32 2DP,,,RESE000147,Project
20-Dec-11,Environmental Services,AN Eastern - Flood Risk,Deben Estuary Partnership Ltd,1024726,"Ł49,500.00",river work at martlesham creek,IP11 9RZ,,,REAN001577,Project
22-Dec-11,Environmental Services,NE Capital WiP,North Yorkshire County Council,1025163,"Ł120,000.00",Yorkshire RFDC Local Levy Programme - Bishop Monkton,DL7 8AD,,,IMNE000129,Project
22-Dec-11,Environmental Services,NE North East Area Manager,Northumberland Wildlife Trust,1025731,"Ł28,000.00",Contribution to partnership project on Pont and Blyth Habitat Restoration,NE3 3XT,,,RENE960004,Project
